Year 2011
Age,Men,Women
0,20702,19383
1,31788,29912
2,48640,34769
3,34267,32696
4,36786,35831
5,31442,23666
6,30346,33359
7,37663,30604
8,27542,36505
9,30442,32966
10,26680,31246
11,28129,25945
12,30803,37800
13,33860,27686
14,32071,29220
15,28686,29691
16,30137,34530
17,28548,27879
18,33702,30200
19,30858,33688
20,41293,27312
21,33647,43557
22,36032,36296
23,37179,56431
24,38145,42660
25,34828,38898
26,41814,38494
27,45480,41984
28,63775,38682
29,44482,43870
30,34202,36841
31,37295,37585
32,40709,32794
33,33136,35907
34,34847,33598
35,35790,32865
36,32495,41309
37,37267,28188
38,31622,34556
39,32083,28094
40,28885,36675
41,29310,29983
42,29411,35858
43,22822,26118
44,29354,26541
45,24370,23480
46,22544,36857
47,23419,23811
48,24474,25578
49,22954,23800
50,20907,38576
51,19202,22529
52,29413,24597
53,20354,18291
54,20086,18924
55,15947,22041
56,13445,17327
57,15767,21308
58,15701,16406
59,14272,17808
60,11249,18976
61,8168,12141
62,15340,14703
63,16297,9148
64,17078,7465
65,8438,7530
66,6628,7948
67,4766,12951
68,5371,12470
69,5984,9549
70,5322,10628
71,5003,8837
72,4344,8551
73,3368,5465
74,3047,14455
75,3804,6902
76,2999,6026
77,3710,5841
78,2659,5829
79,2783,5435
80,2695,5865
81,1757,5729
82,2598,3168
83,2045,3031
84,1153,3558
85,1320,1540
86,475,2321
87,774,1796
88,634,1226
89,234,1296
90,299,371
91,287,422
92,146,318
93,77,206
94,31,138
95,172,107
96,107,206
97,6,65
98,24,54
99,8,9
100,237,320
hhByType,hh
SIZE_1_INC_LOW,252968
SIZE_2_INC_LOW,257235
SIZE_3_INC_LOW,208041
SIZE_4_INC_LOW,461619
SIZE_1_INC_MEDIUM,464
SIZE_2_INC_MEDIUM,3643
SIZE_3_INC_MEDIUM,3010
SIZE_4_INC_MEDIUM,5522
SIZE_1_INC_HIGH,14
SIZE_2_INC_HIGH,263
SIZE_3_INC_HIGH,185
SIZE_4_INC_HIGH,422
SIZE_1_INC_VERY_HIGH,579
SIZE_2_INC_VERY_HIGH,1123
SIZE_3_INC_VERY_HIGH,1135
SIZE_4_INC_VERY_HIGH,2101
hhBySize,254025,262264,212371,204008,86600,54115,39367,26689,16689,42196
AveHHSize,3.4130068328765844
AveHHInc,2782.3304423511504,MedianHHInc,846.0
laborParticipationRateByAge,male,female
<18,0.000595,0.001311
18-29,0.330606,0.334004
30-49,0.588044,0.599574
50-64,0.617346,0.621285
>=65,0.193158,0.100254
aveCommuteDistByRegion,minutes
166002,24.904373
164002,33.46236
199041,19.619038
199014,20.727703
199013,24.337236
199026,19.24453
199002,27.151487
199015,20.776941
199016,20.394617
199025,17.93305
199027,NaN
199028,17.214863
199029,17.541267
199042,23.950535
199043,18.560722
199019,20.960989
199017,22.27432
199018,20.615187
199020,21.227833
199024,16.767658
199033,16.756426
199039,16.933285
199040,20.686922
199050,23.717216
167002,25.026974
199022,18.541826
199021,18.85234
199023,18.186834
199052,27.170168
199051,24.10947
199054,29.92726
199057,42.315125
199035,17.900385
199034,17.490356
199036,17.966969
199037,17.621216
199045,21.67913
199038,16.267899
199046,19.313063
199055,25.239925
199047,22.698898
199048,22.659113
199030,16.270725
199031,14.700977
199032,15.393203
199004,26.75554
199003,26.598755
199005,29.634808
164021,24.775393
167018,26.27434
167017,25.409222
167019,25.358202
167026,23.223322
167024,24.16653
167020,23.02359
167022,25.0431
167014,25.79059
167011,24.485086
166007,20.118784
166005,20.48183
166008,22.19248
167006,28.049475
167008,27.985222
167007,29.2252
167009,27.44426
164016,26.152824
164014,30.955399
164017,24.860313
164018,22.808344
199007,26.87405
199053,29.371801
199056,34.16681
167028,20.557617
199001,24.320547
164020,25.638721
167015,23.544817
167012,22.56182
167001,22.9713
167013,NaN
167023,25.605852
167025,24.287733
167005,22.720095
167003,24.861288
167027,22.693941
167010,24.605125
167016,28.244658
166010,27.782429
166009,22.249205
166011,28.396864
199011,22.936108
164015,24.392632
199008,28.19009
199006,27.737484
164022,30.21044
199009,22.84866
199010,23.431738
166004,23.469633
carOwnershipLevel,households
0cars,647325
1car,550999
2cars,0
3+cars,0
QualityLevel,Dwellings
1,39245
2,57397
3,86141
4,1002052
CountOfDD,FORMAL,747646
CountOfDD,SEMIDETACHED,98263
CountOfDD,MULTIFAMILY,125979
CountOfDD,BACKYARD_INFORMAL,86882
CountOfDD,INFORMAL,170337
AveMonthlyPrice,FORMAL,957.9643367756987
AveMonthlyPrice,SEMIDETACHED,639.711597313773
AveMonthlyPrice,MULTIFAMILY,851.9387428883564
AveMonthlyPrice,BACKYARD_INFORMAL,226.07763102387906
AveMonthlyPrice,INFORMAL,319.805241761728
AveVacancy,FORMAL,0.000000
AveVacancy,SEMIDETACHED,0.000000
AveVacancy,MULTIFAMILY,0.000000
AveVacancy,BACKYARD_INFORMAL,0.000000
AveVacancy,INFORMAL,0.000000
Available land for construction by region
166002,779.315000
164002,1709.385000
199041,14921.875000
199014,3374.820000
199013,4754.160000
199026,1164.550000
199002,19454.555000
199015,3148.475000
199016,8733.775000
199025,692.905000
199027,116.000000
199028,183.050000
199029,5412.335001
199042,451.115000
199043,21.675000
199019,2704.065000
199017,3177.245000
199018,2162.265000
199020,2934.605000
199024,2140.000000
199033,3524.350000
199039,2875.335001
199040,1095.980000
199050,613.575000
167002,1843.720000
199022,2008.900000
199021,1773.540000
199023,1864.365000
199052,374.595000
199051,1060.255000
199054,177.975000
199057,21.090000
199035,3008.855000
199034,1036.050000
199036,452.585000
199037,267.880000
199045,7816.465000
199038,6965.020001
199046,685.445000
199055,2007.160000
199047,4476.205000
199048,78.500000
199030,1826.345000
199031,663.690000
199032,731.420000
199004,1421.290000
199003,10.725000
199005,1886.135000
164021,8.695000
167018,2209.870000
167017,223.485000
167019,17.540000
167026,104.640000
167024,49.280000
167020,34.750000
167022,38.720000
167014,152.305000
167011,109.215000
166007,0.000000
166005,766.465000
166008,3362.330000
167006,19.430000
167008,33.150000
167007,116.850000
167009,2.685000
164016,744.665000
164014,132.500000
164017,289.885000
164018,70.490000
199007,476.850000
199053,2135.740000
199056,64.240000
167028,34.210000
199001,48.965000
164020,17.245000
167015,62.240000
167012,17.095000
167001,333.165000
167013,251.000000
167023,7.210000
167025,8.250000
167005,31.500000
167003,11.000000
167027,33.750000
167010,29.270000
167016,66.675000
166010,52.000000
166009,14.250000
166011,9.210000
199011,244.790000
164015,69.500000
199008,375.255000
199006,110.000000
164022,69.640000
199009,240.750000
199010,63.710000
166004,89.710000
Housing costs by income group
Income,rent_250,rent_500,rent_750,rent_1000,rent_1250,rent_1500,rent_1750,rent_2000,rent_2250,rent_2500,averageRent
10000,565961,146146,50100,85286,46029,35727,60699,31283,39337,71153,665
20000,3977,656,225,502,346,268,744,15619,18752,7053,1866
30000,345,34,19,46,25,18,37,944,3258,4436,2364
40000,194,37,13,18,15,18,25,24,28,3105,2991
50000,7,0,1,0,0,0,0,0,1,294,4885
60000,37,5,2,7,11,3,3,5,8,500,4922
70000,0,0,0,1,0,0,0,0,0,79,7192
80000,65,11,4,14,5,0,6,2,9,2235,7778
90000,9,3,1,0,1,2,1,5,1,668,8341
100000,28,0,1,2,3,0,3,3,3,1773,12823
jobByRegion,Empl,total
166002,6448,6448
164002,459,459
199041,186925,186925
199014,45560,45560
199013,50266,50266
199026,24130,24130
199002,7562,7562
199015,47915,47915
199016,50168,50168
199025,13395,13395
199027,0,0
199028,15732,15732
199029,68127,68127
199042,8096,8096
199043,6574,6574
199019,26023,26023
199017,27234,27234
199018,60755,60755
199020,22403,22403
199024,22139,22139
199033,62684,62684
199039,103457,103457
199040,29128,29128
199050,15894,15894
167002,6434,6434
199022,19822,19822
199021,19787,19787
199023,42035,42035
199052,4789,4789
