year,carOwnershipLevel,households
2010,0,58893
2010,1,120700
2010,2,124350
2010,3,73053
2011,0,56447
2011,1,122641
2011,2,130517
2011,3,67825
2012,0,54255
2012,1,124817
2012,2,135281
2012,3,63461
2013,0,52133
2013,1,127025
2013,2,139305
2013,3,59603
2014,0,50205
2014,1,129505
2014,2,142581
2014,3,56311
2015,0,48403
2015,1,132444
2015,2,145155
2015,3,53383
2016,0,46712
2016,1,135564
2016,2,147013
2016,3,50920
2017,0,45107
2017,1,138808
2017,2,148544
2017,3,48673
2018,0,43555
2018,1,141788
2018,2,149691
2018,3,46810
2019,0,42045
2019,1,145040
2019,2,150514
2019,3,45269
2020,0,40611
2020,1,147771
2020,2,151086
2020,3,44000
2021,0,39252
2021,1,149549
2021,2,151585
2021,3,42812
2022,0,37979
2022,1,151200
2022,2,151999
2022,3,41649
2023,0,36752
2023,1,152744
2023,2,152448
2023,3,40666
2024,0,35651
2024,1,153886
2024,2,152567
2024,3,39650
2025,0,34769
2025,1,154481
2025,2,152598
2025,3,38885
2026,0,33855
2026,1,155016
2026,2,152220
2026,3,38199
2027,0,32990
2027,1,155318
2027,2,151835
2027,3,37450
2028,0,32326
2028,1,155391
2028,2,151308
2028,3,36730
2029,0,31609
2029,1,155265
2029,2,150776
2029,3,36045
2030,0,30820
2030,1,155330
2030,2,150093
2030,3,35435
2031,0,30170
2031,1,155597
2031,2,149257
2031,3,34649
2032,0,29536
2032,1,155748
2032,2,148174
2032,3,33916
2033,0,29034
2033,1,155736
2033,2,147076
2033,3,33372
2034,0,28594
2034,1,155782
2034,2,146037
2034,3,32586
2035,0,28065
2035,1,155639
2035,2,144750
2035,3,32090
2036,0,27650
2036,1,155391
2036,2,143572
2036,3,31431
2037,0,27265
2037,1,155110
2037,2,142257
2037,3,30900
2038,0,26968
2038,1,154637
2038,2,141013
2038,3,30274
2039,0,26731
2039,1,154019
2039,2,139798
2039,3,29705
2040,0,26484
2040,1,153610
2040,2,138436
2040,3,29105
2041,0,26287
2041,1,153055
2041,2,137286
2041,3,28469
2042,0,26155
2042,1,152491
2042,2,136082
2042,3,27961
2043,0,25976
2043,1,152059
2043,2,134821
2043,3,27530
2044,0,25811
2044,1,151157
2044,2,133439
2044,3,27045
2045,0,25727
2045,1,150457
2045,2,132101
2045,3,26463
2046,0,25659
2046,1,149858
2046,2,130809
2046,3,26072
2047,0,25503
2047,1,149089
2047,2,129589
2047,3,25596
2048,0,25415
2048,1,148247
2048,2,128273
2048,3,25107
2049,0,25287
2049,1,147535
2049,2,127051
2049,3,24673
