year,group,male,female
2010,<18,0.099051,0.114799
2010,18-29,0.564833,0.578260
2010,30-49,0.836101,0.703825
2010,50-64,0.768905,0.586017
2010,>=65,0.325301,0.227691
2011,<18,0.101956,0.115292
2011,18-29,0.564889,0.580526
2011,30-49,0.853451,0.717127
2011,50-64,0.788293,0.600288
2011,>=65,0.335187,0.233693
2012,<18,0.102828,0.118959
2012,18-29,0.550272,0.570460
2012,30-49,0.853779,0.718179
2012,50-64,0.791595,0.602473
2012,>=65,0.335827,0.233330
2013,<18,0.099972,0.115802
2013,18-29,0.530738,0.559994
2013,30-49,0.854028,0.718131
2013,50-64,0.791790,0.601813
2013,>=65,0.334665,0.234148
2014,<18,0.098808,0.114020
2014,18-29,0.529096,0.551100
2014,30-49,0.853166,0.718312
2014,50-64,0.791746,0.602110
2014,>=65,0.329669,0.234296
2015,<18,0.096549,0.114582
2015,18-29,0.525048,0.552120
2015,30-49,0.853254,0.718956
2015,50-64,0.793637,0.601783
2015,>=65,0.326732,0.231229
2016,<18,0.093581,0.114940
2016,18-29,0.534648,0.561406
2016,30-49,0.853630,0.719253
2016,50-64,0.795097,0.604524
2016,>=65,0.323119,0.230149
2017,<18,0.093134,0.112269
2017,18-29,0.544351,0.573185
2017,30-49,0.854869,0.719812
2017,50-64,0.795002,0.606171
2017,>=65,0.321500,0.230845
2018,<18,0.092975,0.115125
2018,18-29,0.572410,0.594509
2018,30-49,0.855171,0.720234
2018,50-64,0.797216,0.606897
2018,>=65,0.319473,0.229748
2019,<18,0.094153,0.114086
2019,18-29,0.598604,0.617373
2019,30-49,0.855452,0.720248
2019,50-64,0.799117,0.608508
2019,>=65,0.317039,0.228198
2020,<18,0.093455,0.115169
2020,18-29,0.619444,0.638405
2020,30-49,0.855488,0.719743
2020,50-64,0.801093,0.613249
2020,>=65,0.313480,0.228787
2021,<18,0.093947,0.116335
2021,18-29,0.637049,0.657087
2021,30-49,0.855147,0.720409
2021,50-64,0.805639,0.618016
2021,>=65,0.311374,0.229896
2022,<18,0.096003,0.117829
2022,18-29,0.649859,0.667436
2022,30-49,0.854933,0.721310
2022,50-64,0.806562,0.616852
2022,>=65,0.308494,0.228118
2023,<18,0.095728,0.114878
2023,18-29,0.653678,0.675650
2023,30-49,0.854481,0.720935
2023,50-64,0.808531,0.617382
2023,>=65,0.306408,0.226019
2024,<18,0.097003,0.116175
2024,18-29,0.654930,0.676735
2024,30-49,0.854829,0.720795
2024,50-64,0.808918,0.618126
2024,>=65,0.303818,0.223398
2025,<18,0.096444,0.116466
2025,18-29,0.627226,0.658629
2025,30-49,0.853672,0.721393
2025,50-64,0.807087,0.617328
2025,>=65,0.300677,0.223561
2026,<18,0.099203,0.114979
2026,18-29,0.591228,0.620217
2026,30-49,0.855105,0.720753
2026,50-64,0.808144,0.617394
2026,>=65,0.299123,0.223891
2027,<18,0.096861,0.113980
2027,18-29,0.552666,0.577891
2027,30-49,0.854890,0.720113
2027,50-64,0.809548,0.616527
2027,>=65,0.299350,0.223920
2028,<18,0.097565,0.113828
2028,18-29,0.533947,0.561200
2028,30-49,0.854102,0.718737
2028,50-64,0.806241,0.611156
2028,>=65,0.294814,0.219622
2029,<18,0.096207,0.113706
2029,18-29,0.513768,0.547082
2029,30-49,0.853479,0.718788
2029,50-64,0.805041,0.610163
2029,>=65,0.295396,0.219246
2030,<18,0.097058,0.114219
2030,18-29,0.519179,0.551786
2030,30-49,0.853737,0.716824
2030,50-64,0.801126,0.607388
2030,>=65,0.295785,0.219242
2031,<18,0.096015,0.113398
2031,18-29,0.532994,0.561220
2031,30-49,0.854126,0.716027
2031,50-64,0.797968,0.606154
2031,>=65,0.296976,0.220391
2032,<18,0.096753,0.114797
2032,18-29,0.542566,0.569732
2032,30-49,0.853949,0.715850
2032,50-64,0.795487,0.600947
2032,>=65,0.298072,0.220737
2033,<18,0.096437,0.115989
2033,18-29,0.558693,0.581863
2033,30-49,0.852786,0.715504
2033,50-64,0.791482,0.597478
2033,>=65,0.299190,0.220449
2034,<18,0.095705,0.115818
2034,18-29,0.570890,0.594793
2034,30-49,0.853989,0.716434
2034,50-64,0.787449,0.596759
2034,>=65,0.300472,0.221243
2035,<18,0.095251,0.114942
2035,18-29,0.582998,0.605587
2035,30-49,0.853339,0.716422
2035,50-64,0.786024,0.596351
2035,>=65,0.304856,0.224675
2036,<18,0.095602,0.115142
2036,18-29,0.593418,0.613361
2036,30-49,0.852441,0.718524
2036,50-64,0.785372,0.596283
2036,>=65,0.309433,0.226435
2037,<18,0.096853,0.115581
2037,18-29,0.591232,0.613383
2037,30-49,0.852633,0.720969
2037,50-64,0.785598,0.593500
2037,>=65,0.312931,0.225824
2038,<18,0.094914,0.117394
2038,18-29,0.591283,0.605622
2038,30-49,0.852917,0.722253
2038,50-64,0.787721,0.592538
2038,>=65,0.317432,0.226009
2039,<18,0.095173,0.115391
2039,18-29,0.576247,0.598773
2039,30-49,0.854026,0.724412
2039,50-64,0.787535,0.594750
2039,>=65,0.317621,0.228071
2040,<18,0.097671,0.116766
2040,18-29,0.579465,0.596987
2040,30-49,0.855125,0.723892
2040,50-64,0.785988,0.593825
