year,region,land
2010,5,8337.752831
2010,8,19155.483266
2010,14,7973.143105
2010,11,7452.413898
2010,4,3953.643701
2010,13,1666.537308
2010,12,647.956402
2010,2,7554.247621
2010,3,5768.755854
2010,15,17569.104816
2010,1,3130.448392
2010,10,255.569612
2010,6,8995.626886
2010,7,5631.391538
2010,9,5260.684773
2011,5,8343.122831
2011,8,19158.633266
2011,14,7974.523105
2011,11,7454.793898
2011,4,3955.363701
2011,13,1668.477308
2011,12,648.876402
2011,2,7563.047621
2011,3,5773.935854
2011,15,17579.614816
2011,1,3155.308392
2011,10,257.659612
2011,6,8999.346886
2011,7,5633.721538
2011,9,5262.584773
2012,5,8347.012831
2012,8,19161.693266
2012,14,7975.313105
2012,11,7457.293898
2012,4,3956.993701
2012,13,1670.187308
2012,12,649.726402
2012,2,7570.397621
2012,3,5777.455854
2012,15,17557.364816
2012,1,3182.698392
2012,10,259.359612
2012,6,9002.896886
2012,7,5635.641538
2012,9,5263.534773
2013,5,8351.362831
2013,8,19166.413266
2013,14,7975.593105
2013,11,7457.973898
2013,4,3959.343701
2013,13,1671.367308
2013,12,650.826402
2013,2,7578.887621
2013,3,5780.165854
2013,15,17513.454817
2013,1,3206.028392
2013,10,260.789612
2013,6,9006.366886
2013,7,5636.981538
2013,9,5261.814773
2014,5,8354.432831
2014,8,19171.013266
2014,14,7976.713105
2014,11,7459.713898
2014,4,3960.713701
2014,13,1672.607308
2014,12,651.526402
2014,2,7587.837621
2014,3,5781.945854
2014,15,17457.334817
2014,1,3228.108392
2014,10,261.979612
2014,6,9011.156886
2014,7,5640.451538
2014,9,5258.274773
2015,5,8359.612831
2015,8,19173.553266
2015,14,7977.583105
2015,11,7460.593898
2015,4,3962.783701
2015,13,1673.617308
2015,12,652.026402
2015,2,7596.127621
2015,3,5781.445854
2015,15,17401.164817
2015,1,3253.298392
2015,10,263.269612
2015,6,9014.686886
2015,7,5642.521538
2015,9,5253.454773
2016,5,8362.582831
2016,8,19176.913266
2016,14,7978.513105
2016,11,7454.983898
2016,4,3965.723701
2016,13,1675.527308
2016,12,652.986402
2016,2,7602.117621
2016,3,5761.705854
