year,ppByRace,hh
2011,white,899941
2011,black,0
2011,hispanic,0
2011,other,0
2012,white,894716
2012,black,0
2012,hispanic,0
2012,other,0
2013,white,889043
2013,black,0
2013,hispanic,0
2013,other,0
2014,white,882814
2014,black,0
2014,hispanic,0
2014,other,0
2015,white,875919
2015,black,0
2015,hispanic,0
2015,other,0
2016,white,868841
2016,black,0
2016,hispanic,0
2016,other,0
2017,white,861013
2017,black,0
2017,hispanic,0
2017,other,0
2018,white,852706
2018,black,0
2018,hispanic,0
2018,other,0
2019,white,843947
2019,black,0
2019,hispanic,0
2019,other,0
2020,white,900246
2020,black,0
2020,hispanic,0
2020,other,0
2021,white,895269
2021,black,0
2021,hispanic,0
2021,other,0
2022,white,889650
2022,black,0
2022,hispanic,0
2022,other,0
2023,white,883287
2023,black,0
2023,hispanic,0
2023,other,0
2024,white,876573
2024,black,0
2024,hispanic,0
2024,other,0
2025,white,869458
2025,black,0
2025,hispanic,0
2025,other,0
2026,white,861244
2026,black,0
2026,hispanic,0
2026,other,0
2027,white,852681
2027,black,0
2027,hispanic,0
2027,other,0
2028,white,844250
2028,black,0
2028,hispanic,0
2028,other,0
2029,white,835195
2029,black,0
2029,hispanic,0
2029,other,0
