year,size
2010,2.4512830714143625
2011,2.434740793925408
2012,2.4182449252779756
2013,2.402099260343693
2014,2.3839638964793264
2015,2.365162682952511
2016,2.345219856888709
2017,2.3251002999157717
2018,2.304063976545424
2019,2.283385375158412
2020,2.2641419846651134
2021,2.24686936296072
2022,2.2301648476550557
2023,2.214456879457115
2024,2.200675216968496
2025,2.189282004759463
2026,2.1795163028548488
2027,2.1692650629585892
2028,2.1601028104911495
2029,2.1510026272049756
2030,2.141862364768141
2031,2.133061629571782
2032,2.124164920094315
2033,2.1141995135423013
2034,2.1043221298572177
2035,2.094179738307783
2036,2.0849167699292033
2037,2.0753383166299915
2038,2.066471135517836
2039,2.05783598613742
2040,2.0494973376606547
2041,2.040830052588551
2042,2.0327689356446483
2043,2.0239747077420778
2044,2.015581236125231
2045,2.0075295762111987
2046,1.9999427903839668
2047,1.9923990844903683
2048,1.9847471684024005
2049,1.9782461708506098
