year,age,men,women
2010,0,2599,2456
2010,1,4238,3961
2010,2,3517,3833
2010,3,3121,2464
2010,4,1769,1771
2010,5,1883,1546
2010,6,1532,1832
2010,7,1895,1931
2010,8,2443,2360
2010,9,1902,2403
2010,10,2402,2508
2010,11,4273,4352
2010,12,4241,4311
2010,13,4460,5159
2010,14,4804,5074
2010,15,5433,5542
2010,16,4997,5248
2010,17,4777,4694
2010,18,5283,5139
2010,19,4204,4303
2010,20,2914,2820
2010,21,3249,4413
2010,22,3591,4020
2010,23,3536,3887
2010,24,3971,3833
2010,25,4805,4799
2010,26,4353,5174
2010,27,5524,4426
2010,28,4621,4341
2010,29,4447,5381
2010,30,4169,5698
2010,31,5086,6155
2010,32,5027,5037
2010,33,5952,5737
2010,34,6005,6703
2010,35,5876,7196
2010,36,5717,7268
2010,37,7566,7057
2010,38,7137,6452
2010,39,7074,7484
2010,40,6872,8356
2010,41,6122,6378
2010,42,5483,6135
2010,43,5731,6588
2010,44,5492,6805
2010,45,5499,6146
2010,46,5755,6334
2010,47,4141,4349
2010,48,5897,6843
2010,49,5423,6763
2010,50,4952,5697
2010,51,5521,5346
2010,52,5480,5908
2010,53,5353,6163
2010,54,5960,7406
2010,55,5859,6891
2010,56,6023,6851
2010,57,6281,6976
2010,58,6138,7822
2010,59,6183,7065
2010,60,7022,6660
2010,61,6231,7868
2010,62,7428,8805
2010,63,7698,7916
2010,64,8837,8800
2010,65,9660,9761
2010,66,8246,9737
2010,67,4652,5036
2010,68,4663,5207
2010,69,5291,6519
2010,70,5608,5870
2010,71,5191,6351
2010,72,5945,6194
2010,73,4009,5890
2010,74,3775,5282
2010,75,4366,4951
2010,76,4618,6403
2010,77,4333,6525
2010,78,3918,5734
2010,79,3133,5054
2010,80,4250,5795
2010,81,3490,5242
2010,82,3100,4884
2010,83,2958,5044
2010,84,2414,4466
2010,85,2565,4354
2010,86,1661,3399
2010,87,1596,3341
2010,88,1394,3134
2010,89,1174,2513
2010,90,730,2441
2010,91,595,1962
2010,92,437,1720
2010,93,452,1593
2010,94,227,740
2010,95,132,573
2010,96,100,886
2010,97,53,333
2010,98,36,243
2010,99,26,264
2010,100,95,448
2011,0,2641,2432
2011,1,2612,2475
2011,2,4244,3973
2011,3,3523,3838
2011,4,3119,2475
2011,5,1781,1777
2011,6,1893,1555
2011,7,1536,1838
2011,8,1911,1941
2011,9,2457,2364
2011,10,1911,2412
2011,11,2422,2525
2011,12,4295,4370
2011,13,4258,4337
2011,14,4482,5186
2011,15,4835,5095
2011,16,5457,5560
2011,17,5017,5271
2011,18,4800,4718
2011,19,5300,5161
2011,20,4215,4313
2011,21,2929,2837
2011,22,3259,4429
2011,23,3605,4040
2011,24,3554,3903
2011,25,3990,3856
2011,26,4816,4836
2011,27,4373,5193
2011,28,5546,4445
2011,29,4642,4363
2011,30,4464,5407
2011,31,4197,5721
2011,32,5100,6180
2011,33,5056,5059
2011,34,5974,5769
2011,35,6030,6744
2011,36,5897,7217
2011,37,5740,7295
2011,38,7594,7082
2011,39,7170,6479
2011,40,7096,7516
2011,41,6884,8374
2011,42,6138,6391
2011,43,5506,6152
2011,44,5735,6630
2011,45,5505,6832
2011,46,5521,6166
2011,47,5766,6348
2011,48,4165,4378
2011,49,5900,6863
2011,50,5426,6782
2011,51,4949,5712
2011,52,5524,5357
2011,53,5468,5923
2011,54,5353,6180
2011,55,5945,7412
2011,56,5849,6898
2011,57,6012,6860
2011,58,6257,6987
2011,59,6106,7813
2011,60,6151,7040
2011,61,6995,6650
2011,62,6196,7890
2011,63,7367,8787
2011,64,7606,7877
2011,65,8748,8780
2011,66,9540,9714
2011,67,8119,9673
2011,68,4572,5008
2011,69,4608,5183
2011,70,5208,6475
2011,71,5496,5819
2011,72,5088,6303
2011,73,5806,6110
2011,74,3905,5836
2011,75,3671,5213
2011,76,4236,4888
2011,77,4456,6263
2011,78,4149,6377
2011,79,3736,5568
2011,80,2991,4873
2011,81,3986,5587
2011,82,3249,5022
2011,83,2838,4625
2011,84,2706,4710
2011,85,2159,4143
2011,86,2263,3971
2011,87,1434,3077
2011,88,1389,2934
2011,89,1194,2781
2011,90,991,2151
2011,91,595,2081
2011,92,490,1603
2011,93,346,1356
2011,94,339,1223
2011,95,171,575
2011,96,97,451
2011,97,72,636
2011,98,37,243
2011,99,19,159
2011,100,70,432
2012,0,2612,2430
2012,1,2650,2441
2012,2,2630,2495
2012,3,4270,3994
2012,4,3533,3846
2012,5,3124,2484
2012,6,1784,1786
2012,7,1901,1563
2012,8,1545,1847
2012,9,1915,1948
2012,10,2470,2377
2012,11,1928,2422
2012,12,2444,2542
2012,13,4314,4384
2012,14,4275,4371
2012,15,4513,5206
2012,16,4859,5116
2012,17,5474,5582
2012,18,5047,5304
2012,19,4815,4744
2012,20,5318,5191
2012,21,4223,4330
2012,22,2941,2857
2012,23,3276,4452
2012,24,3618,4061
2012,25,3569,3922
2012,26,4020,3883
2012,27,4835,4870
2012,28,4401,5212
2012,29,5561,4473
2012,30,4659,4389
2012,31,4478,5431
2012,32,4230,5738
2012,33,5123,6209
2012,34,5078,5086
2012,35,6002,5799
2012,36,6056,6782
2012,37,5921,7258
2012,38,5763,7331
2012,39,7608,7109
2012,40,7201,6512
2012,41,7131,7557
2012,42,6899,8404
2012,43,6150,6402
2012,44,5533,6173
2012,45,5744,6664
2012,46,5514,6859
2012,47,5531,6178
2012,48,5777,6362
2012,49,4177,4401
2012,50,5910,6874
2012,51,5430,6809
2012,52,4952,5724
2012,53,5528,5374
2012,54,5459,5930
2012,55,5343,6196
2012,56,5920,7424
2012,57,5841,6900
2012,58,5993,6862
2012,59,6227,7005
2012,60,6061,7811
2012,61,6099,7044
2012,62,6945,6630
2012,63,6166,7884
2012,64,7306,8764
2012,65,7539,7850
2012,66,8680,8760
2012,67,9398,9661
2012,68,8000,9598
2012,69,4520,4977
2012,70,4542,5150
2012,71,5117,6421
2012,72,5379,5774
2012,73,4989,6220
2012,74,5634,6027
2012,75,3796,5748
2012,76,3568,5123
2012,77,4109,4815
2012,78,4259,6114
2012,79,3948,6225
2012,80,3551,5379
2012,81,2811,4695
2012,82,3714,5356
2012,83,2994,4774
2012,84,2586,4351
2012,85,2433,4377
2012,86,1939,3799
2012,87,1950,3614
2012,88,1251,2776
2012,89,1180,2573
2012,90,970,2393
2012,91,786,1844
2012,92,486,1736
2012,93,369,1269
2012,94,253,1064
2012,95,247,935
2012,96,120,441
2012,97,69,322
2012,98,47,449
2012,99,23,165
2012,100,60,379
2013,0,2600,2428
2013,1,2618,2432
2013,2,2660,2456
2013,3,2652,2515
2013,4,4292,4013
2013,5,3551,3857
2013,6,3117,2494
2013,7,1794,1791
2013,8,1906,1578
2013,9,1555,1853
2013,10,1928,1957
2013,11,2475,2384
2013,12,1936,2434
2013,13,2455,2557
2013,14,4328,4402
2013,15,4293,4385
2013,16,4535,5230
2013,17,4882,5147
2013,18,5495,5604
2013,19,5072,5325
2013,20,4832,4781
2013,21,5335,5209
2013,22,4236,4348
2013,23,2955,2882
2013,24,3289,4462
2013,25,3634,4072
2013,26,3590,3945
2013,27,4036,3907
2013,28,4853,4896
2013,29,4433,5235
2013,30,5586,4499
2013,31,4679,4407
2013,32,4514,5451
2013,33,4253,5758
2013,34,5138,6239
2013,35,5102,5110
2013,36,6023,5835
2013,37,6069,6818
2013,38,5948,7300
2013,39,5810,7364
2013,40,7629,7136
2013,41,7221,6539
2013,42,7155,7590
2013,43,6923,8417
2013,44,6155,6439
2013,45,5554,6214
2013,46,5762,6677
2013,47,5525,6884
2013,48,5533,6188
2013,49,5790,6373
2013,50,4191,4420
2013,51,5917,6900
2013,52,5429,6814
2013,53,4956,5735
2013,54,5509,5389
2013,55,5451,5934
2013,56,5336,6214
2013,57,5906,7419
2013,58,5814,6902
2013,59,5971,6866
2013,60,6179,7003
2013,61,6036,7819
2013,62,6081,7024
2013,63,6888,6630
2013,64,6106,7884
2013,65,7234,8750
2013,66,7464,7815
2013,67,8589,8754
2013,68,9271,9618
2013,69,7856,9524
2013,70,4424,4942
2013,71,4479,5121
2013,72,5029,6356
2013,73,5279,5699
2013,74,4885,6123
2013,75,5495,5937
2013,76,3685,5661
2013,77,3450,5037
2013,78,3928,4719
2013,79,4066,5964
2013,80,3717,6021
2013,81,3330,5171
2013,82,2623,4491
2013,83,3402,5059
2013,84,2738,4493
2013,85,2285,4047
2013,86,2185,4031
2013,87,1689,3457
2013,88,1682,3198
2013,89,1079,2448
2013,90,1018,2207
2013,91,782,2026
2013,92,625,1522
2013,93,374,1386
2013,94,286,984
2013,95,190,819
2013,96,178,681
2013,97,84,306
2013,98,46,226
2013,99,31,293
2013,100,53,337
2014,0,2421,2408
2014,1,2614,2433
2014,2,2638,2446
2014,3,2681,2463
2014,4,2667,2537
2014,5,4302,4041
2014,6,3561,3871
2014,7,3121,2504
2014,8,1804,1799
2014,9,1910,1585
2014,10,1564,1857
2014,11,1940,1969
2014,12,2482,2397
2014,13,1946,2449
2014,14,2479,2576
2014,15,4351,4422
2014,16,4313,4413
2014,17,4556,5246
2014,18,4912,5169
