year,Income,rent_250,rent_500,rent_750,rent_1000,rent_1250,rent_1500,rent_1750,rent_2000,rent_2250,rent_2500,averageRent
2011,10000,38254,119718,71796,24913,7880,2773,1344,825,308,487,503
2011,20000,52045,227300,197298,96090,29799,10689,4771,2120,907,1451,584
2011,30000,28910,167318,134140,89461,38275,14088,5308,2721,1124,2101,644
2011,40000,14294,99415,69463,53951,28165,12913,5428,2600,1058,1404,686
2011,50000,7459,64766,37908,30286,19892,10288,4422,2496,1055,1304,717
2011,60000,4323,41709,23166,18680,13552,7398,3227,1654,863,1295,742
2011,70000,2016,21877,12348,10244,6973,4463,2346,1145,502,633,762
2011,80000,1065,12244,6278,4941,3897,2670,1370,902,250,502,783
2011,90000,678,8474,4147,3246,2544,1579,925,617,193,280,770
2011,100000,1207,15464,8800,7297,5107,3392,2339,1785,903,1035,846
2012,10000,40743,125666,76570,27607,9053,3488,1553,855,393,569,507
2012,20000,52635,222727,187017,88814,28629,10138,4145,1997,818,1366,576
2012,30000,33951,167850,130544,80991,33948,12166,4511,2221,1024,1696,620
2012,40000,19760,104699,72567,51221,25711,11320,4267,2130,846,1332,651
2012,50000,10680,66094,40522,29887,19104,9504,3968,2334,819,1250,691
2012,60000,6180,42185,24142,18518,12849,6849,2928,1705,641,1272,717
2012,70000,2245,22157,12899,9971,7136,4361,2104,1058,412,610,750
2012,80000,1180,12745,6702,5054,3861,2760,1323,743,253,455,766
2012,90000,648,7916,4035,3189,2501,1565,832,516,175,283,771
2012,100000,1245,15669,8461,7194,4865,3319,2507,1535,701,991,835
2013,10000,43387,130971,78751,30097,9856,3850,1932,796,433,597,509
2013,20000,53684,217876,173283,82568,26329,9066,4084,1654,810,1252,568
2013,30000,39503,170012,126125,74779,30049,10378,4153,1651,844,1203,596
2013,40000,24515,107245,73323,49564,23567,9519,4058,1582,795,1119,624
2013,50000,14165,67540,42529,30802,18077,8479,4164,1702,771,1153,667
2013,60000,8032,41950,24745,18581,12296,6096,3147,1426,613,1119,697
2013,70000,2876,23470,13564,10478,7579,3991,2149,870,361,561,730
2013,80000,1247,13235,6895,5257,3959,2543,1319,638,280,403,752
2013,90000,702,8029,3937,3223,2504,1548,867,422,215,230,762
2013,100000,1392,15665,8352,7179,4706,3133,2582,1342,700,911,824
2014,10000,45712,133671,80849,32043,9994,4049,1939,906,454,574,508
2014,20000,54978,212716,164776,77120,23682,8498,3684,1640,746,1158,559
2014,30000,43394,169603,122942,70656,25734,9342,3723,1463,681,974,578
2014,40000,28284,109304,74600,48559,20910,8414,3451,1452,700,931,602
2014,50000,16396,68516,44136,31781,16614,7890,3787,1571,678,1038,648
2014,60000,9341,42339,26260,19359,11693,5906,2800,1386,558,1007,679
2014,70000,3352,24082,14368,10837,7373,3947,2070,853,318,518,715
2014,80000,1406,13635,7439,5720,3908,2534,1290,639,261,366,740
2014,90000,727,7883,4048,3280,2394,1466,866,394,226,197,755
2014,100000,1454,15611,8450,7133,4490,3105,2464,1295,660,814,812
2015,10000,48264,135465,82640,32896,10534,4159,1891,962,448,559,506
2015,20000,56714,209308,157299,72002,22002,7855,3303,1514,726,1052,550
