0,1,2
2011,InmigrantsPP,0
2011,OutmigrantsPP,240
2012,InmigrantsPP,0
2012,OutmigrantsPP,7475
2013,InmigrantsPP,0
2013,OutmigrantsPP,5776
2014,InmigrantsPP,0
2014,OutmigrantsPP,3010
2015,InmigrantsPP,0
2015,OutmigrantsPP,347
2016,InmigrantsPP,1831
2016,OutmigrantsPP,371
2017,InmigrantsPP,4816
2017,OutmigrantsPP,445
2018,InmigrantsPP,6927
2018,OutmigrantsPP,524
2019,InmigrantsPP,10523
2019,OutmigrantsPP,657
2020,InmigrantsPP,12387
2020,OutmigrantsPP,827
2021,InmigrantsPP,15763
2021,OutmigrantsPP,705
2022,InmigrantsPP,18098
2022,OutmigrantsPP,842
2023,InmigrantsPP,20880
2023,OutmigrantsPP,758
2024,InmigrantsPP,22546
2024,OutmigrantsPP,824
2025,InmigrantsPP,25080
2025,OutmigrantsPP,686
2026,InmigrantsPP,26635
2026,OutmigrantsPP,690
2027,InmigrantsPP,29145
2027,OutmigrantsPP,693
2028,InmigrantsPP,30889
2028,OutmigrantsPP,610
2029,InmigrantsPP,32099
2029,OutmigrantsPP,652
2030,InmigrantsPP,33483
2030,OutmigrantsPP,618
2031,InmigrantsPP,35189
2031,OutmigrantsPP,645
2032,InmigrantsPP,35816
2032,OutmigrantsPP,551
2033,InmigrantsPP,36731
2033,OutmigrantsPP,556
2034,InmigrantsPP,36770
2034,OutmigrantsPP,456
2035,InmigrantsPP,38202
2035,OutmigrantsPP,486
2036,InmigrantsPP,38731
2036,OutmigrantsPP,448
2037,InmigrantsPP,38417
2037,OutmigrantsPP,846
2038,InmigrantsPP,39504
2038,OutmigrantsPP,689
2039,InmigrantsPP,40332
2039,OutmigrantsPP,576
2040,InmigrantsPP,39743
2040,OutmigrantsPP,1429
2041,InmigrantsPP,41697
2041,OutmigrantsPP,1207
2042,InmigrantsPP,42400
2042,OutmigrantsPP,1157
2043,InmigrantsPP,42543
2043,OutmigrantsPP,929
2044,InmigrantsPP,43251
2044,OutmigrantsPP,769
2045,InmigrantsPP,43721
2045,OutmigrantsPP,708
2046,InmigrantsPP,44506
2046,OutmigrantsPP,373
2047,InmigrantsPP,44917
2047,OutmigrantsPP,342
2048,InmigrantsPP,45865
2048,OutmigrantsPP,288
2049,InmigrantsPP,46780
2049,OutmigrantsPP,234
