year,type,count,price,vacancy
2011,SFD,57357,675.970697528083,0.021682414328021437
2011,SFA,12801,699.0346856590464,0.02223101265822785
2011,MF234,20614,646.4253051050107,0.04310471795375325
2011,MF5plus,19325,496.7310512592423,0.05591813292956717
2011,MH,0,NaN,0.0
2012,SFD,57589,674.5085327671916,0.048956535383649774
2012,SFA,12883,709.613873976565,0.04671510038278259
2012,MF234,20785,667.2713096541086,0.035073251188512664
2012,MF5plus,19466,510.2695473534551,0.05091849935316947
2012,MH,0,NaN,0.0
2013,SFD,57711,670.4294595802603,0.05073885637882235
2013,SFA,12959,711.3811687670005,0.04804781494993402
2013,MF234,20946,677.010001576928,0.04156843877796488
2013,MF5plus,19613,523.3607697371965,0.05394020343162437
2013,MH,0,NaN,0.0
2014,SFD,57814,665.427475207431,0.052364367278335155
2014,SFA,12997,713.3124923742147,0.05278185045142372
2014,MF234,21035,685.3201216460039,0.0454502052897928
2014,MF5plus,19736,538.6513353572714,0.053790853005659514
2014,MH,0,NaN,0.0
2015,SFD,57869,660.3363421209745,0.0533953713633376
2015,SFA,13036,715.9428216465725,0.0563206893898592
2015,MF234,21105,693.3124741330607,0.04597100071309722
2015,MF5plus,19873,552.7796349590221,0.052138224564248076
2015,MH,0,NaN,0.0
2016,SFD,57954,655.9266900829928,0.052515163559073076
2016,SFA,13071,717.2580162585689,0.0557686406873274
2016,MF234,21159,699.8686421581593,0.0462923477848851
2016,MF5plus,19993,561.5286835242359,0.050973682886328184
2016,MH,0,NaN,0.0
2017,SFD,58017,648.1824962602495,0.04966007523208062
2017,SFA,13113,716.9224615896069,0.052406089817152474
2017,MF234,21191,711.0570533002187,0.04584337634103691
2017,MF5plus,20081,586.1200020865243,0.05356874906217176
2017,MH,0,NaN,0.0
2018,SFD,58031,644.7618039082445,0.04933036868504059
2018,SFA,13137,723.0119087586974,0.05483108365743918
2018,MF234,21265,722.992053863581,0.04218772120239724
2018,MF5plus,20233,606.565555734537,0.0473581992928639
2018,MH,0,NaN,0.0
2019,SFD,58104,642.5372832308224,0.04716444658889214
2019,SFA,13167,727.7100739888332,0.04970693461216412
2019,MF234,21338,724.8483755884716,0.04293439924758994
2019,MF5plus,20382,631.8722954278467,0.04542084713092473
2019,MH,0,NaN,0.0
2020,SFD,58181,643.2227161121358,0.043353297535453666
2020,SFA,13213,733.4063348306688,0.04928989139515455
2020,MF234,21368,741.6107854489356,0.044568375667822666
2020,MF5plus,20541,658.6294488363044,0.04253753311745658
2020,MH,0,NaN,0.0
2021,SFD,58301,640.4969192186625,0.04155995943692958
2021,SFA,13252,740.9975817311563,0.04745326572315144
2021,MF234,21448,759.9823796521754,0.04010670160988394
2021,MF5plus,20710,683.6267800842962,0.04274378073122049
2021,MH,0,NaN,0.0
2022,SFD,58379,642.11333456422,0.04128574123942986
2022,SFA,13289,752.1583153043787,0.04769091457893148
2022,MF234,21546,778.139305757267,0.03874487131667288
2022,MF5plus,20891,718.3137407946606,0.042008691453404155
2022,MH,0,NaN,0.0
2023,SFD,58475,649.8610710748136,0.03823292622347077
2023,SFA,13338,762.6846165775918,0.04266686733388517
2023,MF234,21634,812.0925832092795,0.038615056158915806
2023,MF5plus,21105,749.960665140476,0.040304437317505146
2023,MH,0,NaN,0.0
2024,SFD,58633,657.0428692020179,0.03577597263787943
2024,SFA,13401,781.9039497976436,0.04071075123706703
2024,MF234,21779,829.9751510538567,0.03471387630581492
2024,MF5plus,21305,779.267312082569,0.03970623075100687
2024,MH,0,NaN,0.0
2025,SFD,58796,667.4983508795084,0.034434533453857046
2025,SFA,13461,794.6519612652222,0.03895231699126931
2025,MF234,21883,862.5861267233208,0.03677854814270628
2025,MF5plus,21486,822.8755111427222,0.040506923257451304
2025,MH,0,NaN,0.0
2026,SFD,58982,675.651024160877,0.033777808014150625
2026,SFA,13528,811.5588247072336,0.03929871480573509
2026,MF234,22026,896.6893947779903,0.03564410729790248
2026,MF5plus,21717,864.903245130708,0.03667504421483757
2026,MH,0,NaN,0.0
2027,SFD,59163,686.3727260226898,0.0330100708690787
2027,SFA,13591,833.2803268477668,0.0382909520993495
2027,MF234,22172,937.3597984726339,0.03495868519022973
2027,MF5plus,21928,901.7584147717961,0.038725422480084724
2027,MH,0,NaN,0.0
2028,SFD,59393,699.9195271836887,0.03106671399354326
2028,SFA,13666,856.6218987793413,0.03700978588771982
2028,MF234,22342,978.2344328599598,0.03382644777196464
2028,MF5plus,22139,942.0253386536544,0.038991244071506746
2028,MH,0,NaN,0.0
2029,SFD,59656,712.9078850549525,0.030138231778155673
2029,SFA,13750,872.0583622238946,0.03651397629152642
2029,MF234,22512,1020.0502695944444,0.03276340524572554
2029,MF5plus,22330,1000.019831811626,0.04033605853922941
2029,MH,0,NaN,0.0
2030,SFD,59915,726.7031830216307,0.02997183854096822
2030,SFA,13818,895.5250923932472,0.03636363636363636
2030,MF234,22672,1060.7659930690138,0.033493248045486854
2030,MF5plus,22575,1040.8341805702805,0.03716972682489924
2030,MH,0,NaN,0.0
2031,SFD,60150,741.4078463625488,0.03109404990403071
2031,SFA,13898,915.1430930920133,0.035750470400926326
2031,MF234,22838,1103.4289674706342,0.03413902611150318
2031,MF5plus,22769,1090.5645342149503,0.03982281284606866
2031,MH,0,NaN,0.0
2032,SFD,60389,755.1314221486642,0.030640066500415626
2032,SFA,13971,936.3790264901443,0.03770326665707296
2032,MF234,23003,1139.6561386668384,0.034153603643051055
2032,MF5plus,22978,1147.8744496696745,0.03952742764284773
2032,MH,0,NaN,0.0
2033,SFD,60626,770.2915216903677,0.030767192700657406
2033,SFA,14034,958.8493573587036,0.04058406699592012
2033,MF234,23136,1195.2863793940567,0.036256140503412596
2033,MF5plus,23213,1197.1614027972414,0.04069109583079467
2033,MH,0,NaN,0.0
2034,SFD,60885,788.9133172088904,0.029970639659552007
2034,SFA,14108,984.4409679031064,0.03826421547669944
2034,MF234,23323,1254.4455455294744,0.03289246196403873
2034,MF5plus,23442,1264.7872239429032,0.040666867703442036
2034,MH,0,NaN,0.0
2035,SFD,61174,804.63369046779,0.028841258109550794
2035,SFA,14191,1006.949949182622,0.0363623476041962
2035,MF234,23508,1292.3627010601156,0.03284311623719076
2035,MF5plus,23689,1317.4441520943503,0.04009896766487501
2035,MH,0,NaN,0.0
2036,SFD,61465,824.8181323172647,0.029783895118841337
2036,SFA,14269,1025.99364407097,0.03657247551264886
2036,MF234,23641,1349.450999226983,0.03564743916964438
2036,MF5plus,23905,1365.0595264473563,0.041664907763096795
2036,MH,0,NaN,0.0
2037,SFD,61783,842.4964295887801,0.028845684535914747
2037,SFA,14348,1052.190481277874,0.03882542574812531
2037,MF234,23801,1388.1381298189194,0.03472780339241149
2037,MF5plus,24089,1435.3805809568025,0.044635013595482116
2037,MH,0,NaN,0.0
2038,SFD,62048,862.2885377192337,0.028988556722723078
2038,SFA,14429,1078.604328335002,0.03742681906885977
2038,MF234,23939,1456.5614646339093,0.037057266501407504
2038,MF5plus,24322,1511.5032709938132,0.04159574909709826
2038,MH,0,NaN,0.0
2039,SFD,62357,876.0500500887686,0.029122614749871066
2039,SFA,14502,1116.516505817461,0.03721671633515836
2039,MF234,24102,1496.7206341653682,0.03417018254730774
2039,MF5plus,24548,1591.984906163926,0.04062165940300962
2039,MH,0,NaN,0.0
2040,SFD,62637,888.8644569504077,0.029186779351155445
2040,SFA,14592,1138.3090937107218,0.035443387119018066
2040,MF234,24219,1563.3489048300428,0.03688490581694465
2040,MF5plus,24790,1661.470095343811,0.039147792080821246
2040,MH,0,NaN,0.0
2041,SFD,62900,905.2477892675812,0.029215958618707794
2041,SFA,14666,1159.1603901388255,0.03851425438596491
2041,MF234,24364,1626.4822380521214,0.03579834014616623
2041,MF5plus,24997,1753.1848769800743,0.04356595401371521
2041,MH,0,NaN,0.0
2042,SFD,63165,928.2281171343595,0.029109697933227346
2042,SFA,14734,1191.4182690964935,0.039001772807854905
2042,MF234,24532,1680.2732137837143,0.03488753899195535
2042,MF5plus,25246,1848.2757408008745,0.04040484858182982
2042,MH,0,NaN,0.0
2043,SFD,63517,944.5976765621856,0.02751523786907306
2043,SFA,14808,1217.9204795148412,0.03678566580697706
2043,MF234,24671,1752.9044961192349,0.036116093265938363
2043,MF5plus,25475,1949.556068758,0.04226412104887903
2043,MH,0,NaN,0.0
2044,SFD,63781,966.633732531322,0.029645606687973298
2044,SFA,14884,1248.8619743557222,0.03774986493787142
2044,MF234,24826,1823.528944907268,0.03469660735276235
2044,MF5plus,25732,2054.617505261744,0.04113837095191364
2044,MH,0,NaN,0.0
2045,SFD,64091,988.7717109214213,0.02834699989024945
2045,SFA,14952,1279.3089451355795,0.03782585326525128
2045,MF234,24960,1889.595129687366,0.03701764279384516
2045,MF5plus,25988,2156.5280556040416,0.041388154826674954
2045,MH,0,NaN,0.0
2046,SFD,64426,1006.6495295340206,0.02841272565570829
2046,SFA,15017,1319.62341130553,0.03705189941144997
2046,MF234,25092,1962.332082446353,0.03737980769230769
2046,MF5plus,26218,2235.4270421418064,0.04398183777127905
2046,MH,0,NaN,0.0
2047,SFD,64686,1028.0866350555139,0.03012758824077236
2047,SFA,15085,1349.0619439874663,0.03735766131717387
2047,MF234,25223,2033.0377783394276,0.03630639247568946
2047,MF5plus,26407,2327.5814597557874,0.04420627050118239
2047,MH,0,NaN,0.0
2048,SFD,65009,1043.2857253582044,0.028336888971338466
2048,SFA,15163,1386.4399057143908,0.037653297978123966
2048,MF234,25351,2119.0139927361447,0.0378226222098878
2048,MF5plus,26607,2454.7012340669544,0.04411709016548642
2048,MH,0,NaN,0.0
2049,SFD,65312,1063.2925662494056,0.028826777830761895
2049,SFA,15241,1427.0428204708114,0.03581085537162831
2049,MF234,25495,2224.67720803085,0.03565934282671295
2049,MF5plus,26859,2587.4678433719555,0.04209418574059458
2049,MH,0,NaN,0.0
