year,group,male,female
2011,<18,0.010427,0.010498
2011,18-29,0.477410,0.507337
2011,30-49,0.763075,0.630862
2011,50-64,0.526881,0.442539
2011,>=65,0.022402,0.024430
2012,<18,0.012701,0.010126
2012,18-29,0.484644,0.509687
2012,30-49,0.758625,0.627034
2012,50-64,0.532377,0.445812
2012,>=65,0.023691,0.024649
2013,<18,0.012935,0.009802
2013,18-29,0.478479,0.508334
2013,30-49,0.758974,0.629978
2013,50-64,0.541976,0.446543
2013,>=65,0.023943,0.023643
2014,<18,0.013532,0.008888
2014,18-29,0.482182,0.506457
2014,30-49,0.759271,0.629142
2014,50-64,0.543065,0.443390
2014,>=65,0.023427,0.023538
2015,<18,0.009575,0.012865
2015,18-29,0.475261,0.510904
2015,30-49,0.755473,0.626531
2015,50-64,0.543210,0.445917
2015,>=65,0.022858,0.024258
2016,<18,0.012331,0.010203
2016,18-29,0.484492,0.505220
2016,30-49,0.756345,0.623436
2016,50-64,0.548291,0.453087
2016,>=65,0.023265,0.023942
2017,<18,0.010936,0.015204
2017,18-29,0.479812,0.501911
2017,30-49,0.756526,0.624348
2017,50-64,0.545796,0.449412
2017,>=65,0.022922,0.023382
2018,<18,0.011021,0.008756
2018,18-29,0.474996,0.491600
2018,30-49,0.754913,0.622071
2018,50-64,0.537669,0.447173
2018,>=65,0.022035,0.022000
2019,<18,0.009108,0.010580
2019,18-29,0.474638,0.490227
2019,30-49,0.755515,0.620969
2019,50-64,0.530718,0.443946
2019,>=65,0.019839,0.023176
2020,<18,0.010824,0.011014
2020,18-29,0.475035,0.483245
2020,30-49,0.755403,0.624050
2020,50-64,0.527446,0.436776
2020,>=65,0.022200,0.021521
2021,<18,0.011531,0.013514
2021,18-29,0.472888,0.484666
2021,30-49,0.754262,0.624843
2021,50-64,0.520818,0.430496
2021,>=65,0.022303,0.022413
2022,<18,0.013751,0.012993
2022,18-29,0.473317,0.483371
2022,30-49,0.754906,0.622754
2022,50-64,0.514734,0.424554
2022,>=65,0.022836,0.021958
2023,<18,0.011895,0.011891
2023,18-29,0.469701,0.481154
2023,30-49,0.754470,0.624654
2023,50-64,0.513692,0.419767
2023,>=65,0.023400,0.022531
2024,<18,0.012829,0.012938
2024,18-29,0.475576,0.485219
2024,30-49,0.755258,0.623449
2024,50-64,0.508378,0.416702
2024,>=65,0.023238,0.023236
2025,<18,0.010153,0.012095
2025,18-29,0.476558,0.487604
2025,30-49,0.755759,0.623516
2025,50-64,0.495272,0.416687
2025,>=65,0.023497,0.023875
2026,<18,0.020119,0.015489
2026,18-29,0.475998,0.487529
2026,30-49,0.752819,0.622421
2026,50-64,0.488366,0.415403
2026,>=65,0.022636,0.023466
2027,<18,0.013441,0.013732
2027,18-29,0.457898,0.489205
2027,30-49,0.752478,0.623985
2027,50-64,0.483482,0.412955
2027,>=65,0.022986,0.023920
