person,household,autos,avs,homeZone,jobZone,timeCar
174,77,2,2,1871,1763,6.295421112609864
3298797,77,2,2,1871,42,62.545208398681645
2295849,325,1,1,2225,2080,9.821630958312989
1218249,356,3,3,2857,1410,12.260709686828614
803,381,1,1,3693,3415,8.76234972265625
4596428,382,2,2,204,1413,49.266817836181644
813,386,1,1,156,253,14.892364288269045
814,386,1,1,156,1950,49.03872489550782
845,400,1,1,749,1161,55.831442941162116
4145446,400,1,1,749,1080,29.721010668090823
4530544,421,2,2,2183,2190,13.100205032714845
4441289,421,2,2,2183,1241,43.93699932788086
939,447,1,1,191,212,3.8939748709411623
968,459,1,1,2332,3199,49.58071164648438
4560948,489,1,1,2230,2238,4.728777536712647
1084,517,1,1,1164,1178,12.12257317578125
1298,623,3,3,1094,1093,1.3307274247665406
3297215,623,3,3,1094,39,33.002033318481445
1306,627,1,1,316,1461,49.09572473339844
4977579,714,3,3,2333,2316,5.799808783569336
1838,885,2,2,2328,4692,52.55823294702149
4533135,885,2,2,2328,2375,17.82359865234375
2263,1089,3,3,223,348,7.023820079711915
2303,1102,3,3,860,1598,45.69130280517579
903950,1102,3,3,860,4209,55.678078871337895
2354,1124,2,2,344,92,18.395222633422854
2651,1262,1,1,298,4037,57.28903231372071
4557596,1465,1,1,125,477,59.79003041210938
3159,1500,1,1,4087,3489,10.503082778808595
3589,1696,1,1,297,3511,55.367021218017584
3607,1705,0,0,64,92,7.824866577209473
3642,1720,2,2,340,378,16.564020442077638
3797,1796,1,1,3881,2687,27.8697000423584
3798,1796,1,1,3881,2291,22.950347099975588
3923,1851,2,2,222,2704,50.332464148681645
3099716,1851,2,2,222,479,51.72542413623047
4273,2016,2,2,227,177,7.701044113830567
4510,2133,2,1,3352,354,44.69268257275391
4947510,2133,2,1,3352,4730,47.65734554321289
4634,2197,2,2,994,419,83.5879998515625
4707,2232,2,2,254,3119,62.036669582275394
4880,2314,2,2,1516,2588,20.49310801477051
4233561,2314,2,2,1516,3838,17.700415036376956
5077,2415,1,1,3717,2466,46.556753870361334
921927,2415,1,1,3717,4715,51.31533292675782
5003506,2415,1,1,3717,397,59.055852317382815
2712247,2481,1,1,2700,2441,22.048013786743166
5286,2513,1,1,2358,2349,9.389307248535157
5612,2673,3,3,136,2279,61.8904386303711
4220900,2673,3,3,136,3159,83.02128929882814
5068389,2673,3,3,136,92,8.060796080047608
5672,2704,1,1,2790,1418,15.727195437683106
5785,2753,1,1,1489,1485,1.4492910956344605
5838,2786,0,0,1317,2422,16.401562969360352
4158874,2786,0,0,1317,1564,28.941903696289064
5911,2818,1,1,373,87,35.06884101123047
1827926,2834,3,3,602,602,0.759663070968628
5949,2838,0,0,3473,475,49.90226348754883
271617,2838,0,0,3473,4423,21.057293696044923
6363,3044,2,2,204,323,7.625437336425782
6369,3045,2,2,3838,167,54.68565586572266
1486178,3045,2,2,3838,3713,4.550227314575196
4508088,3061,2,2,172,4652,65.66282852978516
4631082,3061,2,2,172,1369,47.978685791503906
6801,3242,2,2,297,284,17.594175118652345
2314892,3242,2,2,297,4040,56.33609170581055
6856,3272,2,2,988,1800,53.63562672753907
4760961,3272,2,2,988,590,20.9251601126709
7183,3421,1,1,142,4880,88.56484092285157
7309,3474,3,3,181,104,14.912557156311037
4628986,3474,3,3,181,2079,62.36662816699219
7348,3495,1,1,180,435,67.72441354321289
373104,3550,0,0,228,4834,83.71933385839844
4638402,3550,0,0,228,4414,58.01742415991211
7587,3607,2,2,3762,3792,1.9804526636810305
3921599,3607,2,2,3762,751,52.452778364013675
7730,3672,1,1,485,496,26.600334649047852
7866,3741,2,2,3128,3099,5.873189259124756
8106,3853,1,1,3072,3085,2.3451231446075442
8347,3963,2,2,1200,1189,14.011008160522461
1076821,4051,2,2,343,1908,44.91518051220704
8568,4073,2,2,137,178,12.425490610961916
4662892,4073,2,2,137,2370,82.07241778271485
8606,4085,1,1,1658,1722,14.056901412353517
1403734,4085,1,1,1658,1466,31.857829119750978
8719,4140,2,2,180,224,4.396939031585694
9077,4299,2,2,113,1447,49.22568745629883
9098,4309,2,2,3742,59,65.51663419970704
9147,4334,1,1,1917,157,49.737151949707034
1452457,4334,1,1,1917,3285,8.5441172086792
9172,4347,1,1,4289,4229,5.033434000000001
523444,4347,1,1,4289,4417,8.783243491760254
4527908,4432,2,2,349,979,65.96010010009766
9527,4510,1,1,114,235,6.297715571746827
4575650,4510,1,1,114,4214,58.32267115014649
9775,4631,1,1,1174,98,35.76953454956055
9776,4631,1,1,1174,4764,70.46591124316407
5016053,4631,1,1,1174,2583,44.426026849121094
9936,4706,2,2,2773,3482,6.448941333831788
9938,4706,2,2,2773,4557,44.06317779541016
10183,4818,2,2,62,6,9.598144229553224
10423,4937,1,1,3271,1677,18.240881981567384
10510,4979,2,2,242,186,6.803030141540527
10668,5060,3,3,410,410,3.87976509375
4757440,5060,3,3,410,2554,54.719254356689454
4566196,5083,2,2,186,3332,48.58553386572266
10724,5087,1,1,245,346,2.3873242042694094
4715675,5087,1,1,245,1231,44.562894820800786
10885,5159,2,2,301,4686,73.20070714892579
11294,5352,3,3,2104,144,57.82027666235352
461282,5352,3,3,2104,2331,27.10470875
11408,5401,2,2,72,1500,55.83261077050782
11409,5401,2,2,72,3089,69.75398294238282
11415,5403,2,2,4079,4292,11.081481797729493
4426141,5423,1,1,2694,1206,37.842268874511724
11861,5620,2,2,326,198,7.993421583984375
12137,5750,3,3,2328,2328,3.0207086063232422
4492114,5807,2,2,2394,2428,14.967996497497559
2165316,5807,2,2,2394,2014,56.30626119384766
12302,5831,1,1,4767,198,86.04399786376953
12392,5874,1,1,174,102,13.467296114624025
12393,5874,1,1,174,2275,51.60868596166993
12489,5927,3,3,21,407,42.87719216210938
12906,6119,1,1,4383,4741,34.36313028271485
13023,6185,1,1,502,2391,31.554671608154298
13061,6202,1,1,4893,4890,1.9376420032043458
3619505,6202,1,1,4893,2418,77.47746097656251
13710,6488,2,2,1743,1676,8.41483198956299
13922,6592,1,1,4642,237,58.47468428149414
425429,6592,1,1,4642,3634,23.989094681152345
14084,6672,2,2,3107,4066,12.714480562194826
14096,6675,2,2,987,922,8.050957016082764
14442,6846,2,2,3669,1863,11.52206576385498
15229,7214,1,1,94,62,19.786616020629886
4867755,7214,1,1,94,827,72.83824058984375
15296,7247,1,1,198,164,7.274099234771729
1979464,7415,2,2,1502,1442,14.162373289001465
15735,7451,1,1,348,230,5.405907981719971
15954,7554,2,2,235,371,12.522248527526857
15957,7554,2,2,235,4081,52.34198513256836
2766235,7554,2,2,235,1142,35.364663984863284
16078,7602,1,1,1705,4441,26.351603274780274
16079,7602,1,1,1705,857,37.093543776611334
16183,7654,1,1,204,149,4.94127110534668
16375,7736,2,2,303,185,6.932895206237793
4509166,7736,2,2,303,4348,56.29936815234375
16389,7742,1,1,4051,310,56.52737157299805
16390,7742,1,1,4051,4431,8.464594947692872
16525,7809,1,1,4457,4888,32.52781729138184
17113,8088,2,2,349,165,10.506494712280274
17405,8228,2,2,1185,365,37.58767393896485
17407,8228,2,2,1185,1180,13.38019211834717
17514,8280,1,1,241,2643,47.631433566650394
17515,8280,1,1,241,411,30.447101442871094
17620,8339,2,2,350,166,10.960894262329102
17621,8339,2,2,350,5,37.31055251123047
4773834,8339,2,2,350,253,4.437759651855469
17709,8376,0,0,140,630,87.56370599169922
17710,8376,0,0,140,4437,60.53667620410157
17748,8391,2,2,4845,4692,25.94907447241211
4732279,8391,2,2,4845,576,85.72652732177735
17774,8403,2,2,327,4571,84.41772022167969
17896,8461,1,1,173,2190,60.45533098999024
18032,8516,2,2,61,2391,96.00235132373048
70063,8597,1,1,201,246,4.654792292388916
18551,8767,2,2,212,531,36.23604778588867
18553,8767,2,2,212,3676,50.30267025854493
1432487,8767,2,2,212,2285,52.18626912768555
4439109,8863,2,1,1915,411,44.30049129809571
4578958,8863,2,1,1915,1822,2.2317498546447756
4787060,8863,2,1,1915,284,55.71969754223633
19148,9048,1,1,2834,1990,20.790363308715822
19169,9056,0,0,154,2563,55.56262246069336
19275,9108,0,0,149,1123,32.466984369018554
