year,QualityLevel,Dwellings
2011,1,0.026329323170171733
2011,2,0.10668564606483608
2011,3,0.2562586096060244
2011,4,0.6107264211589678
2016,1,0.04701394250420092
2016,2,0.11781643126390844
2016,3,0.23231754393932513
2016,4,0.6028520822925655
2021,1,0.0548599119420662
2021,2,0.12292851395456066
2021,3,0.23088537099151063
2021,4,0.5913262031118625
2026,1,0.0600205383201816
2026,2,0.12486037545490578
2026,3,0.2341548661405974
2026,4,0.5809642200843153
2031,1,0.062369688690775756
2031,2,0.1291699618951758
2031,3,0.23447947372205047
2031,4,0.573980875691998
2036,1,0.06562578424694368
2036,2,0.13010432725056464
2036,3,0.23424335854873982
2036,4,0.5700265299537518
2041,1,0.06729419757390473
2041,2,0.13033334227252005
2041,3,0.23700465731627737
2041,4,0.5653678028372978
2046,1,0.06780733977673954
2046,2,0.13185206319768894
2046,3,0.23607296979207532
2046,4,0.5642676272334962
2051,1,0.06865106522917759
2051,2,0.1311249566709033
2051,3,0.23726568957701913
2051,4,0.5629582885229
2056,1,0.06863814057389038
2056,2,0.13194869203698287
2056,3,0.23711760586478028
2056,4,0.5622955615243465
2061,1,0.06890395340409924
2061,2,0.13223089364786156
2061,3,0.23616131797813386
2061,4,0.5627038349699054
2066,1,0.06813858456335646
2066,2,0.13331806812977773
2066,3,0.23699228520097226
2066,4,0.5615510621058936
2071,1,0.06917725905067677
2071,2,0.1314683719747011
2071,3,0.23577813451231172
2071,4,0.5635762344623104
2076,1,0.06939456691743777
2076,2,0.13153686859419644
2076,3,0.23632773248752698
2076,4,0.5627408320008388
2081,1,0.06876429509422805
2081,2,0.1321192830493882
2081,3,0.23680937845147712
2081,4,0.5623070434049067
2086,1,0.06857815434411971
2086,2,0.13224056011839339
2086,3,0.23583476853574736
2086,4,0.5633465170017395
2091,1,0.06834340408683227
2091,2,0.13196130076262289
2091,3,0.23497564082700684
2091,4,0.564719654323538
2096,1,0.06864371984808568
2096,2,0.13123139562733088
2096,3,0.23392753276080336
2096,4,0.56619735176378
2101,1,0.06777888319175532
2101,2,0.13224152445090687
2101,3,0.23427973776179178
2101,4,0.5656998545955461
2106,1,0.06820870799810695
2106,2,0.13111858562639442
2106,3,0.2351514434453384
2106,4,0.5655212629301603
2111,1,0.06936144497414892
2111,2,0.13092560263210903
2111,3,0.23405291076344592
2111,4,0.5656600416302962
2116,1,0.06919141762707903
2116,2,0.13106395052867884
2116,3,0.2346716516311015
2116,4,0.5650729802131406
2121,1,0.06855691917054592
2121,2,0.13133852779368202
2121,3,0.23531071336702264
2121,4,0.5647938396687494
2126,1,0.06869718774755744
2126,2,0.1309991418008978
2126,3,0.23657413519936626
2126,4,0.5637295352521785
2131,1,0.06844193749385105
2131,2,0.13112025710818875
2131,3,0.23519332305775095
2131,4,0.5652444823402092
2136,1,0.06822035279924353
2136,2,0.13223450389644267
2136,3,0.2357592357103264
2136,4,0.5637859075939874
2141,1,0.06890344760483898
2141,2,0.13127168942366946
2141,3,0.23648363766094768
2141,4,0.5633412253105439
2146,1,0.06816916859588129
2146,2,0.13332150260948125
2146,3,0.2363213977462471
2146,4,0.5621879310483904
2151,1,0.06895639628085926
2151,2,0.13136421930105804
2151,3,0.23676659185636423
2151,4,0.5629127925617184
2156,1,0.06964167668867527
2156,2,0.13067371791297977
2156,3,0.23705567989040835
2156,4,0.5626289255079366
2161,1,0.06920982220603834
2161,2,0.13222139543720215
2161,3,0.23464686604499468
2161,4,0.5639219163117648
2166,1,0.06945230904743928
2166,2,0.13115798414496035
2166,3,0.23460897193909652
2166,4,0.5647807348685039
2171,1,0.06974488918086122
2171,2,0.1310825395335742
2171,3,0.235934493923326
2171,4,0.5632380773622386
2176,1,0.06900785663773207
2176,2,0.13163559499848462
2176,3,0.23681817828583862
2176,4,0.5625383700779447
2181,1,0.0688301653531139
2181,2,0.131733889661567
2181,3,0.23525730180806675
2181,4,0.5641786431772523
2186,1,0.06828589869682813
2186,2,0.13258390705679862
2186,3,0.23562361691664618
2186,4,0.5635065773297271
2191,1,0.0690350522078537
2191,2,0.1319059876717665
2191,3,0.23498499071945247
2191,4,0.5640739694009272
2196,1,0.06866059422789118
2196,2,0.13262631710893166
2196,3,0.23619457127012222
2196,4,0.5625185173930549
2201,1,0.06860070580589582
2201,2,0.13244817918703855
2201,3,0.23634673659233285
2201,4,0.5626043784147328
