person,household,autos,avs,homeZone,jobZone,timeCar
89,35,1,0,222,293,26.952266329467776
90,35,1,0,222,227,3.1697739349823
92,35,1,0,222,176,8.571102408203126
124,53,1,0,103,244,12.334541322937012
174,77,1,0,2853,1763,19.957776263427736
279,125,2,0,304,140,9.393828009521485
394,180,1,0,79,286,40.83305948339844
449,206,1,0,3050,39,82.52277672460939
3026605,206,1,0,3050,3961,4.703448457550049
470,219,1,0,101,347,13.629722051879885
532,243,2,0,143,291,25.784117560058597
2016683,243,2,0,143,3217,52.83404005810547
666,308,1,0,342,248,2.761039258987427
697,325,2,0,182,365,15.543051740234375
749,356,1,0,182,346,6.92340710144043
752,356,1,0,182,4301,57.95413757519532
802,381,1,0,3387,92,58.79112941235352
803,381,1,0,3387,3415,1.2698396968231203
804,382,2,0,204,199,3.597392503051758
812,386,1,0,314,144,9.236145616027832
813,386,1,0,314,253,7.860772751861573
845,400,1,0,749,1161,55.831442941162116
4145446,400,1,0,749,1080,29.721010668090823
882,421,1,0,146,166,4.180443511169434
938,447,2,0,309,321,5.450032195892335
939,447,2,0,309,212,1.742826603881836
940,447,2,0,309,2611,49.29348259472657
965,459,2,0,319,322,3.8150823019104005
966,459,2,0,319,4665,76.89830714111329
1030,489,1,0,47,72,20.86173517883301
1084,517,1,0,1185,1178,15.01018280670166
1303,627,2,0,316,164,9.76026193310547
1479,714,3,0,4109,197,55.644342031250005
1480,714,3,0,4109,4068,4.828666619415284
1488,717,2,0,67,254,23.13560674584961
1879,904,1,0,225,181,3.6414099035644534
1880,904,1,0,225,350,7.459876672576905
1881,904,1,0,225,355,6.539202436706543
2260,1089,2,0,177,93,10.251968951293946
2277,1094,1,0,2,61,10.570301123474122
2302,1102,1,0,1420,1420,1.102595191925049
2304,1102,1,0,1420,431,49.15011628344727
2353,1124,3,0,212,122,11.216180943481445
2354,1124,3,0,212,92,14.915821585205078
2873431,1124,3,0,212,1156,33.20145543835449
2387,1140,2,0,361,355,2.4526824653472903
2422,1154,1,0,173,157,6.915465251525879
2577,1227,1,0,106,133,12.974998060852052
2650,1262,0,0,298,2531,90.42756535107422
2831,1345,1,0,324,326,3.267488088119507
2905,1381,1,0,187,322,11.119320282348633
3072,1465,1,0,333,113,16.840367725097657
3159,1500,1,0,3264,3489,4.93153732913208
3221,1527,1,0,330,346,9.935737447753906
3247,1542,1,0,55,57,1.83302374571991
3439,1628,1,0,224,184,3.4242991873321538
3587,1696,1,0,297,1110,17.72370244873047
3588,1696,1,0,297,103,11.811724063415529
3607,1705,1,0,242,92,18.958397145385742
3639,1720,2,0,340,223,6.502068413604737
3640,1720,2,0,340,403,15.645919398132325
3642,1720,2,0,340,378,16.564020442077638
3796,1796,1,0,142,165,1.1600198684310914
3808,1801,0,0,164,43,32.25917992004395
3920,1851,1,0,222,31,33.23215470141602
4160,1959,1,0,31,288,12.207320150634766
4264,2011,3,0,257,284,7.575839176513672
4265,2011,3,0,257,327,16.377390529541017
4273,2016,2,0,195,177,4.993872763641358
4336,2047,1,0,350,286,12.834973491210938
4510,2133,1,0,350,354,3.6683635676269533
4517,2136,1,0,305,348,8.93601245690918
4518,2136,1,0,305,2674,52.592340074462896
4537,2146,1,0,201,184,4.216154623733521
4571,2159,0,0,226,133,8.61185436254883
4591,2173,1,0,182,144,3.611809040969849
4593,2173,1,0,182,1221,49.074675321533206
4633,2197,1,0,215,349,9.159044464660646
4634,2197,1,0,215,419,36.514455046630864
4705,2232,1,0,254,4312,48.34718274462891
4720,2237,1,0,151,125,15.858829540039064
4740,2247,2,0,226,348,6.585917645080567
4751,2252,1,0,186,100,8.69191781274414
4862,2306,1,0,102,160,9.03969901953125
4872,2310,1,0,102,371,28.24335456933594
4880,2314,2,0,242,224,4.232316802032471
4233561,2314,2,0,242,3838,51.3203012878418
4952,2352,1,0,177,242,10.577641765075684
4953,2352,1,0,177,986,70.186039109375
5077,2415,3,0,331,2466,76.34031258300782
921927,2415,3,0,331,4715,86.43856955712891
5206,2477,1,0,222,284,22.77778708959961
5208,2477,1,0,222,262,28.585156245727543
2712247,2481,1,0,2700,2441,22.048013786743166
5285,2513,0,0,266,328,14.702309217712404
5785,2753,1,0,2762,1485,6.854857146484376
5855,2794,1,0,98,3490,65.357056626709
5859,2796,1,0,147,176,3.994090042556763
5909,2818,1,0,371,365,8.524158313415528
5910,2818,1,0,371,571,56.65763540869141
5941,2834,2,0,297,157,9.466856
5948,2838,1,0,245,1105,16.661148645996096
271617,2838,1,0,245,4423,59.83669475683594
6080,2897,1,0,205,347,7.2414259535522465
6097,2906,2,0,377,386,6.296536043762208
6098,2906,2,0,377,376,9.386014335998535
6188,2950,0,0,149,308,7.61421579852295
6253,2985,1,0,336,253,7.706070459472657
6363,3044,2,0,204,323,7.625437336425782
6369,3045,2,0,319,167,11.10160447393799
6801,3242,2,0,278,284,6.557271238830567
6856,3272,2,0,1882,1800,3.88714184854126
7080,3377,3,0,147,208,7.687036265319825
7181,3421,2,0,142,165,1.1600198684310914
7289,3465,1,0,129,228,12.958472461791994
7291,3465,1,0,129,127,2.5389177105255127
7309,3474,3,0,139,104,13.82506999359131
7310,3474,3,0,139,253,10.985139945800782
7346,3495,1,0,180,256,12.013902992980958
7507,3569,1,0,324,306,3.062246404022217
7584,3607,3,0,373,369,10.554529323669435
7587,3607,3,0,373,3792,41.41173316601563
7625,3624,2,0,301,185,9.60857839819336
7649,3635,0,0,145,1037,70.95796209960938
7822,3723,2,0,354,347,7.2758992992553715
7898,3757,2,0,333,2819,51.39307292553711
8039,3824,1,0,236,232,0.934065616973877
8083,3844,1,0,208,138,10.898976927001954
8105,3853,3,0,234,230,2.2321649020080567
8106,3853,3,0,234,3085,57.3908654050293
8107,3853,3,0,234,194,3.626571451690674
8185,3887,1,0,1426,291,56.08762482250977
8186,3887,1,0,1426,1466,14.159183121032715
8347,3963,2,0,390,1189,37.371206393554694
3872745,3963,2,0,390,387,5.785298910858155
8471,4020,1,0,98,673,61.19415598754883
8516,4045,1,0,298,209,5.127713331024171
8528,4051,1,0,3253,96,65.53994195751953
1076821,4051,1,0,3253,1908,8.73455070477295
8568,4073,1,0,137,178,12.425490610961916
8606,4085,1,0,1162,1722,31.189511310302738
8718,4140,2,0,191,235,2.184612223678589
8719,4140,2,0,191,224,1.8051372423629761
