year,size,count
2011,1,42012
2011,2,32734
2011,3,14472
2011,4,11105
2011,5,4324
2011,6,305
2011,7,45
2011,8,9
2011,9,1
2011,10,7
2012,1,41845
2012,2,32834
2012,3,14704
2012,4,11212
2012,5,4265
2012,6,352
2012,7,39
2012,8,8
2012,9,1
2012,10,7
2013,1,41629
2013,2,32861
2013,3,14935
2013,4,11297
2013,5,4254
2013,6,380
2013,7,39
2013,8,9
2013,9,2
2013,10,5
2014,1,41667
2014,2,32875
2014,3,15167
2014,4,11291
2014,5,4275
2014,6,395
2014,7,42
2014,8,10
2014,9,2
2014,10,5
2015,1,41813
2015,2,32914
2015,3,15260
2015,4,11344
2015,5,4285
2015,6,425
2015,7,47
2015,8,9
2015,9,3
2015,10,3
2016,1,42019
2016,2,32942
2016,3,15388
2016,4,11428
2016,5,4260
2016,6,443
2016,7,53
2016,8,8
2016,9,2
2016,10,3
2017,1,42321
2017,2,33066
2017,3,15372
2017,4,11586
2017,5,4228
2017,6,468
2017,7,56
2017,8,10
2017,9,0
2017,10,3
2018,1,42467
2018,2,33161
2018,3,15405
2018,4,11670
2018,5,4243
2018,6,483
2018,7,62
2018,8,9
2018,9,0
2018,10,3
2019,1,42644
2019,2,33271
2019,3,15459
2019,4,11736
2019,5,4260
2019,6,510
2019,7,66
2019,8,9
2019,9,0
2019,10,3
2020,1,42978
2020,2,33395
2020,3,15564
2020,4,11754
2020,5,4211
2020,6,538
2020,7,72
2020,8,7
2020,9,0
2020,10,3
2021,1,43283
2021,2,33439
2021,3,15653
2021,4,11764
2021,5,4218
2021,6,584
2021,7,68
2021,8,7
2021,9,1
2021,10,2
2022,1,43575
2022,2,33540
2022,3,15832
2022,4,11782
2022,5,4179
2022,6,597
2022,7,78
2022,8,7
2022,9,1
2022,10,2
2023,1,43798
2023,2,33757
2023,3,15809
2023,4,11834
2023,5,4185
2023,6,619
2023,7,83
2023,8,9
2023,9,1
2023,10,2
2024,1,44293
2024,2,33823
2024,3,15940
2024,4,11875
2024,5,4117
2024,6,636
2024,7,94
2024,8,11
2024,9,2
2024,10,1
2025,1,44833
2025,2,33943
2025,3,16089
2025,4,11845
2025,5,4098
2025,6,651
2025,7,104
2025,8,10
2025,9,3
2025,10,0
2026,1,45215
2026,2,34107
2026,3,16310
2026,4,11792
2026,5,4029
2026,6,676
2026,7,108
2026,8,11
2026,9,2
2026,10,0
2027,1,45430
2027,2,34403
2027,3,16467
2027,4,11840
2027,5,3933
2027,6,695
2027,7,110
2027,8,14
2027,9,1
2027,10,0
2028,1,45812
2028,2,34647
2028,3,16670
2028,4,11813
2028,5,3875
2028,6,711
2028,7,116
2028,8,12
2028,9,1
2028,10,0
2029,1,46276
2029,2,34916
2029,3,16881
2029,4,11743
2029,5,3821
2029,6,725
2029,7,118
2029,8,13
2029,9,0
2029,10,1
2030,1,46517
2030,2,35159
2030,3,17033
2030,4,11701
2030,5,3783
2030,6,721
2030,7,124
2030,8,14
2030,9,0
2030,10,1
2031,1,46804
2031,2,35372
2031,3,17219
2031,4,11757
2031,5,3700
2031,6,741
2031,7,116
2031,8,16
2031,9,0
2031,10,1
2032,1,47067
2032,2,35638
2032,3,17365
2032,4,11732
2032,5,3679
2032,6,765
2032,7,112
2032,8,17
2032,9,1
2032,10,0
2033,1,47382
2033,2,35959
2033,3,17601
2033,4,11667
2033,5,3624
2033,6,788
2033,7,112
2033,8,17
2033,9,1
2033,10,0
2034,1,47655
2034,2,36238
2034,3,17818
2034,4,11620
2034,5,3626
2034,6,769
2034,7,110
2034,8,18
2034,9,1
2034,10,0
2035,1,47694
2035,2,36639
2035,3,17928
2035,4,11594
2035,5,3612
2035,6,786
2035,7,113
2035,8,18
2035,9,1
2035,10,0
2036,1,47862
2036,2,37081
2036,3,18002
2036,4,11579
2036,5,3599
2036,6,789
2036,7,122
2036,8,15
2036,9,1
2036,10,0
2037,1,48299
2037,2,37428
2037,3,18129
2037,4,11505
2037,5,3571
2037,6,810
2037,7,120
2037,8,13
2037,9,1
2037,10,0
2038,1,48790
2038,2,37728
2038,3,18194
2038,4,11451
2038,5,3595
2038,6,809
2038,7,128
2038,8,14
2038,9,1
2038,10,0
2039,1,49209
2039,2,37958
2039,3,18314
2039,4,11446
2039,5,3573
2039,6,827
2039,7,125
2039,8,14
2039,9,1
2039,10,0
2040,1,49502
2040,2,38294
2040,3,18375
2040,4,11389
2040,5,3612
2040,6,810
2040,7,128
2040,8,13
2040,9,1
2040,10,0
2041,1,49977
2041,2,38460
2041,3,18587
2041,4,11284
2041,5,3637
2041,6,838
2041,7,119
