year,type,count,price,vacancy
0,SF,3218,942.7835431757943,0.04519414385741566
0,MF,3203,497.7434539887019,0.04973075704783022
1,SF,3223,915.3057824643956,0.09291485394655065
1,MF,3258,476.1797974078137,0.05338744926631283
2,SF,3228,893.6048052943394,0.09866583928017375
2,MF,3264,458.604874110329,0.09729895641497852
3,SF,3231,887.7916314443418,0.11524163568773234
3,MF,3264,455.9615043302603,0.10355392156862746
4,SF,3230,886.9938080495356,0.12039616217889199
4,MF,3264,442.92553863952895,0.11672794117647059
5,SF,3230,886.2653250773993,0.13157894736842105
5,MF,3266,439.04872796594515,0.1170343137254902
6,SF,3229,885.7249922576649,0.13343653250773993
6,MF,3264,438.5572916666667,0.12890385793018982
7,SF,3228,885.7143742255266,0.13719417776401363
7,MF,3263,438.35182347532947,0.13143382352941177
8,SF,3224,885.2354218362283,0.13816604708798016
8,MF,3261,438.2385771235817,0.138829298191848
9,SF,3219,885.210624417521,0.14516129032258066
9,MF,3260,438.151226993865,0.13860778902177245
