year,size
2015,2.8196215255180515
2016,2.7907282343753526
2017,2.762045448383428
2018,2.7340165326947496
2019,2.7062554983297766
2020,2.678618725757266
2021,2.650602888062849
2022,2.622178304467905
2023,2.5939516965349783
2024,2.5667328252560413
2025,2.5395701678455325
2026,2.5128414381624293
2027,2.48648592223038
2028,2.4605477185596016
2029,2.435130488941633
2030,2.410723595718298
2031,2.3872334597641127
2032,2.364655646741021
2033,2.342987872820744
2034,2.322358113590781
2035,2.3028280860639145
2036,2.284386009041843
2037,2.2672138028494264
2038,2.250964897547967
2039,2.2355259491017754
2040,2.2205213405333266
2041,2.206208021444037
2042,2.1925165797541597
2043,2.1795758210035734
2044,2.167063855723642
2045,2.1552995543593774
2046,2.143785226898217
2047,2.1330109259215333
2048,2.122666746449983
2049,2.11259570187685
