year,carOwnershipLevel,households
2015,0,1977290
2015,1,2617760
2015,2,792156
2015,3,0
2016,0,2071493
2016,1,2627074
2016,2,797301
2016,3,0
2017,0,2167096
2017,1,2636478
2017,2,802610
2017,3,0
2018,0,2263877
2018,1,2646493
2018,2,808117
2018,3,0
2019,0,2361894
2019,1,2656683
2019,2,813876
2019,3,0
2020,0,2461730
2020,1,2668013
2020,2,819720
2020,3,0
2021,0,2563610
2021,1,2679600
2021,2,825910
2021,3,0
2022,0,2669047
2022,1,2692073
2022,2,832275
2022,3,0
2023,0,2776426
2023,1,2705632
2023,2,838855
2023,3,0
2024,0,2884051
2024,1,2719252
2024,2,845847
2024,3,0
2025,0,2993832
2025,1,2733498
2025,2,853006
2025,3,0
2026,0,3104700
2026,1,2748604
2026,2,860430
2026,3,0
2027,0,3216988
2027,1,2764524
2027,2,867975
2027,3,0
2028,0,3331838
2028,1,2780423
2028,2,875890
2028,3,0
2029,0,3447496
2029,1,2797392
2029,2,883877
2029,3,0
2030,0,3563385
2030,1,2813991
2030,2,892070
2030,3,0
2031,0,3679594
2031,1,2831108
2031,2,900468
2031,3,0
2032,0,3796131
2032,1,2848405
2032,2,908812
2032,3,0
2033,0,3913057
2033,1,2865336
2033,2,917296
2033,3,0
2034,0,4029276
2034,1,2882645
2034,2,926039
2034,3,0
2035,0,4146020
2035,1,2899839
2035,2,934768
2035,3,0
2036,0,4262373
2036,1,2916581
2036,2,943063
2036,3,0
2037,0,4378469
2037,1,2932675
2037,2,951150
2037,3,0
2038,0,4494433
2038,1,2947466
2038,2,959252
2038,3,0
2039,0,4612221
2039,1,2961268
2039,2,966691
2039,3,0
2040,0,4731547
2040,1,2974574
2040,2,973887
2040,3,0
2041,0,4851809
2041,1,2986705
2041,2,980721
2041,3,0
2042,0,4974070
2042,1,2997838
2042,2,986910
2042,3,0
2043,0,5097524
2043,1,3007199
2043,2,992710
2043,3,0
2044,0,5223023
2044,1,3016117
2044,2,997855
2044,3,0
2045,0,5349516
2045,1,3022965
2045,2,1002562
2045,3,0
2046,0,5479564
2046,1,3029345
2046,2,1006547
2046,3,0
2047,0,5610083
2047,1,3033979
2047,2,1009769
2047,3,0
2048,0,5744023
2048,1,3036959
2048,2,1012210
2048,3,0
2049,0,5880798
2049,1,3038662
2049,2,1013992
2049,3,0
