year,QualityLevel,Dwellings
2015,1,0.5225613843275179
2015,2,0.20545296838064564
2015,3,0.27198564729183655
2016,1,0.5057432816649831
2016,2,0.2034807917042387
2016,3,0.2907759266307783
2017,1,0.4930186499194718
2017,2,0.20528634482749109
2017,3,0.3016950052530371
2018,1,0.484343231556468
2018,2,0.20647546993201127
2018,3,0.3091812985115207
2019,1,0.4795285076140596
2019,2,0.20764896275688466
2019,3,0.31282252962905577
2020,1,0.476873375668417
2020,2,0.20838360021794372
2020,3,0.3147430241136393
2021,1,0.4753843241166771
2021,2,0.2089203887979801
2021,3,0.3156952870853428
2022,1,0.4747342345691377
2022,2,0.20915744017243953
2022,3,0.31610832525842275
2023,1,0.4742811851249604
2023,2,0.20946220315127348
2023,3,0.31625661172376607
2024,1,0.4742989205846312
2024,2,0.20919140945070888
2024,3,0.31650966996465996
2025,1,0.47440206031619053
2025,2,0.20954021599171113
2025,3,0.31605772369209834
2026,1,0.47448805783450176
2026,2,0.20965316198601042
2026,3,0.3158587801794878
2027,1,0.4750366857575298
2027,2,0.20939683948465268
2027,3,0.31556647475781757
2028,1,0.47529310343898334
2028,2,0.2093973654241154
2028,3,0.31530953113690124
2029,1,0.47617524323555815
2029,2,0.2097518055204304
2029,3,0.3140729512440114
2030,1,0.47649939025542976
2030,2,0.2094998955056555
2030,3,0.31400071423891474
2031,1,0.4768098406808913
2031,2,0.2095858505309135
2031,3,0.31360430878819523
2032,1,0.47661491893418917
2032,2,0.2096133803536671
2032,3,0.3137717007121437
2033,1,0.47684580737651316
2033,2,0.20984247759801528
2033,3,0.31331171502547156
2034,1,0.4765266889639294
2034,2,0.20938013171820447
2034,3,0.3140931793178661
2035,1,0.47684793877112974
2035,2,0.20983031590271412
2035,3,0.31332174532615614
2036,1,0.4766525811871442
2036,2,0.20939685619800263
2036,3,0.31395056261485316
2037,1,0.4769011535261819
2037,2,0.20966608949521737
2037,3,0.31343275697860074
2038,1,0.4770162644876417
2038,2,0.2094490868779387
2038,3,0.31353464863441965
2039,1,0.47755729163908595
2039,2,0.2097670855263279
2039,3,0.31267562283458616
2040,1,0.47781558896309095
2040,2,0.20958222067331328
2040,3,0.31260219036359577
2041,1,0.4780449283405008
2041,2,0.20961856383256322
2041,3,0.312336507826936
2042,1,0.47854169217582954
2042,2,0.20966909513897392
2042,3,0.31178921268519655
2043,1,0.4783542459377525
2043,2,0.20949344468841066
2043,3,0.31215230937383687
2044,1,0.47848288049767196
2044,2,0.20965195816063012
2044,3,0.3118651613416979
2045,1,0.4784992603159813
2045,2,0.2096777798458359
2045,3,0.3118229598381828
2046,1,0.4785764496263676
2046,2,0.20956869111064222
2046,3,0.31185485926299017
2047,1,0.47872916818200034
2047,2,0.2095830816023893
2047,3,0.31168775021561035
2048,1,0.478815719519034
2048,2,0.20961795465635402
2048,3,0.311566325824612
2049,1,0.4791236061994917
2049,2,0.2097307091788559
2049,3,0.31114568462165243
