year,event,count
2015,BirthEvent,132662
2015,BirthDayEvent,15103564
2015,ConstructionEvent,104726
2015,DeathEvent,86439
2015,RenovationEvent,5578228
2015,MarriageEvent,107154
2015,EmploymentEvent,100430
2015,MoveEvent,174816
2015,DivorceEvent,36648
2015,LeaveParentsEvent,38640
2015,DemolitionEvent,5631
2015,LicenseEvent,521824
2016,BirthEvent,131340
2016,DeathEvent,88985
2016,MoveEvent,178919
2016,LeaveParentsEvent,39976
2016,DemolitionEvent,5545
2016,BirthDayEvent,15146616
2016,ConstructionEvent,125797
2016,RenovationEvent,5677423
2016,MarriageEvent,105932
2016,EmploymentEvent,306940
2016,MigrationEvent,38077
2016,DivorceEvent,36349
2016,LicenseEvent,273813
2017,BirthEvent,128841
2017,DeathEvent,92445
2017,MoveEvent,182942
2017,DemolitionEvent,5315
2017,LeaveParentsEvent,41463
2017,BirthDayEvent,15292643
2017,ConstructionEvent,144816
2017,RenovationEvent,5797724
2017,MarriageEvent,105889
2017,EmploymentEvent,313651
2017,MigrationEvent,40206
2017,DivorceEvent,36726
2017,LicenseEvent,224692
2018,BirthEvent,127403
2018,DeathEvent,95718
2018,MoveEvent,186395
2018,LeaveParentsEvent,42305
2018,DemolitionEvent,5486
2018,BirthDayEvent,15437969
2018,ConstructionEvent,145205
2018,RenovationEvent,5937122
2018,MarriageEvent,105721
2018,EmploymentEvent,317243
2018,DivorceEvent,37041
2018,MigrationEvent,43392
2018,LicenseEvent,218165
2019,BirthEvent,125339
2019,DeathEvent,100066
2019,MoveEvent,190202
2019,LeaveParentsEvent,44018
2019,DemolitionEvent,5467
2019,EducationEvent,132446
2019,BirthDayEvent,15586017
2019,ConstructionEvent,147583
2019,RenovationEvent,6076956
2019,MarriageEvent,105406
2019,EmploymentEvent,326364
2019,MigrationEvent,46145
2019,DivorceEvent,37055
2019,LicenseEvent,213111
2020,BirthEvent,124140
2020,DeathEvent,104195
2020,MoveEvent,194974
2020,LeaveParentsEvent,45837
2020,DemolitionEvent,5568
2020,EducationEvent,143572
2020,BirthDayEvent,15733744
2020,ConstructionEvent,148523
2020,RenovationEvent,6218992
2020,MarriageEvent,104925
2020,EmploymentEvent,328844
2020,DivorceEvent,36890
2020,MigrationEvent,49362
2020,LicenseEvent,201134
2021,BirthEvent,120704
2021,DeathEvent,109448
2021,MoveEvent,200382
2021,LeaveParentsEvent,48536
2021,DemolitionEvent,5565
2021,EducationEvent,140540
2021,BirthDayEvent,15883645
2021,ConstructionEvent,150696
2021,RenovationEvent,6361922
2021,MarriageEvent,106626
2021,EmploymentEvent,336603
2021,MigrationEvent,52715
2021,DivorceEvent,36597
2021,LicenseEvent,176874
2022,BirthEvent,118558
2022,DeathEvent,114665
2022,MoveEvent,205680
2022,LeaveParentsEvent,50777
2022,DemolitionEvent,5491
2022,EducationEvent,135652
2022,BirthDayEvent,16031725
2022,ConstructionEvent,152162
2022,RenovationEvent,6507156
2022,MarriageEvent,106609
2022,EmploymentEvent,343374
2022,DivorceEvent,37163
2022,MigrationEvent,56910
2022,LicenseEvent,165107
2023,BirthEvent,116744
2023,DeathEvent,119480
2023,MoveEvent,211393
2023,LeaveParentsEvent,52914
2023,DemolitionEvent,5730
2023,EducationEvent,106318
2023,BirthDayEvent,16182489
2023,ConstructionEvent,156757
2023,RenovationEvent,6653659
2023,MarriageEvent,107272
2023,EmploymentEvent,346368
2023,MigrationEvent,61337
2023,DivorceEvent,36566
2023,LicenseEvent,192368
2024,BirthEvent,115092
2024,DeathEvent,124979
2024,MoveEvent,217434
2024,LeaveParentsEvent,53862
2024,DemolitionEvent,5598
2024,EducationEvent,125011
2024,BirthDayEvent,16336333
2024,ConstructionEvent,155791
2024,RenovationEvent,6804825
2024,MarriageEvent,107188
2024,EmploymentEvent,359716
2024,MigrationEvent,64518
2024,DivorceEvent,36824
2024,LicenseEvent,212024
2025,BirthEvent,113287
2025,DeathEvent,130683
2025,MoveEvent,224968
2025,LeaveParentsEvent,55301
2025,DemolitionEvent,5654
2025,EducationEvent,162513
2025,BirthDayEvent,16489991
2025,ConstructionEvent,160458
2025,RenovationEvent,6954962
2025,MarriageEvent,107168
2025,EmploymentEvent,357699
2025,DivorceEvent,36617
2025,MigrationEvent,68890
2025,LicenseEvent,214562
2026,BirthEvent,111461
2026,DeathEvent,137073
2026,MoveEvent,233107
2026,DemolitionEvent,5894
2026,LeaveParentsEvent,56800
2026,EducationEvent,158891
2026,BirthDayEvent,16645309
2026,ConstructionEvent,158404
2026,RenovationEvent,7109601
2026,MarriageEvent,109043
2026,EmploymentEvent,359337
2026,MigrationEvent,73446
2026,DivorceEvent,36451
2026,LicenseEvent,208927
2027,BirthEvent,109860
2027,DeathEvent,143939
2027,MoveEvent,245384
2027,LeaveParentsEvent,58253
2027,DemolitionEvent,5626
2027,EducationEvent,163569
2027,BirthDayEvent,16801673
2027,ConstructionEvent,162157
2027,RenovationEvent,7262254
2027,MarriageEvent,110809
2027,EmploymentEvent,360024
2027,DivorceEvent,36086
2027,MigrationEvent,77970
2027,LicenseEvent,194356
2028,BirthEvent,108884
2028,DeathEvent,150229
2028,MoveEvent,255222
2028,LeaveParentsEvent,59571
2028,DemolitionEvent,5761
2028,EducationEvent,149717
2028,BirthDayEvent,16959376
2028,ConstructionEvent,152327
2028,RenovationEvent,7418770
2028,MarriageEvent,112158
2028,EmploymentEvent,364536
2028,MigrationEvent,82880
2028,DivorceEvent,36266
2028,LicenseEvent,187395
2029,BirthEvent,108049
2029,DeathEvent,157053
2029,MoveEvent,265738
2029,LeaveParentsEvent,60451
2029,DemolitionEvent,5866
2029,EducationEvent,142738
2029,BirthDayEvent,17119705
2029,ConstructionEvent,160594
2029,RenovationEvent,7565290
2029,MarriageEvent,111913
2029,EmploymentEvent,377542
2029,DivorceEvent,35926
2029,MigrationEvent,87418
2029,LicenseEvent,188581
2030,BirthEvent,106833
2030,DeathEvent,164876
2030,MoveEvent,278396
2030,LeaveParentsEvent,60170
2030,DemolitionEvent,5819
2030,EducationEvent,142551
2030,BirthDayEvent,17280631
2030,ConstructionEvent,161880
2030,RenovationEvent,7719973
2030,MarriageEvent,112173
2030,EmploymentEvent,377804
2030,DivorceEvent,35995
2030,MigrationEvent,91764
2030,LicenseEvent,187699
2031,BirthEvent,106114
2031,DeathEvent,172438
2031,MoveEvent,288931
2031,LeaveParentsEvent,60033
2031,DemolitionEvent,5755
2031,EducationEvent,145951
2031,BirthDayEvent,17442428
2031,ConstructionEvent,169266
2031,RenovationEvent,7876121
2031,MarriageEvent,114418
2031,EmploymentEvent,383616
2031,MigrationEvent,97598
2031,DivorceEvent,36155
2031,LicenseEvent,177393
2032,BirthEvent,105990
2032,DeathEvent,181040
2032,MoveEvent,301379
2032,LeaveParentsEvent,59425
2032,DemolitionEvent,5945
2032,EducationEvent,143007
2032,BirthDayEvent,17605982
2032,ConstructionEvent,167316
2032,RenovationEvent,8039514
2032,MarriageEvent,115442
2032,EmploymentEvent,387210
2032,DivorceEvent,36121
2032,MigrationEvent,102514
2032,LicenseEvent,161243
2033,BirthEvent,106042
2033,DeathEvent,190629
2033,MoveEvent,311047
2033,LeaveParentsEvent,58583
2033,DemolitionEvent,5911
2033,EducationEvent,129042
2033,BirthDayEvent,17770394
2033,ConstructionEvent,178277
2033,RenovationEvent,8200891
2033,MarriageEvent,117458
2033,EmploymentEvent,389576
2033,MigrationEvent,108033
2033,DivorceEvent,36768
2033,LicenseEvent,155570
2034,BirthEvent,106359
2034,DeathEvent,200473
2034,MoveEvent,322659
2034,LeaveParentsEvent,58133
2034,DemolitionEvent,5848
2034,EducationEvent,117182
2034,BirthDayEvent,17935102
2034,ConstructionEvent,174099
2034,RenovationEvent,8373331
2034,MarriageEvent,118150
2034,EmploymentEvent,395649
2034,MigrationEvent,113505
2034,DivorceEvent,36361
2034,LicenseEvent,158509
2035,BirthEvent,107664
2035,DeathEvent,209400
2035,MoveEvent,337421
2035,LeaveParentsEvent,57092
2035,DemolitionEvent,5901
2035,EducationEvent,21564
2035,BirthDayEvent,18103009
2035,ConstructionEvent,185076
2035,RenovationEvent,8541501
2035,MarriageEvent,118773
2035,EmploymentEvent,396055
2035,MigrationEvent,119611
2035,DivorceEvent,36420
2035,LicenseEvent,158599
2036,BirthEvent,107898
2036,DeathEvent,218576
2036,MoveEvent,349929
2036,LeaveParentsEvent,56130
2036,DemolitionEvent,5864
2036,EducationEvent,2297
2036,BirthDayEvent,18273692
2036,ConstructionEvent,179637
2036,RenovationEvent,8720707
2036,MarriageEvent,119445
2036,EmploymentEvent,391562
2036,MigrationEvent,124651
