year,variable,value
2015,average,91546.6129427759
2015,median,73906.0
2016,average,90303.80435392553
2016,median,73478.0
2017,average,89521.12635082973
2017,median,73432.0
2018,average,88793.31916326818
2018,median,73349.0
2019,average,88023.74858674387
2019,median,73162.0
2020,average,87154.66976952374
2020,median,72828.0
2021,average,86336.91692370558
2021,median,72502.0
2022,average,85635.11273413047
2022,median,72262.0
2023,average,85012.69712255176
2023,median,72084.0
2024,average,84436.60974655575
2024,median,71924.0
2025,average,83812.18406522098
2025,median,71691.0
2026,average,83160.9669173667
2026,median,71446.0
2027,average,82478.76389180678
2027,median,71158.0
2028,average,81808.47160142934
2028,median,70875.0
2029,average,81105.50918440992
2029,median,70538.0
2030,average,80374.19771437878
2030,median,70139.0
2031,average,79615.73425936795
2031,median,69728.0
2032,average,78857.24823032117
2032,median,69357.0
2033,average,78130.3089025557
2033,median,69034.0
2034,average,77431.13148472307
2034,median,68670.0
2035,average,76753.80122088152
2035,median,68306.0
2036,average,76114.58773713476
2036,median,67930.0
2037,average,75506.95230622392
2037,median,67576.0
2038,average,74911.69150917535
2038,median,67198.0
2039,average,74337.13710319923
2039,median,66813.0
2040,average,73761.40477335965
2040,median,66403.0
2041,average,73199.72453721894
2041,median,65991.0
2042,average,72661.909909209
2042,median,65551.0
2043,average,72142.05296691935
2043,median,65113.0
2044,average,71623.54574296078
2044,median,64646.0
2045,average,71132.77208339205
2045,median,64211.0
2046,average,70644.0346306052
2046,median,63731.0
2047,average,70190.50447040144
2047,median,63269.0
2048,average,69753.19174126271
2048,median,62839.0
2049,average,69332.14816017634
2049,median,62386.0
