year,size,count
2015,1,1174950
2015,2,1488110
2015,3,1167233
2015,4,851490
2015,5,380515
2015,6,188231
2015,7,69561
2015,8,31526
2015,9,16043
2015,10,19547
2016,1,1228945
2016,2,1511181
2016,3,1199762
2016,4,866315
2016,5,378777
2016,6,180086
2016,7,67846
2016,8,29982
2016,9,15363
2016,10,17611
2017,1,1284837
2017,2,1538725
2017,3,1227928
2017,4,879704
2017,5,377082
2017,6,173083
2017,7,65483
2017,8,28874
2017,9,14462
2017,10,16006
2018,1,1342516
2018,2,1570542
2018,3,1250415
2018,4,893634
2018,5,375625
2018,6,166408
2018,7,63514
2018,8,27660
2018,9,13708
2018,10,14465
2019,1,1401864
2019,2,1606392
2019,3,1269480
2019,4,905902
2019,5,374500
2019,6,160168
2019,7,61579
2019,8,26502
2019,9,12940
2019,10,13126
2020,1,1463983
2020,2,1645814
2020,3,1285374
2020,4,916594
2020,5,373866
2020,6,154918
2020,7,59624
2020,8,25279
2020,9,12066
2020,10,11945
2021,1,1528028
2021,2,1689148
2021,3,1301076
2021,4,923671
2021,5,373543
2021,6,150001
2021,7,57596
2021,8,24024
2021,9,11311
2021,10,10722
2022,1,1595379
2022,2,1736882
2022,3,1314891
2022,4,929452
2022,5,372623
2022,6,145763
2022,7,55514
2022,8,22751
2022,9,10434
2022,10,9706
2023,1,1665548
2023,2,1787005
2023,3,1326462
2023,4,935571
2023,5,371418
2023,6,141588
2023,7,53549
2023,8,21408
2023,9,9731
2023,10,8633
2024,1,1736172
2024,2,1837986
2024,3,1339280
2024,4,938501
2024,5,371187
2024,6,137637
2024,7,51433
2024,8,20136
2024,9,9127
2024,10,7691
2025,1,1809295
2025,2,1891135
2025,3,1351774
2025,4,940616
2025,5,369669
2025,6,134139
2025,7,49532
2025,8,18968
2025,9,8332
2025,10,6876
2026,1,1883605
2026,2,1946445
2026,3,1363350
2026,4,942854
2026,5,367836
2026,6,131034
2026,7,47147
2026,8,17793
2026,9,7532
2026,10,6138
2027,1,1960303
2027,2,2002487
2027,3,1375154
2027,4,944188
2027,5,365784
2027,6,127715
2027,7,45036
2027,8,16497
2027,9,6890
2027,10,5433
2028,1,2038576
2028,2,2060474
2028,3,1387756
2028,4,943986
2028,5,363860
2028,6,124360
2028,7,42700
2028,8,15410
2028,9,6217
2028,10,4812
2029,1,2119486
2029,2,2118587
2029,3,1399408
2029,4,943435
2029,5,362272
2029,6,121061
2029,7,40546
2029,8,14201
2029,9,5568
2029,10,4201
2030,1,2200539
2030,2,2177309
2030,3,1410138
2030,4,942974
2030,5,360774
2030,6,117590
2030,7,38601
2030,8,12838
2030,9,5022
2030,10,3661
2031,1,2281297
2031,2,2237654
2031,3,1421335
2031,4,942029
2031,5,358616
2031,6,114122
2031,7,36747
2031,8,11635
2031,9,4567
2031,10,3168
2032,1,2363383
2032,2,2296146
2032,3,1433077
2032,4,941721
2032,5,355796
2032,6,111339
2032,7,34423
2032,8,10712
2032,9,4034
2032,10,2717
2033,1,2445214
2033,2,2355670
2033,3,1443545
2033,4,942250
2033,5,352856
2033,6,108133
2033,7,32412
2033,8,9785
2033,9,3493
2033,10,2331
2034,1,2527312
2034,2,2414549
2034,3,1454226
2034,4,942286
2034,5,350034
2034,6,105072
2034,7,30553
2034,8,8892
2034,9,3093
2034,10,1943
2035,1,2609518
2035,2,2472363
2035,3,1465770
2035,4,942331
2035,5,347398
2035,6,102215
2035,7,28613
2035,8,8050
2035,9,2713
2035,10,1656
2036,1,2690723
2036,2,2529391
2036,3,1477121
2036,4,943275
2036,5,344269
2036,6,99363
2036,7,26835
2036,8,7258
2036,9,2369
2036,10,1413
2037,1,2770727
2037,2,2585167
2037,3,1488700
2037,4,944633
2037,5,341650
2037,6,96469
2037,7,25172
2037,8,6558
2037,9,2014
2037,10,1204
2038,1,2851307
2038,2,2637557
2038,3,1501413
2038,4,946008
2038,5,338503
2038,6,94074
2038,7,23670
2038,8,5867
2038,9,1731
2038,10,1021
2039,1,2932012
2039,2,2689995
2039,3,1512959
2039,4,947672
2039,5,336070
2039,6,91800
2039,7,22069
2039,8,5225
2039,9,1518
2039,10,860
2040,1,3015097
2040,2,2740193
2040,3,1524395
2040,4,950144
2040,5,333307
2040,6,89555
2040,7,20630
2040,8,4677
2040,9,1298
2040,10,712
2041,1,3098095
2041,2,2790906
2041,3,1533509
2041,4,953365
2041,5,330689
2041,6,87398
2041,7,19454
2041,8,4112
2041,9,1126
2041,10,581
2042,1,3182901
2042,2,2839306
2042,3,1542507
2042,4,956880
2042,5,328289
2042,6,85418
2042,7,18438
2042,8,3655
2042,9,946
2042,10,478
2043,1,3267366
2043,2,2886447
2043,3,1551712
2043,4,960121
2043,5,326239
2043,6,83620
2043,7,17468
2043,8,3250
2043,9,817
2043,10,393
2044,1,3353764
2044,2,2932162
2044,3,1560748
2044,4,962996
2044,5,324952
2044,6,81908
2044,7,16567
2044,8,2876
2044,9,714
2044,10,308
2045,1,3438178
2045,2,2978081
2045,3,1569746
2045,4,966020
2045,5,323520
2045,6,80381
2045,7,15668
2045,8,2610
2045,9,586
2045,10,253
2046,1,3525846
2046,2,3023000
2046,3,1578132
2046,4,968472
2046,5,323098
2046,6,78870
2046,7,15010
2046,8,2351
2046,9,484
2046,10,193
2047,1,3611795
2047,2,3067458
2047,3,1586115
2047,4,971188
2047,5,322292
2047,6,77931
2047,7,14346
2047,8,2142
2047,9,393
2047,10,171
2048,1,3698525
2048,2,3111658
2048,3,1593888
2048,4,973683
2048,5,322495
2048,6,76756
2048,7,13738
2048,8,1969
2048,9,341
2048,10,139
2049,1,3785900
2049,2,3155572
2049,3,1602400
2049,4,976071
2049,5,322356
2049,6,75781
2049,7,13171
2049,8,1788
2049,9,300
2049,10,113
