year,type,count
2015,SIZE_1_INC_LOW,278405
2015,SIZE_2_INC_LOW,87569
2015,SIZE_3_INC_LOW,33027
2015,SIZE_4_INC_LOW,18898
2015,SIZE_1_INC_MEDIUM,427092
2015,SIZE_2_INC_MEDIUM,260929
2015,SIZE_3_INC_MEDIUM,116113
2015,SIZE_4_INC_MEDIUM,77661
2015,SIZE_1_INC_HIGH,236200
2015,SIZE_2_INC_HIGH,314553
2015,SIZE_3_INC_HIGH,185719
2015,SIZE_4_INC_HIGH,138288
2015,SIZE_1_INC_VERY_HIGH,233253
2015,SIZE_2_INC_VERY_HIGH,825059
2015,SIZE_3_INC_VERY_HIGH,832374
2015,SIZE_4_INC_VERY_HIGH,1322066
2016,SIZE_1_INC_LOW,307258
2016,SIZE_2_INC_LOW,87780
2016,SIZE_3_INC_LOW,29593
2016,SIZE_4_INC_LOW,15158
2016,SIZE_1_INC_MEDIUM,439395
2016,SIZE_2_INC_MEDIUM,266147
2016,SIZE_3_INC_MEDIUM,114956
2016,SIZE_4_INC_MEDIUM,71825
2016,SIZE_1_INC_HIGH,247045
2016,SIZE_2_INC_HIGH,319368
2016,SIZE_3_INC_HIGH,189031
2016,SIZE_4_INC_HIGH,135502
2016,SIZE_1_INC_VERY_HIGH,235247
2016,SIZE_2_INC_VERY_HIGH,837886
2016,SIZE_3_INC_VERY_HIGH,866182
2016,SIZE_4_INC_VERY_HIGH,1333495
2017,SIZE_1_INC_LOW,320121
2017,SIZE_2_INC_LOW,89059
2017,SIZE_3_INC_LOW,28478
2017,SIZE_4_INC_LOW,13605
2017,SIZE_1_INC_MEDIUM,464093
2017,SIZE_2_INC_MEDIUM,264440
2017,SIZE_3_INC_MEDIUM,109170
2017,SIZE_4_INC_MEDIUM,65727
2017,SIZE_1_INC_HIGH,263696
2017,SIZE_2_INC_HIGH,326201
2017,SIZE_3_INC_HIGH,188583
2017,SIZE_4_INC_HIGH,129686
2017,SIZE_1_INC_VERY_HIGH,236927
2017,SIZE_2_INC_VERY_HIGH,859025
2017,SIZE_3_INC_VERY_HIGH,901697
2017,SIZE_4_INC_VERY_HIGH,1345676
2018,SIZE_1_INC_LOW,335441
2018,SIZE_2_INC_LOW,91226
2018,SIZE_3_INC_LOW,27812
2018,SIZE_4_INC_LOW,12891
2018,SIZE_1_INC_MEDIUM,485198
2018,SIZE_2_INC_MEDIUM,264615
2018,SIZE_3_INC_MEDIUM,105072
2018,SIZE_4_INC_MEDIUM,62066
2018,SIZE_1_INC_HIGH,283879
2018,SIZE_2_INC_HIGH,331504
2018,SIZE_3_INC_HIGH,185195
2018,SIZE_4_INC_HIGH,124199
2018,SIZE_1_INC_VERY_HIGH,237998
2018,SIZE_2_INC_VERY_HIGH,883197
2018,SIZE_3_INC_VERY_HIGH,932336
2018,SIZE_4_INC_VERY_HIGH,1355858
2019,SIZE_1_INC_LOW,350714
2019,SIZE_2_INC_LOW,93311
2019,SIZE_3_INC_LOW,26917
2019,SIZE_4_INC_LOW,12090
2019,SIZE_1_INC_MEDIUM,498121
2019,SIZE_2_INC_MEDIUM,266342
2019,SIZE_3_INC_MEDIUM,101327
2019,SIZE_4_INC_MEDIUM,58565
2019,SIZE_1_INC_HIGH,314674
2019,SIZE_2_INC_HIGH,338025
2019,SIZE_3_INC_HIGH,181911
2019,SIZE_4_INC_HIGH,120658
2019,SIZE_1_INC_VERY_HIGH,238355
2019,SIZE_2_INC_VERY_HIGH,908714
2019,SIZE_3_INC_VERY_HIGH,959325
2019,SIZE_4_INC_VERY_HIGH,1363404
2020,SIZE_1_INC_LOW,365964
2020,SIZE_2_INC_LOW,95999
2020,SIZE_3_INC_LOW,26100
2020,SIZE_4_INC_LOW,11273
2020,SIZE_1_INC_MEDIUM,513042
2020,SIZE_2_INC_MEDIUM,269034
2020,SIZE_3_INC_MEDIUM,97801
2020,SIZE_4_INC_MEDIUM,55725
2020,SIZE_1_INC_HIGH,347393
2020,SIZE_2_INC_HIGH,346072
2020,SIZE_3_INC_HIGH,179621
2020,SIZE_4_INC_HIGH,117686
2020,SIZE_1_INC_VERY_HIGH,237584
2020,SIZE_2_INC_VERY_HIGH,934709
2020,SIZE_3_INC_VERY_HIGH,981852
2020,SIZE_4_INC_VERY_HIGH,1369608
2021,SIZE_1_INC_LOW,381367
