year,group,male,female
2015,<18,0.005842453,0.0057476996
2015,18-29,0.56819403,0.52398604
2015,30-49,0.92700946,0.79585147
2015,50-64,0.76335764,0.56188416
2015,>=65,0.23200251,0.1442355
2016,<18,0.006429039,0.0058876723
2016,18-29,0.5610759,0.5170514
2016,30-49,0.920605,0.79056215
2016,50-64,0.75773036,0.5567212
2016,>=65,0.23354451,0.14581338
2017,<18,0.007133303,0.006176076
2017,18-29,0.5559032,0.51457727
2017,30-49,0.92048055,0.7900508
2017,50-64,0.7553431,0.55408025
2017,>=65,0.2353738,0.1470064
2018,<18,0.007154997,0.006108372
2018,18-29,0.5506613,0.5140072
2018,30-49,0.9199234,0.7893147
2018,50-64,0.7490041,0.54849535
2018,>=65,0.23342495,0.1459532
2019,<18,0.0067554037,0.005884709
2019,18-29,0.5402692,0.5099182
2019,30-49,0.91957986,0.78899586
2019,50-64,0.7579791,0.55771464
2019,>=65,0.24050961,0.15187807
2020,<18,0.0053532603,0.004563657
2020,18-29,0.54171175,0.515641
2020,30-49,0.91934156,0.7877849
2020,50-64,0.75045955,0.5512982
2020,>=65,0.2377898,0.14926985
2021,<18,0.0065312483,0.0053545334
2021,18-29,0.5511854,0.5246392
2021,30-49,0.91935015,0.78716004
2021,50-64,0.7475038,0.5497427
2021,>=65,0.23554929,0.14866565
2022,<18,0.008276823,0.0072253337
2022,18-29,0.553083,0.5289455
2022,30-49,0.9189937,0.7869919
2022,50-64,0.74320513,0.5461307
2022,>=65,0.2321531,0.14620034
2023,<18,0.007732764,0.0073156455
2023,18-29,0.55025285,0.52799165
2023,30-49,0.91861784,0.7858592
2023,50-64,0.73771936,0.54208213
2023,>=65,0.23176189,0.14508851
2024,<18,0.008517297,0.0075031244
2024,18-29,0.54639655,0.52207613
2024,30-49,0.91826403,0.7865513
2024,50-64,0.74224776,0.5464538
2024,>=65,0.23347652,0.14455816
2025,<18,0.008237242,0.0067553506
2025,18-29,0.53844345,0.5113323
2025,30-49,0.918005,0.7861592
2025,50-64,0.7369578,0.5420089
2025,>=65,0.23249991,0.14383624
2026,<18,0.0080005415,0.0067506856
2026,18-29,0.53220624,0.501447
2026,30-49,0.91718405,0.78575504
2026,50-64,0.738319,0.54191333
2026,>=65,0.2326477,0.14400549
2027,<18,0.007623917,0.007449162
2027,18-29,0.532452,0.49638522
2027,30-49,0.9167907,0.7851123
2027,50-64,0.7386899,0.54084533
2027,>=65,0.2329334,0.14331281
2028,<18,0.008124005,0.0072864243
2028,18-29,0.5378801,0.49565905
2028,30-49,0.91639924,0.7845743
2028,50-64,0.73542947,0.5374444
2028,>=65,0.22933501,0.14130327
2029,<18,0.007756566,0.007755518
2029,18-29,0.53994495,0.4962681
2029,30-49,0.9159301,0.7844335
2029,50-64,0.7436677,0.545003
2029,>=65,0.23264766,0.14312343
2030,<18,0.0073629655,0.0069979005
