year,age,men,women
2015,0,68212,64448
2015,1,64914,60856
2015,2,71197,69055
2015,3,77534,82357
2015,4,85758,81156
2015,5,81251,83102
2015,6,86801,79319
2015,7,95272,79722
2015,8,102435,94091
2015,9,95464,95068
2015,10,105443,95968
2015,11,84191,70995
2015,12,67906,62309
2015,13,89522,80346
2015,14,95231,82173
2015,15,96892,86203
2015,16,88936,84406
2015,17,81436,82391
2015,18,88697,96245
2015,19,104033,117699
2015,20,103827,110344
2015,21,98189,92536
2015,22,82765,78013
2015,23,89921,94982
2015,24,89041,92599
2015,25,91352,95631
2015,26,121609,125053
2015,27,108082,109733
2015,28,119665,120955
2015,29,125785,130467
2015,30,115219,122321
2015,31,147667,158485
2015,32,88774,94231
2015,33,111861,127030
2015,34,107954,114716
2015,35,94008,113885
2015,36,128529,143993
2015,37,105944,118246
2015,38,105079,118251
2015,39,115102,131692
2015,40,100343,112124
2015,41,174320,205638
2015,42,101210,122819
2015,43,138520,151516
2015,44,124760,142187
2015,45,93642,111945
2015,46,139697,150269
2015,47,97476,116413
2015,48,97794,116465
2015,49,107125,133989
2015,50,89679,108498
2015,51,162908,192464
2015,52,94417,114028
2015,53,118577,136835
2015,54,120450,140605
2015,55,93184,121105
2015,56,111589,126078
2015,57,91227,105695
2015,58,72245,93610
2015,59,79747,106390
2015,60,66795,85763
2015,61,118733,162382
2015,62,59622,81090
2015,63,73841,96818
2015,64,72572,93565
2015,65,51728,67694
2015,66,68541,85544
2015,67,42672,56574
2015,68,51002,62292
2015,69,44500,57734
2015,70,31516,42836
2015,71,47721,64871
2015,72,26807,38528
2015,73,39432,54747
2015,74,31276,41806
2015,75,26630,36010
2015,76,25953,38906
2015,77,22586,30373
2015,78,16879,28932
2015,79,22055,38183
2015,80,13274,17879
2015,81,21771,40430
2015,82,10998,15301
2015,83,15899,21773
2015,84,12363,21844
2015,85,11883,22380
2015,86,8718,14370
2015,87,8005,11634
2015,88,5695,10547
2015,89,3500,6216
2015,90,2361,4257
2015,91,5386,8128
2015,92,2007,2614
2015,93,2638,3410
2015,94,1728,3645
2015,95,1451,2123
2015,96,790,2503
2015,97,650,1703
2015,98,606,1472
2015,99,212,330
2015,100,626,1100
2016,0,68131,64126
2016,1,68515,64766
2016,2,65359,61332
2016,3,71696,69610
2016,4,78081,82903
2016,5,86284,81693
2016,6,81851,83607
2016,7,87427,79828
2016,8,95956,80349
2016,9,103081,94611
2016,10,96171,95636
2016,11,105981,96363
2016,12,84652,71380
2016,13,68441,62797
2016,14,90025,80875
2016,15,95854,82711
2016,16,97446,86778
2016,17,89493,84967
2016,18,82026,83058
2016,19,89355,97048
2016,20,104729,118490
2016,21,104501,110952
2016,22,98753,93066
