year,region,vacants
2015,1,8536
2015,2,8218
2015,3,8833
2015,4,10650
2015,5,9123
2015,6,10508
2015,7,11461
2015,8,12165
2015,9,12179
2015,10,12843
2015,11,12838
2015,12,14962
2015,13,7197
2015,14,3257
2015,15,4229
2015,16,3977
2015,17,4026
2015,18,4483
2015,19,5071
2015,20,5795
2015,21,4475
2015,22,5301
2015,23,5053
2015,24,5931
2015,25,2552
2015,26,4661
2015,27,3808
2015,28,4733
2015,29,6287
2015,30,5336
2015,31,5215
2015,32,5107
2015,33,7841
2015,34,5184
2015,35,8803
2015,36,8455
2015,37,6289
2015,38,1707
2015,39,4611
2015,40,4489
2015,41,6490
2015,42,8571
2015,43,6482
2015,44,4900
2015,45,5556
2015,46,2042
2015,47,3391
2015,48,3144
2015,49,4626
2015,50,4812
2015,51,4959
2015,52,4220
2015,53,4034
2015,54,4564
2015,55,3666
2015,56,6067
2015,57,4960
2015,58,4369
2015,59,6379
2015,60,4088
2015,61,3318
2015,62,4994
2015,63,4980
2015,64,4448
2015,65,5074
2015,66,4074
2015,67,3679
2015,68,6986
2015,69,5972
2015,70,4739
2015,71,4631
2015,72,7973
2015,73,14944
2015,74,2862
2015,75,5207
2015,76,20415
2015,77,16922
2015,78,8090
2015,79,13761
2015,80,12163
2015,81,13531
2015,82,15913
2015,83,4735
2015,84,4564
2015,85,5811
2015,86,8740
2015,87,7667
2015,88,8074
2015,89,19901
2015,90,592
2015,91,638
2015,92,1221
2015,93,1330
2015,94,2096
2015,95,2657
2015,96,2993
2015,97,2897
2015,98,2612
2015,99,9887
2015,100,9734
2015,101,10057
2015,102,1541
2015,103,7806
2015,104,8881
2015,105,14107
2015,106,2351
2015,107,8766
2015,108,13837
2015,109,2230
2015,110,2070
2015,111,2133
2015,112,2575
2015,113,3896
2015,114,3471
2015,115,4582
2015,116,3782
2015,117,11439
2015,118,13260
2015,119,17738
2015,120,12564
2015,121,8160
2015,122,10813
2015,123,5590
2015,124,5919
2015,125,10930
2015,126,13973
2015,127,8527
2015,128,13550
2015,129,10475
2015,130,13408
2015,131,6112
2015,132,8575
2015,133,6996
2015,134,7070
2015,135,6585
2015,136,6813
2015,137,4671
2015,138,6287
2015,139,2640
2015,140,1599
2015,141,1582
2015,142,1941
2015,143,4440
2015,144,3615
2015,145,3794
2015,146,2901
2015,147,1367
2015,148,1477
2015,149,399
2015,150,592
2015,151,1136
2015,152,288
2015,153,265
2015,154,220
2015,155,634
2015,156,957
2015,157,546
2015,166,572
2015,167,420
2015,168,646
2015,169,1208
2015,172,43
2015,175,1425
2015,176,1135
2015,177,120
2015,202,2840
2015,203,2675
2015,204,2334
2015,205,2099
2015,206,980
2015,207,2155
2015,208,1211
2015,209,364
2015,210,1410
2015,211,1020
2015,212,888
2015,213,1329
2015,214,2756
2015,215,3197
2015,216,975
2015,217,415
2015,218,396
2015,219,415
2015,223,395
2015,224,412
2015,227,633
2015,228,2329
2015,229,1565
2015,230,2458
2015,231,1544
2015,232,1814
2015,233,3780
2015,234,3010
2015,235,3084
2015,236,1785
2015,237,390
2015,239,182
2015,241,449
2015,242,1062
2015,244,2454
2015,245,2158
2015,246,3656
2015,247,3931
2015,271,1048
2015,272,1039
2015,273,2519
2015,274,2671
2015,275,995
2015,276,975
2015,277,1731
2015,278,658
2015,280,1423
2015,281,2907
2015,282,1144
2015,283,1193
2015,284,723
2015,285,1691
2015,286,795
2015,287,2429
2015,288,2937
2015,289,651
2015,290,830
2015,291,1620
2015,292,2717
2015,293,3088
2015,295,101
2015,296,276
2015,297,1294
2015,299,148
2015,301,521
2015,303,76
2015,304,588
2015,305,71
2015,306,868
2015,307,1247
2015,308,1166
2015,309,1823
2015,310,1571
2015,311,1321
2015,312,1806
