Zone,Area,Region,SUB_SECT
1,1.569,1,1
2,1.044,2,1
3,1.378,3,1
4,0.751,4,1
5,0.716,5,1
6,0.446,6,1
7,0.398,7,1
8,0.579,8,1
9,0.433,9,1
10,0.484,10,1
11,0.521,11,1
12,0.207,12,1
13,0.209,13,1
14,0.296,14,1
15,0.156,15,2
16,1.623,16,2
17,1.656,17,2
18,2.45,18,2
19,1.56,19,2
20,0.731,20,2
21,0.451,21,2
22,0.605,22,2
23,1.759,23,2
24,0.562,24,2
25,0.747,25,2
26,1.493,26,2
27,1.564,27,2
28,2.634,28,2
29,0.739,29,2
30,1.306,30,2
31,1.733,31,2
32,1.55,32,2
33,0.852,33,2
34,0.402,34,3
35,0.537,35,3
36,0.628,36,3
37,0.432,37,3
38,0.212,38,3
39,0.413,39,3
40,0.274,40,3
41,1.227,41,3
42,0.875,42,3
43,0.744,43,3
44,0.661,44,3
45,0.193,45,3
46,0.223,46,3
47,0.218,47,3
48,0.26,48,3
49,0.684,49,3
50,0.418,50,3
51,0.856,51,3
52,0.505,52,3
53,0.956,53,3
54,0.616,54,3
55,1.011,55,3
56,0.411,56,3
57,1.052,57,3
58,1.337,58,3
59,1.262,59,3
60,1.581,60,3
61,1.018,61,3
62,2.941,62,8
63,0.766,63,8
64,0.387,64,8
65,0.581,65,8
66,0.301,66,8
67,0.473,67,8
68,1.137,68,8
69,1.648,69,8
70,0.722,70,8
71,0.467,71,8
72,1.231,72,8
73,0.369,73,8
74,0.132,74,6
75,0.223,75,6
76,0.492,76,6
77,0.416,77,6
78,0.188,78,6
79,0.307,79,6
80,0.186,80,6
81,0.455,81,6
82,0.612,82,6
83,0.18,83,6
84,1.401,84,7
85,0.987,85,7
86,1.138,86,7
87,2.111,87,7
88,0.974,88,7
89,0.965,89,7
90,0.85,90,7
91,1.236,91,9
92,1.419,92,9
93,0.777,93,9
94,1.158,94,9
95,2.084,95,9
96,1.907,96,9
97,2.055,97,9
98,1.112,98,9
99,0.849,99,9
100,0.276,100,5
101,0.632,101,5
102,0.256,102,5
103,0.492,103,5
104,0.524,104,5
105,0.54,105,5
106,1.263,106,5
107,0.612,107,5
108,1.233,108,5
109,1.138,109,5
110,0.811,110,4
111,0.843,111,4
112,2.157,112,4
113,1.121,113,4
114,1.552,114,4
115,2.026,115,4
116,0.355,116,4
117,0.634,117,4
118,2.721,118,7
119,3.998,119,7
120,1.971,120,7
121,3.698,121,7
122,2.52,122,4
123,0.981,123,4
124,1.055,124,4
125,1.015,125,4
126,1.053,126,6
127,1.041,127,6
128,0.591,128,7
129,0.902,129,7
130,0.912,130,7
131,2.655,131,6
132,0.759,132,17
133,0.897,133,17
134,0.953,134,17
135,0.794,135,17
136,0.363,136,17
137,2.901,137,17
138,2.044,138,17
139,2.329,139,17
140,1.554,140,17
141,1.728,141,17
142,1.453,142,17
143,2.147,143,17
144,2.32,144,17
145,1.325,145,17
146,2.537,146,17
147,0.996,147,10
148,1.813,148,10
149,0.201,149,10
150,2.278,150,10
151,2.177,151,10
152,0.956,152,10
153,0.663,153,10
154,1.326,154,10
155,0.918,155,10
156,4.034,156,10
157,3.387,157,10
158,6.144,158,11
159,1.879,159,11
160,2.165,160,11
161,5.257,161,11
162,6.72,162,11
163,8.805,163,11
164,3.224,164,11
165,5.333,165,11
166,2.277,166,11
167,3.39,167,13
168,5.808,168,13
169,4.12,169,13
170,5.752,170,13
171,2.131,171,13
172,2.358,172,13
173,3.002,173,13
174,1.268,174,13
175,2.318,175,13
176,1.784,176,13
