year,size
2010,2.4515459049963395
2011,2.4350846514585487
2012,2.4196694669864005
2013,2.4043394539577747
2014,2.387591719008352
2015,2.3683698617499376
2016,2.347095939338627
2017,2.3253964505735545
2018,2.304401797592734
2019,2.282112895305954
2020,2.2627676885685375
2021,2.245695436823783
2022,2.2288318222068977
2023,2.2127937063850918
2024,2.19882699329935
2025,2.186768680413833
2026,2.1754462284795277
2027,2.1651063446621097
2028,2.1555401791060667
2029,2.1468470276562437
2030,2.1371671177739873
2031,2.1274126051943205
2032,2.1179016479119372
2033,2.1090992229298666
2034,2.0992592266094396
2035,2.090712922694595
2036,2.0819256851113273
2037,2.0734898687038017
2038,2.0649518832957394
2039,2.056559115839122
2040,2.047883556028593
2041,2.0391542088166514
2042,2.0305904187178463
2043,2.0220602492464437
2044,2.015246612851606
2045,2.007366735574223
2046,1.998426584997503
2047,1.9904268642143024
2048,1.9822224668391215
2049,1.9749034035236916
