year,QualityLevel,Dwellings
2011,1,118355
2011,2,102170
2011,3,102249
2011,4,117894
2016,1,123613
2016,2,96964
2016,3,97226
2016,4,122865
2021,1,126569
2021,2,94268
2021,3,93922
2021,4,125909
2026,1,128654
2026,2,92061
2026,3,92053
2026,4,127900
2031,1,129962
2031,2,90805
2031,3,90887
2031,4,129014
2036,1,130713
2036,2,90340
2036,3,90283
2036,4,129332
2041,1,131219
2041,2,89850
2041,3,90211
2041,4,129388
2046,1,131670
2046,2,89208
2046,3,90629
2046,4,129161
2051,1,131897
2051,2,89530
2051,3,90297
2051,4,128944
2056,1,118029
2056,2,102133
2056,3,102283
2056,4,118223
2061,1,122996
2061,2,97192
2061,3,97463
2061,4,123017
2066,1,126193
2066,2,94036
2066,3,94188
2066,4,126251
2071,1,128176
2071,2,92176
2071,3,92241
2071,4,128075
2076,1,129346
2076,2,91150
2076,3,90968
2076,4,129204
2081,1,129855
2081,2,90620
2081,3,90779
2081,4,129414
2086,1,130523
2086,2,90107
2086,3,89902
2086,4,130136
2091,1,131096
2091,2,90012
2091,3,89618
2091,4,129942
2096,1,131369
2096,2,89687
2096,3,89781
2096,4,129831
2101,1,131643
2101,2,89455
2101,3,90049
2101,4,129521
