year,Income,rent_250,rent_500,rent_750,rent_1000,rent_1250,rent_1500,rent_1750,rent_2000,rent_2250,rent_2500,averageRent
2011,10000,640,1921,2033,795,1843,97,924,630,63,46,882
2011,20000,8450,25388,26262,10449,24051,1582,11833,8059,1098,612,883
2011,30000,7092,26856,30626,10959,31931,1065,14873,6692,444,145,883
2011,40000,2347,8916,10395,3668,11343,291,6129,2380,159,29,910
2011,50000,1463,6045,6894,2378,7830,160,4884,1866,97,32,940
2011,60000,877,3997,4393,1592,5321,90,3987,1119,62,18,967
2011,70000,279,1344,1521,654,1866,28,1695,431,17,4,1006
2011,80000,98,443,518,253,639,7,586,141,4,2,1007
2011,90000,33,133,154,52,221,2,180,43,2,0,1011
2011,100000,10,38,45,17,60,0,50,6,0,0,975
2012,10000,1082,3272,3194,1518,2583,128,1751,780,81,86,871
2012,20000,8295,25525,25296,12726,20561,1149,13962,5874,635,532,870
2012,30000,7232,26674,28152,14059,24788,627,14039,3611,164,73,843
2012,40000,3071,11175,12235,6536,10831,216,7285,1654,63,19,868
2012,50000,1557,6680,7067,3865,6516,129,5417,1149,39,17,909
2012,60000,890,3802,4178,2461,3922,65,3878,746,33,9,943
2012,70000,317,1396,1522,1011,1436,14,1670,282,11,2,969
2012,80000,98,501,575,430,540,10,698,123,5,0,1000
2012,90000,40,160,171,121,169,0,223,28,0,0,988
2012,100000,7,45,49,29,53,0,50,8,0,0,964
2013,10000,1422,4433,4212,2740,2656,163,2603,764,120,102,860
2013,20000,8369,25801,24791,16054,15907,975,15183,4347,587,464,856
2013,30000,7613,26493,26669,17979,17002,553,13182,2396,123,46,814
2013,40000,3566,12547,12895,9407,8228,209,7714,1189,65,23,840
2013,50000,1801,6954,7286,5655,4399,131,5471,860,49,9,880
2013,60000,1007,3838,4026,3507,2618,58,3826,583,33,10,920
2013,70000,368,1459,1541,1476,989,14,1676,264,10,4,947
2013,80000,123,526,574,558,345,8,688,92,3,1,966
2013,90000,36,165,186,198,103,0,243,34,1,0,989
2013,100000,9,51,45,61,28,0,57,10,1,0,972
2014,10000,1753,5502,4860,3750,2609,141,3214,858,138,98,848
2014,20000,8616,26529,23679,18559,12702,608,15459,3960,538,351,842
2014,30000,8084,26708,24326,19452,12666,317,12200,2109,123,42,792
2014,40000,4112,13950,12952,11187,6520,113,7526,1215,69,16,813
2014,50000,1976,7337,7149,6519,3477,56,5384,831,59,12,860
2014,60000,1130,3999,3828,3995,1927,37,3561,573,40,7,892
2014,70000,421,1517,1435,1639,813,8,1623,270,20,5,929
2014,80000,122,537,581,625,254,3,640,109,5,2,947
2014,90000,45,191,184,214,82,0,246,39,3,1,964
2014,100000,16,63,57,67,29,0,73,14,2,0,961
2015,10000,1999,6244,5657,4577,2426,157,3873,748,172,76,836
2015,20000,8632,26180,23626,19712,10312,523,16383,3066,609,229,832
2015,30000,8319,25969,23490,19791,9851,249,11742,1546,176,29,773
2015,40000,4548,14512,13440,11974,5505,136,7582,942,78,9,791
2015,50000,2257,7505,7215,6814,2918,75,5435,704,76,8,840
2015,60000,1199,3946,3916,4126,1559,38,3442,443,64,8,870
2015,70000,454,1612,1517,1809,662,5,1638,218,28,2,902
2015,80000,178,559,543,674,225,7,659,95,10,3,925
2015,90000,49,192,187,244,78,3,251,47,1,0,957
2015,100000,20,67,72,92,25,0,82,15,2,0,936
2016,10000,2270,7061,6019,5362,2217,636,3724,621,117,18,805
2016,20000,9024,27169,22834,20916,8763,2320,14164,2362,398,38,801
2016,30000,8391,25586,21839,19819,8073,1717,9959,1392,266,9,759
2016,40000,4786,15283,13192,12487,4893,1057,6708,941,137,8,775
2016,50000,2398,7653,6971,7082,2591,743,4637,675,117,9,824
2016,60000,1297,4144,3864,4145,1431,468,2934,445,79,3,849
2016,70000,496,1693,1530,1847,644,232,1421,229,37,1,886
2016,80000,181,598,538,705,203,98,559,90,15,1,905
2016,90000,47,182,198,256,67,45,207,37,5,0,943
2016,100000,25,66,70,102,26,17,89,13,2,0,952
2017,10000,2555,7908,6463,6014,2094,1331,3350,568,177,6,788
2017,20000,9153,27694,22186,21579,7286,4302,11301,1916,609,14,780
2017,30000,8323,25378,20602,19789,6517,3390,8020,1309,416,5,748
2017,40000,5007,15638,13011,12946,4111,2269,5435,926,285,1,763
2017,50000,2593,7855,6859,7357,2206,1518,3769,681,232,1,809
2017,60000,1334,4220,3823,4187,1213,980,2322,463,141,3,836
2017,70000,546,1755,1523,1906,561,494,1162,232,75,0,873
2017,80000,173,596,557,737,190,212,468,99,28,1,907
2017,90000,67,198,192,301,60,77,162,41,9,0,913
2017,100000,24,79,83,100,20,40,70,13,2,0,914
2018,10000,2809,8301,6698,6489,1889,2244,2746,377,172,2,770
2018,20000,9471,27739,21784,22023,6296,7073,8815,1155,606,6,763
2018,30000,8405,24873,19587,19600,5460,5346,6329,866,417,9,737
2018,40000,5264,15775,12755,13114,3574,3721,4364,576,323,3,751
2018,50000,2695,7879,6785,7514,1937,2433,3036,483,255,1,798
2018,60000,1394,4360,3779,4251,1110,1577,1933,301,163,1,824
2018,70000,584,1840,1539,2016,508,748,941,155,79,1,851
2018,80000,181,626,547,771,169,349,422,62,35,2,905
2018,90000,74,182,208,292,43,127,125,23,10,0,889
2018,100000,28,89,83,117,23,54,64,10,6,0,910
2019,10000,3082,8813,7077,7022,1775,3007,2287,276,210,2,754
2019,20000,9753,27610,21654,22025,5266,8996,7021,851,618,18,749
2019,30000,8341,23974,18940,19010,4578,6809,5074,632,432,19,728
2019,40000,5449,15693,12620,13068,3058,4901,3637,437,312,7,741
2019,50000,2750,7999,6608,7569,1678,3075,2544,347,256,2,784
2019,60000,1449,4382,3738,4328,945,2002,1701,243,189,6,818
2019,70000,637,1930,1631,2040,436,962,831,103,84,3,832
2019,80000,179,672,560,787,156,433,350,47,32,3,884
2019,90000,84,185,203,305,44,162,135,12,17,1,900
2019,100000,27,93,79,111,15,62,50,6,6,0,881
