year,type,count
2010,SIZE_1_INC_LOW,1322
2010,SIZE_2_INC_LOW,399
2010,SIZE_3_INC_LOW,112
2010,SIZE_4_INC_LOW,9
2010,SIZE_1_INC_MEDIUM,92134
2010,SIZE_2_INC_MEDIUM,4471
2010,SIZE_3_INC_MEDIUM,3640
2010,SIZE_4_INC_MEDIUM,1377
2010,SIZE_1_INC_HIGH,15025
2010,SIZE_2_INC_HIGH,34485
2010,SIZE_3_INC_HIGH,5918
2010,SIZE_4_INC_HIGH,7340
2010,SIZE_1_INC_VERY_HIGH,0
2010,SIZE_2_INC_VERY_HIGH,71534
2010,SIZE_3_INC_VERY_HIGH,63114
2010,SIZE_4_INC_VERY_HIGH,76116
2011,SIZE_1_INC_LOW,2913
2011,SIZE_2_INC_LOW,432
2011,SIZE_3_INC_LOW,130
2011,SIZE_4_INC_LOW,13
2011,SIZE_1_INC_MEDIUM,92035
2011,SIZE_2_INC_MEDIUM,4378
2011,SIZE_3_INC_MEDIUM,2985
2011,SIZE_4_INC_MEDIUM,1105
2011,SIZE_1_INC_HIGH,13812
2011,SIZE_2_INC_HIGH,37949
2011,SIZE_3_INC_HIGH,6339
2011,SIZE_4_INC_HIGH,6481
2011,SIZE_1_INC_VERY_HIGH,0
2011,SIZE_2_INC_VERY_HIGH,69168
2011,SIZE_3_INC_VERY_HIGH,64903
2011,SIZE_4_INC_VERY_HIGH,74787
2012,SIZE_1_INC_LOW,4139
2012,SIZE_2_INC_LOW,376
2012,SIZE_3_INC_LOW,124
2012,SIZE_4_INC_LOW,10
2012,SIZE_1_INC_MEDIUM,91503
2012,SIZE_2_INC_MEDIUM,4365
2012,SIZE_3_INC_MEDIUM,2484
2012,SIZE_4_INC_MEDIUM,890
2012,SIZE_1_INC_HIGH,13759
2012,SIZE_2_INC_HIGH,40426
2012,SIZE_3_INC_HIGH,6615
2012,SIZE_4_INC_HIGH,6211
2012,SIZE_1_INC_VERY_HIGH,0
2012,SIZE_2_INC_VERY_HIGH,67611
2012,SIZE_3_INC_VERY_HIGH,65922
2012,SIZE_4_INC_VERY_HIGH,73379
2013,SIZE_1_INC_LOW,5145
2013,SIZE_2_INC_LOW,365
2013,SIZE_3_INC_LOW,112
2013,SIZE_4_INC_LOW,14
2013,SIZE_1_INC_MEDIUM,90624
2013,SIZE_2_INC_MEDIUM,4463
2013,SIZE_3_INC_MEDIUM,2236
2013,SIZE_4_INC_MEDIUM,769
2013,SIZE_1_INC_HIGH,14238
2013,SIZE_2_INC_HIGH,41394
2013,SIZE_3_INC_HIGH,6448
2013,SIZE_4_INC_HIGH,5824
2013,SIZE_1_INC_VERY_HIGH,2
2013,SIZE_2_INC_VERY_HIGH,67647
2013,SIZE_3_INC_VERY_HIGH,66818
2013,SIZE_4_INC_VERY_HIGH,71967
2014,SIZE_1_INC_LOW,6346
2014,SIZE_2_INC_LOW,322
2014,SIZE_3_INC_LOW,122
2014,SIZE_4_INC_LOW,12
2014,SIZE_1_INC_MEDIUM,89960
2014,SIZE_2_INC_MEDIUM,4528
2014,SIZE_3_INC_MEDIUM,2002
2014,SIZE_4_INC_MEDIUM,727
2014,SIZE_1_INC_HIGH,14989
2014,SIZE_2_INC_HIGH,41950
2014,SIZE_3_INC_HIGH,6316
2014,SIZE_4_INC_HIGH,5526
2014,SIZE_1_INC_VERY_HIGH,2
2014,SIZE_2_INC_VERY_HIGH,67957
2014,SIZE_3_INC_VERY_HIGH,67221
2014,SIZE_4_INC_VERY_HIGH,70622
2015,SIZE_1_INC_LOW,7192
2015,SIZE_2_INC_LOW,269
2015,SIZE_3_INC_LOW,116
2015,SIZE_4_INC_LOW,12
2015,SIZE_1_INC_MEDIUM,89866
2015,SIZE_2_INC_MEDIUM,4754
2015,SIZE_3_INC_MEDIUM,1836
2015,SIZE_4_INC_MEDIUM,715
2015,SIZE_1_INC_HIGH,15895
2015,SIZE_2_INC_HIGH,42585
2015,SIZE_3_INC_HIGH,6090
2015,SIZE_4_INC_HIGH,5405
2015,SIZE_1_INC_VERY_HIGH,3
2015,SIZE_2_INC_VERY_HIGH,68337
2015,SIZE_3_INC_VERY_HIGH,67473
