year,jobByRegion,Agr,Ind,Srv,total
2011,5,4492,9533,23767,37792
2011,8,23938,9163,14585,47686
2011,14,13438,2170,3891,19499
2011,11,21245,3083,6090,30418
2011,4,10884,2566,13360,26810
2011,13,7219,3813,4470,15502
2011,12,2443,669,4192,7304
2011,2,32094,12035,28502,72631
2011,3,26794,8466,19815,55075
2011,1,198221,36969,176760,411950
2011,10,3999,2721,6905,13625
2011,6,70850,6237,12481,89568
2011,7,41547,5795,7363,54705
2011,9,30530,2626,6010,39166
2012,5,4492,9533,23767,37792
2012,8,23938,9163,14585,47686
2012,14,13438,2170,3891,19499
2012,11,21245,3083,6090,30418
2012,4,10884,2566,13360,26810
2012,13,7219,3813,4470,15502
2012,12,2443,669,4192,7304
2012,2,32094,12035,28502,72631
2012,3,26794,8466,19815,55075
2012,1,198221,36969,176760,411950
2012,10,3999,2721,6905,13625
2012,6,70850,6237,12481,89568
2012,7,41547,5795,7363,54705
2012,9,30530,2626,6010,39166
2013,5,4492,9533,23767,37792
2013,8,23938,9163,14585,47686
2013,14,13438,2170,3891,19499
2013,11,21245,3083,6090,30418
2013,4,10884,2566,13360,26810
2013,13,7219,3813,4470,15502
2013,12,2443,669,4192,7304
2013,2,32094,12035,28502,72631
2013,3,26794,8466,19815,55075
2013,1,198221,36969,176760,411950
2013,10,3999,2721,6905,13625
2013,6,70850,6237,12481,89568
2013,7,41547,5795,7363,54705
2013,9,30530,2626,6010,39166
2014,5,4492,9533,23767,37792
2014,8,23938,9163,14585,47686
2014,14,13438,2170,3891,19499
2014,11,21245,3083,6090,30418
2014,4,10884,2566,13360,26810
2014,13,7219,3813,4470,15502
2014,12,2443,669,4192,7304
2014,2,32094,12035,28502,72631
2014,3,26794,8466,19815,55075
2014,1,198221,36969,176760,411950
2014,10,3999,2721,6905,13625
2014,6,70850,6237,12481,89568
2014,7,41547,5795,7363,54705
2014,9,30530,2626,6010,39166
2015,5,4492,9533,23767,37792
2015,8,23938,9163,14585,47686
2015,14,13438,2170,3891,19499
2015,11,21245,3083,6090,30418
2015,4,10884,2566,13360,26810
2015,13,7219,3813,4470,15502
2015,12,2443,669,4192,7304
2015,2,32094,12035,28502,72631
2015,3,26794,8466,19815,55075
2015,1,198221,36969,176760,411950
2015,10,3999,2721,6905,13625
2015,6,70850,6237,12481,89568
