year,age,men,women
2010,0,2589,2461
2010,1,4238,3943
2010,2,3484,3823
2010,3,3126,2461
2010,4,1777,1786
2010,5,1887,1548
2010,6,1537,1834
2010,7,1895,1923
2010,8,2456,2353
2010,9,1897,2394
2010,10,2399,2501
2010,11,4278,4370
2010,12,4224,4302
2010,13,4452,5166
2010,14,4822,5073
2010,15,5448,5545
2010,16,4997,5236
2010,17,4776,4675
2010,18,5270,5172
2010,19,4188,4317
2010,20,2902,2834
2010,21,3231,4399
2010,22,3593,4021
2010,23,3524,3871
2010,24,3985,3851
2010,25,4807,4781
2010,26,4354,5161
2010,27,5530,4443
2010,28,4608,4348
2010,29,4430,5415
2010,30,4186,5707
2010,31,5095,6157
2010,32,5040,5079
2010,33,5972,5750
2010,34,6012,6698
2010,35,5895,7171
2010,36,5749,7275
2010,37,7539,7082
2010,38,7120,6447
2010,39,7112,7462
2010,40,6882,8378
2010,41,6098,6368
2010,42,5472,6126
2010,43,5709,6595
2010,44,5487,6766
2010,45,5478,6143
2010,46,5755,6319
2010,47,4164,4355
2010,48,5908,6847
2010,49,5417,6749
2010,50,4937,5683
2010,51,5523,5348
2010,52,5473,5929
2010,53,5367,6181
2010,54,5952,7359
2010,55,5840,6880
2010,56,6034,6858
2010,57,6300,6967
2010,58,6138,7846
2010,59,6195,7065
2010,60,7052,6641
2010,61,6204,7877
2010,62,7455,8771
2010,63,7719,7928
2010,64,8854,8768
2010,65,9631,9770
2010,66,8246,9735
2010,67,4658,5029
2010,68,4680,5178
2010,69,5306,6522
2010,70,5637,5892
2010,71,5171,6375
2010,72,5943,6180
2010,73,3997,5861
2010,74,3767,5266
2010,75,4348,4939
2010,76,4621,6415
2010,77,4311,6538
2010,78,3906,5753
2010,79,3128,5058
2010,80,4248,5783
2010,81,3513,5243
2010,82,3116,4865
2010,83,2977,5048
2010,84,2423,4490
2010,85,2560,4362
2010,86,1692,3362
2010,87,1583,3289
2010,88,1398,3135
2010,89,1175,2505
2010,90,744,2529
2010,91,583,1972
2010,92,443,1679
2010,93,443,1581
2010,94,231,765
2010,95,136,571
2010,96,84,915
2010,97,49,340
2010,98,37,260
2010,99,27,267
2010,100,94,426
2011,0,2557,2459
2011,1,2604,2463
2011,2,4246,3959
2011,3,3499,3834
2011,4,3128,2470
2011,5,1784,1790
2011,6,1893,1556
2011,7,1543,1842
2011,8,1908,1935
2011,9,2464,2362
2011,10,1905,2411
2011,11,2422,2514
2011,12,4302,4395
2011,13,4250,4326
2011,14,4471,5183
2011,15,4860,5094
2011,16,5479,5573
2011,17,5024,5257
2011,18,4804,4702
2011,19,5285,5189
2011,20,4209,4331
2011,21,2919,2856
2011,22,3249,4413
2011,23,3609,4038
2011,24,3538,3891
2011,25,4010,3872
2011,26,4823,4801
2011,27,4372,5180
2011,28,5547,4464
2011,29,4622,4364
2011,30,4452,5441
2011,31,4203,5732
2011,32,5120,6183
2011,33,5059,5100
2011,34,5999,5774
2011,35,6029,6727
2011,36,5917,7197
2011,37,5773,7293
2011,38,7555,7112
2011,39,7145,6475
2011,40,7132,7490
2011,41,6905,8406
2011,42,6115,6386
2011,43,5493,6151
2011,44,5720,6623
2011,45,5502,6790
2011,46,5486,6161
2011,47,5773,6333
2011,48,4187,4380
2011,49,5932,6862
2011,50,5414,6759
2011,51,4944,5696
2011,52,5530,5360
2011,53,5483,5943
2011,54,5361,6186
2011,55,5933,7387
2011,56,5835,6885
2011,57,6031,6868
2011,58,6290,6963
2011,59,6112,7835
2011,60,6151,7057
2011,61,6996,6644
2011,62,6171,7879
2011,63,7402,8763
2011,64,7643,7910
2011,65,8752,8753
2011,66,9510,9712
2011,67,8119,9671
2011,68,4604,5000
2011,69,4610,5145
2011,70,5218,6470
2011,71,5512,5859
2011,72,5072,6340
2011,73,5799,6111
2011,74,3896,5795
2011,75,3633,5180
2011,76,4200,4862
2011,77,4446,6285
2011,78,4117,6390
2011,79,3725,5598
2011,80,2963,4914
2011,81,3987,5554
2011,82,3261,5002
2011,83,2870,4579
2011,84,2718,4749
2011,85,2186,4192
2011,86,2260,4024
2011,87,1491,3049
2011,88,1364,2947
2011,89,1191,2766
2011,90,962,2147
2011,91,606,2142
2011,92,449,1634
2011,93,352,1368
2011,94,326,1221
2011,95,170,595
2011,96,91,432
2011,97,59,700
2011,98,34,245
2011,99,22,183
2011,100,66,425
2012,0,2589,2428
2012,1,2566,2467
2012,2,2622,2475
2012,3,4257,3978
2012,4,3509,3851
2012,5,3133,2485
2012,6,1798,1798
2012,7,1903,1563
2012,8,1548,1848
2012,9,1918,1947
2012,10,2471,2373
2012,11,1920,2417
2012,12,2436,2528
2012,13,4319,4417
2012,14,4262,4348
2012,15,4491,5198
2012,16,4899,5115
2012,17,5511,5607
2012,18,5047,5275
2012,19,4823,4723
2012,20,5298,5216
2012,21,4225,4348
2012,22,2938,2885
2012,23,3265,4429
2012,24,3622,4056
2012,25,3556,3903
2012,26,4033,3896
2012,27,4843,4830
2012,28,4400,5199
2012,29,5559,4490
2012,30,4639,4387
2012,31,4467,5465
2012,32,4220,5756
2012,33,5150,6206
2012,34,5073,5129
2012,35,6013,5815
2012,36,6045,6751
2012,37,5934,7216
2012,38,5808,7325
2012,39,7585,7149
2012,40,7159,6508
2012,41,7143,7519
2012,42,6933,8421
2012,43,6130,6417
2012,44,5506,6176
2012,45,5729,6641
2012,46,5517,6802
2012,47,5495,6174
2012,48,5778,6352
2012,49,4201,4414
2012,50,5937,6882
2012,51,5419,6770
2012,52,4941,5713
2012,53,5536,5374
2012,54,5467,5956
2012,55,5367,6194
2012,56,5932,7400
2012,57,5828,6895
2012,58,6023,6884
2012,59,6243,6968
2012,60,6089,7844
2012,61,6122,7053
2012,62,6943,6638
2012,63,6141,7859
2012,64,7343,8753
2012,65,7565,7888
2012,66,8667,8704
2012,67,9393,9688
2012,68,7988,9604
2012,69,4531,4962
2012,70,4520,5122
2012,71,5118,6420
2012,72,5398,5809
2012,73,4975,6289
2012,74,5643,6051
2012,75,3774,5701
2012,76,3520,5105
2012,77,4048,4793
2012,78,4295,6154
2012,79,3940,6218
2012,80,3542,5425
2012,81,2761,4724
2012,82,3696,5328
2012,83,3006,4755
2012,84,2627,4306
2012,85,2425,4442
2012,86,1946,3851
2012,87,1999,3644
2012,88,1277,2748
2012,89,1136,2628
2012,90,979,2352
2012,91,771,1822
2012,92,488,1789
2012,93,353,1296
2012,94,283,1075
2012,95,239,963
2012,96,119,460
2012,97,64,315
2012,98,39,466
2012,99,19,177
2012,100,53,398
2013,0,2589,2406
2013,1,2601,2428
2013,2,2580,2475
2013,3,2638,2495
2013,4,4274,3999
2013,5,3528,3860
2013,6,3136,2487
2013,7,1808,1806
2013,8,1909,1578
2013,9,1558,1856
2013,10,1927,1956
2013,11,2480,2380
2013,12,1930,2435
2013,13,2450,2544
2013,14,4339,4440
2013,15,4276,4371
2013,16,4509,5229
2013,17,4923,5140
2013,18,5536,5630
2013,19,5063,5301
2013,20,4848,4750
2013,21,5314,5236
2013,22,4233,4357
2013,23,2959,2918
2013,24,3281,4438
2013,25,3644,4074
2013,26,3566,3922
2013,27,4055,3918
2013,28,4857,4864
2013,29,4421,5214
2013,30,5580,4514
2013,31,4658,4412
2013,32,4478,5487
2013,33,4236,5777
2013,34,5168,6233
2013,35,5092,5147
2013,36,6042,5854
2013,37,6064,6789
2013,38,5954,7241
2013,39,5835,7358
2013,40,7612,7176
2013,41,7187,6546
2013,42,7169,7546
2013,43,6951,8442
2013,44,6141,6439
2013,45,5510,6204
2013,46,5733,6662
2013,47,5512,6827
2013,48,5503,6194
2013,49,5782,6374
2013,50,4215,4437
2013,51,5930,6894
2013,52,5422,6765
2013,53,4939,5727
2013,54,5542,5372
2013,55,5466,5973
2013,56,5365,6211
2013,57,5919,7407
2013,58,5792,6911
2013,59,6005,6892
2013,60,6222,6962
2013,61,6066,7838
2013,62,6073,7060
2013,63,6875,6641
2013,64,6092,7846
2013,65,7257,8727
2013,66,7470,7871
2013,67,8563,8661
2013,68,9261,9634
2013,69,7851,9515
2013,70,4457,4930
2013,71,4442,5088
2013,72,5027,6366
2013,73,5288,5753
2013,74,4845,6217
2013,75,5468,5955
2013,76,3663,5598
2013,77,3399,4996
2013,78,3876,4688
2013,79,4102,5988
2013,80,3747,6018
2013,81,3314,5228
2013,82,2604,4516
2013,83,3380,5084
2013,84,2740,4499
2013,85,2363,4008
2013,86,2170,4089
2013,87,1733,3506
2013,88,1722,3263
2013,89,1093,2406
2013,90,925,2284
2013,91,790,1989
2013,92,610,1489
2013,93,391,1421
2013,94,269,1033
2013,95,200,828
2013,96,168,736
2013,97,73,324
2013,98,39,229
2013,99,29,309
2013,100,35,362
2014,0,2582,2467
2014,1,2597,2416
2014,2,2613,2437
2014,3,2597,2491
2014,4,2659,2523
2014,5,4291,4018
2014,6,3542,3865
2014,7,3145,2494
2014,8,1812,1811
2014,9,1916,1586
2014,10,1567,1865
2014,11,1934,1971
2014,12,2493,2394
2014,13,1942,2440
2014,14,2465,2566
2014,15,4369,4455
2014,16,4294,4391
2014,17,4534,5257
2014,18,4947,5173
2014,19,5559,5662
2014,20,5084,5323
2014,21,4872,4780
2014,22,5326,5258
2014,23,4246,4372
2014,24,2975,2937
2014,25,3296,4455
2014,26,3656,4094
2014,27,3580,3938
2014,28,4081,3934
2014,29,4877,4888
2014,30,4449,5232
2014,31,5604,4539
2014,32,4675,4441
2014,33,4497,5512
2014,34,4263,5807
2014,35,5189,6252
2014,36,5112,5178
2014,37,6061,5895
2014,38,6097,6825
2014,39,5984,7273
2014,40,5871,7387
2014,41,7633,7209
2014,42,7204,6584
2014,43,7196,7588
2014,44,6967,8461
2014,45,6166,6464
2014,46,5526,6216
2014,47,5741,6692
2014,48,5532,6850
2014,49,5513,6214
2014,50,5779,6376
2014,51,4225,4459
2014,52,5938,6912
2014,53,5432,6784
2014,54,4947,5733
2014,55,5549,5383
2014,56,5469,5984
2014,57,5348,6220
2014,58,5905,7399
2014,59,5770,6925
2014,60,5973,6887
2014,61,6206,6956
2014,62,6010,7842
2014,63,6020,7058
2014,64,6796,6624
2014,65,6018,7849
2014,66,7172,8694
2014,67,7389,7847
2014,68,8462,8605
2014,69,9112,9595
