year,region,time
2010,5,18.952003
2010,8,22.939108
2010,14,21.182009
2010,11,18.27792
2010,4,14.634245
2010,13,16.157703
2010,12,14.614057
2010,2,15.2747755
2010,3,16.00469
2010,15,17.217684
2010,1,10.634309
2010,10,11.519756
2010,6,21.789776
2010,7,27.396912
2010,9,18.185524
2011,5,19.805824
2011,8,23.359957
2011,14,21.52982
2011,11,18.571915
2011,4,15.288505
2011,13,16.155163
2011,12,14.805793
2011,2,16.07082
2011,3,17.2535
2011,15,18.025085
2011,1,11.430498
2011,10,11.957793
2011,6,22.406065
2011,7,28.045818
2011,9,18.659658
2012,5,20.371515
2012,8,23.529577
2012,14,21.758402
2012,11,18.7275
2012,4,15.675596
2012,13,16.25187
2012,12,15.173541
2012,2,16.707638
2012,3,18.092604
2012,15,18.52237
2012,1,12.053843
2012,10,12.164584
2012,6,22.771542
2012,7,28.238111
2012,9,18.782444
2013,5,20.911299
2013,8,23.68428
2013,14,22.053993
2013,11,18.899107
2013,4,16.086039
2013,13,16.16798
2013,12,15.453875
2013,2,17.271215
2013,3,18.749477
2013,15,18.966726
2013,1,12.590018
2013,10,12.28783
2013,6,23.125597
2013,7,28.532276
2013,9,18.853615
2014,5,21.436443
2014,8,23.920618
2014,14,22.200224
2014,11,19.044458
2014,4,16.54514
2014,13,16.161945
2014,12,15.61747
2014,2,17.827127
2014,3,19.325687
2014,15,19.35316
2014,1,13.07469
2014,10,12.360914
2014,6,23.342623
2014,7,28.744982
2014,9,18.98079
2015,5,22.019016
2015,8,24.121786
2015,14,22.446493
2015,11,19.170565
2015,4,16.76273
2015,13,16.23353
2015,12,15.737588
2015,2,18.357285
2015,3,19.695087
2015,15,19.695335
2015,1,13.554701
2015,10,12.541658
2015,6,23.567236
2015,7,29.130451
2015,9,19.08965
2016,5,22.554037
2016,8,24.28303
2016,14,22.739187
2016,11,19.244537
2016,4,17.02676
2016,13,16.357225
2016,12,16.112234
2016,2,18.786896
2016,3,20.00483
2016,15,20.00738
2016,1,14.029549
2016,10,12.667233
2016,6,23.66582
2016,7,29.487368
2016,9,19.150711
2017,5,23.04964
2017,8,24.496067
2017,14,22.946299
2017,11,19.279467
2017,4,17.25781
2017,13,16.406487
2017,12,16.37399
2017,2,19.138437
2017,3,20.285795
2017,15,20.299385
2017,1,14.466559
2017,10,12.836416
2017,6,23.877563
2017,7,29.950363
2017,9,19.165655
2018,5,23.605455
2018,8,24.691175
2018,14,23.145102
2018,11,19.392174
2018,4,17.488827
2018,13,16.560848
2018,12,16.565134
2018,2,19.443012
2018,3,20.506685
2018,15,20.526758
2018,1,14.835586
2018,10,12.909071
2018,6,23.997791
2018,7,30.204426
2018,9,19.197521
2019,5,24.11822
2019,8,24.819788
2019,14,23.370024
2019,11,19.449152
2019,4,17.642029
2019,13,16.596067
2019,12,16.681177
2019,2,19.737413
2019,3,20.713917
2019,15,20.724842
2019,1,15.219938
2019,10,12.999008
2019,6,24.127907
2019,7,30.49978
2019,9,19.279173
2020,5,24.521791
2020,8,24.93864
2020,14,23.410435
2020,11,19.48274
2020,4,17.65355
2020,13,16.652266
2020,12,16.897242
2020,2,19.997211
2020,3,20.86809
2020,15,20.907837
2020,1,15.536805
2020,10,13.133344
2020,6,24.232996
2020,7,30.715164
2020,9,19.30802
2021,5,24.962402
2021,8,25.057076
2021,14,23.460793
2021,11,19.496752
2021,4,17.771023
2021,13,16.658136
2021,12,16.880392
2021,2,20.249245
2021,3,20.997791
2021,15,21.08308
2021,1,15.869233
2021,10,13.2062
2021,6,24.394812
2021,7,30.86393
2021,9,19.330048
2022,5,25.248384
2022,8,25.048939
2022,14,23.55252
2022,11,19.4897
2022,4,17.757385
2022,13,16.647638
2022,12,17.013458
2022,2,20.43104
2022,3,21.11849
2022,15,21.217703
2022,1,16.135248
2022,10,13.303266
2022,6,24.456245
2022,7,31.032446
2022,9,19.393286
2023,5,26.137268
2023,8,25.542313
2023,14,25.712822
2023,11,21.587929
2023,4,19.32854
2023,13,17.765242
2023,12,19.172415
2023,2,22.763018
2023,3,22.633808
2023,15,23.212315
2023,1,16.785305
2023,10,15.222236
2023,6,24.852993
2023,7,31.381706
2023,9,21.025518
2024,5,26.281178
2024,8,25.485735
2024,14,25.810555
2024,11,21.549837
2024,4,19.413534
2024,13,17.679237
2024,12,19.01289
2024,2,22.830883
2024,3,22.770262
2024,15,23.34371
2024,1,16.967451
2024,10,15.341267
2024,6,24.818666
2024,7,31.669376
2024,9,20.909193
2025,5,26.379328
2025,8,25.356283
2025,14,25.87057
2025,11,21.544008
2025,4,19.499228
2025,13,17.58521
2025,12,18.827448
