year,event,count
2010,EmploymentEvent,14735
2010,DivorceEvent,1302
2010,LeaveParentsEvent,282
2010,MigrationEvent,8865
2010,MarriageEvent,6814
2010,DeathEvent,14071
2010,DemolitionEvent,412
2010,RenovationEvent,448130
2010,LicenseEvent,32832
2010,BirthEvent,4875
2010,ConstructionEvent,9
2010,BirthDayEvent,904668
2010,MoveEvent,23358
2011,EmploymentEvent,25363
2011,DivorceEvent,1361
2011,LeaveParentsEvent,462
2011,MigrationEvent,1714
2011,MarriageEvent,6716
2011,DeathEvent,14505
2011,DemolitionEvent,400
2011,RenovationEvent,447731
2011,LicenseEvent,17778
2011,BirthEvent,5039
2011,ConstructionEvent,110
2011,BirthDayEvent,917225
2011,MoveEvent,25281
2012,EmploymentEvent,24362
2012,DivorceEvent,1395
2012,LeaveParentsEvent,622
2012,MigrationEvent,1849
2012,MarriageEvent,6670
2012,DeathEvent,14394
2012,DemolitionEvent,443
2012,RenovationEvent,447418
2012,BirthEvent,5017
2012,LicenseEvent,14142
2012,ConstructionEvent,1105
2012,BirthDayEvent,912228
2012,MoveEvent,25442
2013,EmploymentEvent,23986
2013,DivorceEvent,1392
2013,LeaveParentsEvent,785
2013,MigrationEvent,1835
2013,MarriageEvent,6154
2013,DeathEvent,14495
2013,DemolitionEvent,507
2013,RenovationEvent,448076
2013,LicenseEvent,13633
2013,BirthEvent,5001
2013,ConstructionEvent,2558
2013,BirthDayEvent,907223
2013,MoveEvent,26587
2014,EmploymentEvent,24603
2014,DivorceEvent,1413
2014,LeaveParentsEvent,999
2014,MigrationEvent,1907
2014,MarriageEvent,6066
2014,DeathEvent,14520
2014,DemolitionEvent,454
2014,RenovationEvent,450135
2014,BirthEvent,4807
2014,LicenseEvent,12673
2014,ConstructionEvent,2440
2014,BirthDayEvent,901960
2014,MoveEvent,27289
2015,EmploymentEvent,24518
2015,DivorceEvent,1477
2015,LeaveParentsEvent,1274
2015,MigrationEvent,1987
2015,MarriageEvent,5933
2015,DeathEvent,14919
2015,DemolitionEvent,431
2015,RenovationEvent,452125
2015,BirthEvent,4816
2015,LicenseEvent,11798
2015,ConstructionEvent,2498
2015,BirthDayEvent,896716
2015,MoveEvent,28772
2016,EmploymentEvent,24377
2016,DivorceEvent,1519
2016,LeaveParentsEvent,1546
2016,MigrationEvent,1691
2016,MarriageEvent,5995
2016,DeathEvent,14829
2016,DemolitionEvent,443
2016,RenovationEvent,454168
2016,BirthEvent,4741
2016,LicenseEvent,10491
2016,ConstructionEvent,1995
2016,BirthDayEvent,891427
2016,MoveEvent,29306
2017,EmploymentEvent,23967
2017,DivorceEvent,1439
2017,LeaveParentsEvent,1784
2017,MigrationEvent,1727
2017,MarriageEvent,5719
2017,DeathEvent,15027
2017,DemolitionEvent,445
2017,RenovationEvent,455738
2017,LicenseEvent,9906
2017,BirthEvent,4637
2017,ConstructionEvent,2464
2017,BirthDayEvent,885376
2017,MoveEvent,30063
2018,EmploymentEvent,23356
2018,DivorceEvent,1418
2018,LeaveParentsEvent,2099
2018,MigrationEvent,1880
2018,MarriageEvent,5529
2018,DeathEvent,14709
2018,DemolitionEvent,377
2018,RenovationEvent,457792
2018,LicenseEvent,7995
2018,BirthEvent,4428
2018,ConstructionEvent,1787
2018,BirthDayEvent,879144
2018,MoveEvent,30706
2019,EmploymentEvent,22846
2019,DivorceEvent,1395
2019,LeaveParentsEvent,2222
2019,MigrationEvent,1842
2019,MarriageEvent,5683
2019,DeathEvent,14879
2019,DemolitionEvent,446
2019,RenovationEvent,459177
2019,BirthEvent,4320
2019,LicenseEvent,5759
2019,ConstructionEvent,1874
2019,BirthDayEvent,873147
2019,MoveEvent,31225
2020,EmploymentEvent,22421
2020,DivorceEvent,1451
2020,LeaveParentsEvent,2046
2020,MigrationEvent,1968
2020,MarriageEvent,5831
2020,DeathEvent,14880
2020,DemolitionEvent,429
2020,RenovationEvent,460608
2020,LicenseEvent,5127
2020,BirthEvent,4357
2020,ConstructionEvent,1909
2020,BirthDayEvent,866903
2020,MoveEvent,30719
2021,EmploymentEvent,22383
2021,DivorceEvent,1499
2021,LeaveParentsEvent,1990
2021,MigrationEvent,1559
2021,MarriageEvent,5588
2021,DeathEvent,15133
2021,DemolitionEvent,384
2021,RenovationEvent,462120
2021,LicenseEvent,4939
2021,BirthEvent,4439
2021,ConstructionEvent,1312
2021,BirthDayEvent,860769
2021,MoveEvent,31248
2022,EmploymentEvent,21014
2022,DivorceEvent,1488
2022,LeaveParentsEvent,1896
2022,MigrationEvent,1717
2022,MarriageEvent,5536
2022,DeathEvent,15145
2022,DemolitionEvent,429
2022,RenovationEvent,462999
2022,BirthEvent,4275
2022,LicenseEvent,4117
2022,ConstructionEvent,1279
2022,BirthDayEvent,853582
2022,MoveEvent,31441
2023,EmploymentEvent,20764
2023,DivorceEvent,1500
2023,LeaveParentsEvent,1924
2023,MigrationEvent,1768
2023,MarriageEvent,5531
2023,DeathEvent,15314
2023,DemolitionEvent,418
2023,RenovationEvent,463850
2023,LicenseEvent,3767
2023,BirthEvent,4377
2023,ConstructionEvent,1301
2023,BirthDayEvent,846197
2023,MoveEvent,33537
2024,EmploymentEvent,19897
2024,DivorceEvent,1462
2024,LeaveParentsEvent,1884
2024,MigrationEvent,1796
2024,MarriageEvent,5635
2024,DeathEvent,15210
2024,DemolitionEvent,424
2024,RenovationEvent,464757
2024,LicenseEvent,3843
2024,BirthEvent,4360
2024,ConstructionEvent,2042
2024,BirthDayEvent,839344
2024,MoveEvent,34086
2025,EmploymentEvent,19414
2025,DivorceEvent,1469
2025,LeaveParentsEvent,1763
2025,MigrationEvent,1755
2025,MarriageEvent,5406
2025,DeathEvent,15404
2025,DemolitionEvent,480
2025,RenovationEvent,466337
2025,BirthEvent,4541
2025,LicenseEvent,4635
2025,ConstructionEvent,2462
2025,BirthDayEvent,832281
2025,MoveEvent,34484
2026,EmploymentEvent,19353
2026,DivorceEvent,1437
2026,LeaveParentsEvent,1720
2026,MigrationEvent,1543
2026,MarriageEvent,5244
2026,DeathEvent,15430
2026,DemolitionEvent,439
2026,RenovationEvent,468361
2026,BirthEvent,4615
2026,LicenseEvent,6507
2026,ConstructionEvent,1490
2026,BirthDayEvent,825268
2026,MoveEvent,34922
2027,EmploymentEvent,19964
2027,DivorceEvent,1468
2027,LeaveParentsEvent,1682
2027,MigrationEvent,1521
2027,MarriageEvent,5096
2027,DeathEvent,15369
2027,DemolitionEvent,426
2027,RenovationEvent,469390
2027,LicenseEvent,8031
2027,BirthEvent,4397
2027,ConstructionEvent,1637
2027,BirthDayEvent,817852
2027,MoveEvent,35208
2028,EmploymentEvent,19870
2028,DivorceEvent,1413
2028,LeaveParentsEvent,1718
2028,MigrationEvent,1617
2028,MarriageEvent,5049
2028,DeathEvent,15220
2028,DemolitionEvent,453
2028,RenovationEvent,470592
2028,LicenseEvent,7346
2028,BirthEvent,4464
2028,ConstructionEvent,1406
2028,BirthDayEvent,810209
2028,MoveEvent,35551
2029,EmploymentEvent,19170
2029,DivorceEvent,1461
2029,LeaveParentsEvent,1798
2029,MigrationEvent,1481
2029,MarriageEvent,4855
2029,DeathEvent,15466
2029,DemolitionEvent,419
2029,RenovationEvent,471549
2029,LicenseEvent,5800
2029,BirthEvent,4415
2029,ConstructionEvent,1370
2029,BirthDayEvent,802913
2029,MoveEvent,35945
2030,EmploymentEvent,19570
2030,DivorceEvent,1377
2030,LeaveParentsEvent,1821
2030,MigrationEvent,1687
2030,MarriageEvent,4710
2030,DeathEvent,15837
2030,DemolitionEvent,440
2030,RenovationEvent,472494
2030,BirthEvent,4417
2030,LicenseEvent,5554
2030,ConstructionEvent,1143
2030,BirthDayEvent,794818
2030,MoveEvent,36316
2031,EmploymentEvent,19880
2031,DivorceEvent,1356
2031,LeaveParentsEvent,1805
2031,MigrationEvent,1676
2031,MarriageEvent,4593
2031,DeathEvent,15618
2031,DemolitionEvent,425
2031,RenovationEvent,473220
2031,BirthEvent,4276
2031,LicenseEvent,5468
2031,ConstructionEvent,1360
2031,BirthDayEvent,787101
2031,MoveEvent,36857
2032,EmploymentEvent,20180
2032,DivorceEvent,1336
2032,LeaveParentsEvent,1802
2032,MigrationEvent,1616
2032,MarriageEvent,4257
2032,DeathEvent,15766
2032,DemolitionEvent,468
2032,RenovationEvent,474132
2032,BirthEvent,4069
2032,LicenseEvent,5405
2032,ConstructionEvent,986
2032,BirthDayEvent,779163
2032,MoveEvent,36706
2033,EmploymentEvent,19436
2033,DivorceEvent,1334
2033,LeaveParentsEvent,1832
2033,MigrationEvent,1809
2033,MarriageEvent,4356
2033,DeathEvent,15780
2033,DemolitionEvent,434
2033,RenovationEvent,474656
2033,BirthEvent,3777
2033,LicenseEvent,5139
2033,ConstructionEvent,940
2033,BirthDayEvent,770927
2033,MoveEvent,37066
2034,EmploymentEvent,19455
2034,DivorceEvent,1320
2034,LeaveParentsEvent,1749
2034,MigrationEvent,1961
2034,MarriageEvent,4173
2034,DeathEvent,15784
2034,DemolitionEvent,472
2034,RenovationEvent,475165
2034,LicenseEvent,5135
2034,BirthEvent,3537
2034,ConstructionEvent,869
2034,BirthDayEvent,762639
2034,MoveEvent,36582
2035,EmploymentEvent,18942
2035,DivorceEvent,1373
2035,LeaveParentsEvent,1731
2035,MigrationEvent,2024
2035,MarriageEvent,4219
2035,DeathEvent,16071
2035,DemolitionEvent,419
2035,RenovationEvent,475561
2035,BirthEvent,3314
2035,LicenseEvent,5141
2035,ConstructionEvent,790
2035,BirthDayEvent,754386
2035,MoveEvent,37312
2036,EmploymentEvent,18987
2036,DivorceEvent,1251
2036,LeaveParentsEvent,1701
2036,MigrationEvent,2109
2036,MarriageEvent,4148
2036,DeathEvent,15864
2036,DemolitionEvent,433
2036,RenovationEvent,475938
2036,BirthEvent,3295
2036,LicenseEvent,4951
2036,ConstructionEvent,758
2036,BirthDayEvent,745975
2036,MoveEvent,37377
2037,EmploymentEvent,18811
2037,DivorceEvent,1287
2037,LeaveParentsEvent,1664
2037,MigrationEvent,2104
2037,MarriageEvent,3964
2037,DeathEvent,16184
2037,DemolitionEvent,426
2037,RenovationEvent,476264
2037,LicenseEvent,4807
2037,BirthEvent,3161
2037,ConstructionEvent,693
2037,BirthDayEvent,737683
2037,MoveEvent,37512
2038,EmploymentEvent,18051
2038,DivorceEvent,1287
2038,LeaveParentsEvent,1692
2038,MigrationEvent,2273
2038,MarriageEvent,4073
2038,DeathEvent,15839
2038,DemolitionEvent,435
2038,RenovationEvent,476530
2038,BirthEvent,3084
2038,LicenseEvent,4628
2038,ConstructionEvent,586
2038,BirthDayEvent,729120
2038,MoveEvent,37730
2039,EmploymentEvent,18421
2039,DivorceEvent,1244
2039,LeaveParentsEvent,1630
2039,MigrationEvent,2154
2039,MarriageEvent,3953
2039,DeathEvent,15805
