year,variable,value
2010,average,69178.79819640607
2010,median,63792.0
2011,average,68413.85867195138
2011,median,63483.0
2012,average,67950.06088079132
2012,median,63208.0
2013,average,67765.54992217621
2013,median,63116.0
2014,average,67545.18810862707
2014,median,62944.0
2015,average,67255.55257712962
2015,median,62720.0
2016,average,66884.57391674528
2016,median,62393.0
2017,average,66358.29181043644
2017,median,61997.0
2018,average,65725.22834181903
2018,median,61461.0
2019,average,65090.28060777884
2019,median,60943.0
2020,average,64426.53878202703
2020,median,60403.0
2021,average,63785.35419206462
2021,median,59853.0
2022,average,63182.06157552447
2022,median,59320.0
2023,average,62595.6358939344
2023,median,58831.0
2024,average,62196.561740675796
2024,median,58496.0
2025,average,61951.17913198964
2025,median,58252.0
2026,average,61824.29591319232
2026,median,58052.0
2027,average,61604.658513673094
2027,median,57708.0
2028,average,61388.58020471446
2028,median,57432.0
2029,average,61145.7138652083
2029,median,57161.0
2030,average,60870.6704130351
2030,median,56824.0
2031,average,60600.543334309514
2031,median,56460.5
2032,average,60325.67236485896
2032,median,56086.0
2033,average,60070.93034485788
2033,median,55776.5
2034,average,59792.130373664004
2034,median,55390.5
2035,average,59542.11058830723
2035,median,55113.0
2036,average,59284.45651365163
2036,median,54792.0
2037,average,59034.32291593293
2037,median,54487.0
2038,average,58821.84277990832
2038,median,54268.0
2039,average,58592.45509375527
2039,median,54058.0
2040,average,58405.11609757783
2040,median,53831.0
2041,average,58218.980016930385
2041,median,53659.5
2042,average,58046.821381124646
2042,median,53413.0
2043,average,57856.41696934049
2043,median,53227.0
2044,average,57678.21771050378
2044,median,53039.0
2045,average,57522.86608345554
2045,median,52818.0
2046,average,57357.568121597535
2046,median,52604.0
2047,average,57210.43942641014
2047,median,52385.0
2048,average,57063.299566347065
2048,median,52198.0
2049,average,56920.81752532441
2049,median,52022.0
