year,size,count
2010,1,108568
2010,2,110940
2010,3,72589
2010,4,55279
2010,5,24055
2010,6,4632
2010,7,900
2010,8,61
2010,9,1
2010,10,0
2011,1,109016
2011,2,111688
2011,3,74136
2011,4,54885
2011,5,22577
2011,6,4286
2011,7,795
2011,8,57
2011,9,1
2011,10,0
2012,1,109686
2012,2,112672
2012,3,75197
2012,4,54359
2012,5,21319
2012,6,3989
2012,7,720
2012,8,58
2012,9,1
2012,10,0
2013,1,110722
2013,2,113457
2013,3,75558
2013,4,53990
2013,5,20191
2013,6,3796
2013,7,643
2013,8,60
2013,9,2
2013,10,0
2014,1,112213
2014,2,114436
2014,3,75650
2014,4,53290
2014,5,19321
2014,6,3582
2014,7,578
2014,8,59
2014,9,3
2014,10,0
2015,1,114042
2015,2,115301
2015,3,75550
2015,4,52453
2015,5,18493
2015,6,3449
2015,7,527
2015,8,61
2015,9,4
2015,10,0
2016,1,116083
2016,2,116060
2016,3,75509
2016,4,51233
2016,5,17764
2016,6,3352
2016,7,478
2016,8,59
2016,9,5
2016,10,0
2017,1,118212
2017,2,116837
2017,3,75307
2017,4,49885
2017,5,17014
2017,6,3337
2017,7,452
2017,8,58
2017,9,5
2017,10,0
2018,1,120769
2018,2,117513
2018,3,75010
2018,4,48576
2018,5,16393
2018,6,3246
2018,7,451
2018,8,53
2018,9,4
2018,10,0
2019,1,123241
2019,2,118196
2019,3,74575
2019,4,47231
2019,5,15759
2019,6,3202
2019,7,438
2019,8,59
2019,9,4
2019,10,0
2020,1,125476
2020,2,119081
2020,3,73985
2020,4,45856
2020,5,15195
2020,6,3204
2020,7,449
2020,8,60
2020,9,3
2020,10,0
2021,1,127358
2021,2,119458
2021,3,73410
2021,4,44391
2021,5,14658
2021,6,3272
2021,7,463
2021,8,56
2021,9,3
2021,10,0
2022,1,129197
2022,2,119969
2022,3,72372
2022,4,43070
2022,5,14251
2022,6,3330
2022,7,470
2022,8,56
2022,9,2
2022,10,0
2023,1,130844
2023,2,120481
2023,3,71410
2023,4,41707
2023,5,13880
2023,6,3359
2023,7,521
2023,8,48
2023,9,4
2023,10,0
2024,1,132099
2024,2,120875
2024,3,70518
2024,4,40534
2024,5,13500
2024,6,3390
2024,7,537
2024,8,51
2024,9,3
2024,10,0
2025,1,133079
2025,2,120993
2025,3,69441
2025,4,39431
2025,5,13326
2025,6,3409
2025,7,554
2025,8,59
2025,9,3
2025,10,0
2026,1,133674
2026,2,120855
2026,3,68490
