year,group,male,female
2010,<18,0.099094,0.114704
2010,18-29,0.563468,0.580364
2010,30-49,0.837042,0.702759
2010,50-64,0.769991,0.585454
2010,>=65,0.325799,0.227089
2011,<18,0.100524,0.115761
2011,18-29,0.564169,0.581526
2011,30-49,0.852466,0.717829
2011,50-64,0.788551,0.600799
2011,>=65,0.335705,0.233811
2012,<18,0.102061,0.119013
2012,18-29,0.552553,0.571493
2012,30-49,0.853092,0.717460
2012,50-64,0.790962,0.601951
2012,>=65,0.335789,0.233643
2013,<18,0.100454,0.115390
2013,18-29,0.531337,0.560714
2013,30-49,0.853131,0.718331
2013,50-64,0.792223,0.600972
2013,>=65,0.335133,0.233790
2014,<18,0.098462,0.113933
2014,18-29,0.527703,0.553965
2014,30-49,0.853333,0.717867
2014,50-64,0.792088,0.601545
2014,>=65,0.329711,0.233854
2015,<18,0.097466,0.115227
2015,18-29,0.525140,0.553256
2015,30-49,0.853398,0.718866
2015,50-64,0.794034,0.602037
2015,>=65,0.327404,0.232238
2016,<18,0.094492,0.112957
2016,18-29,0.534755,0.562264
2016,30-49,0.854028,0.719135
2016,50-64,0.795509,0.603894
2016,>=65,0.324921,0.230556
2017,<18,0.092431,0.112984
2017,18-29,0.544485,0.571393
2017,30-49,0.854794,0.720608
2017,50-64,0.795101,0.607619
2017,>=65,0.321752,0.231138
2018,<18,0.093319,0.112399
2018,18-29,0.570864,0.591700
2018,30-49,0.855161,0.719349
2018,50-64,0.796517,0.607464
2018,>=65,0.319421,0.229405
2019,<18,0.093628,0.115217
2019,18-29,0.596657,0.615445
2019,30-49,0.856505,0.720685
2019,50-64,0.798175,0.609143
2019,>=65,0.316955,0.229036
2020,<18,0.092988,0.114919
2020,18-29,0.616937,0.639511
2020,30-49,0.854708,0.719101
2020,50-64,0.801531,0.613500
2020,>=65,0.313490,0.228541
2021,<18,0.095053,0.116596
2021,18-29,0.638996,0.657637
2021,30-49,0.855518,0.720651
2021,50-64,0.804233,0.618545
2021,>=65,0.310776,0.229090
2022,<18,0.095351,0.118901
2022,18-29,0.649289,0.666771
2022,30-49,0.855175,0.721893
2022,50-64,0.806182,0.618026
2022,>=65,0.307666,0.227987
2023,<18,0.094242,0.114494
2023,18-29,0.654776,0.676520
2023,30-49,0.855018,0.720432
2023,50-64,0.808024,0.617320
2023,>=65,0.305174,0.225899
2024,<18,0.096083,0.114713
2024,18-29,0.657867,0.675777
2024,30-49,0.854650,0.720013
2024,50-64,0.807478,0.616537
2024,>=65,0.303142,0.224115
2025,<18,0.096953,0.115840
2025,18-29,0.627716,0.659960
2025,30-49,0.854848,0.721091
2025,50-64,0.807995,0.617541
2025,>=65,0.300266,0.223100
2026,<18,0.099316,0.112597
2026,18-29,0.591503,0.621252
2026,30-49,0.854315,0.721288
2026,50-64,0.808590,0.618032
2026,>=65,0.299325,0.223205
2027,<18,0.096789,0.114190
2027,18-29,0.553177,0.577243
2027,30-49,0.855155,0.719532
2027,50-64,0.809147,0.616937
2027,>=65,0.299167,0.223509
2028,<18,0.095652,0.113076
2028,18-29,0.535433,0.558877
2028,30-49,0.854059,0.719283
2028,50-64,0.806047,0.610112
2028,>=65,0.294745,0.218480
2029,<18,0.096172,0.115578
2029,18-29,0.515161,0.545892
2029,30-49,0.853557,0.717935
2029,50-64,0.805384,0.609938
2029,>=65,0.295471,0.219085
2030,<18,0.095297,0.115961
2030,18-29,0.515860,0.552094
2030,30-49,0.853616,0.716310
2030,50-64,0.802702,0.607669
2030,>=65,0.295809,0.218617
2031,<18,0.096231,0.114616
2031,18-29,0.532031,0.558064
2031,30-49,0.854293,0.715354
2031,50-64,0.799662,0.606508
2031,>=65,0.297158,0.219957
2032,<18,0.095369,0.114935
2032,18-29,0.542697,0.570698
2032,30-49,0.853833,0.714448
2032,50-64,0.795035,0.601455
2032,>=65,0.298279,0.220056
2033,<18,0.097342,0.115837
2033,18-29,0.555500,0.584180
2033,30-49,0.853888,0.716523
2033,50-64,0.791083,0.597905
2033,>=65,0.299221,0.220762
2034,<18,0.095034,0.114349
2034,18-29,0.573463,0.596102
2034,30-49,0.853439,0.715209
2034,50-64,0.788356,0.596016
2034,>=65,0.300518,0.220798
2035,<18,0.095684,0.115855
2035,18-29,0.585639,0.603498
2035,30-49,0.853042,0.716769
2035,50-64,0.786197,0.597215
2035,>=65,0.304587,0.223561
2036,<18,0.096356,0.114704
2036,18-29,0.594010,0.612204
2036,30-49,0.852446,0.717900
2036,50-64,0.784166,0.594864
2036,>=65,0.308979,0.224916
2037,<18,0.095976,0.115368
2037,18-29,0.595851,0.616046
2037,30-49,0.853798,0.720981
2037,50-64,0.785460,0.591859
2037,>=65,0.312634,0.225557
2038,<18,0.096320,0.115758
2038,18-29,0.591185,0.606358
2038,30-49,0.853108,0.720537
2038,50-64,0.788407,0.593137
2038,>=65,0.317585,0.226393
2039,<18,0.095204,0.115985
2039,18-29,0.579531,0.598593
2039,30-49,0.854702,0.723645
2039,50-64,0.786095,0.594358
2039,>=65,0.316321,0.228353
2040,<18,0.095758,0.115897
2040,18-29,0.578826,0.599201
2040,30-49,0.855447,0.723765
2040,50-64,0.786001,0.594585
