year,region,land
2010,5,8338.242831
2010,8,19156.333266
2010,14,7972.453105
2010,11,7451.563898
2010,4,3953.163701
2010,13,1666.247308
2010,12,647.926402
2010,2,7554.297621
2010,3,5768.965854
2010,15,17567.994816
2010,1,3133.888392
2010,10,255.969612
2010,6,8995.896886
2010,7,5631.701538
2010,9,5259.154773
2011,5,8341.702831
2011,8,19160.103266
2011,14,7973.513105
2011,11,7452.773898
2011,4,3957.053701
2011,13,1667.607308
2011,12,649.746402
2011,2,7559.687621
2011,3,5770.925854
2011,15,17572.684816
2011,1,3153.398392
2011,10,256.439612
2011,6,9000.876886
2011,7,5634.261538
2011,9,5260.264773
2012,5,8347.002831
2012,8,19164.393266
2012,14,7976.153105
2012,11,7453.133898
2012,4,3959.943701
2012,13,1670.567308
2012,12,650.456402
2012,2,7570.057621
2012,3,5773.655854
2012,15,17486.554817
2012,1,3176.108392
2012,10,258.189612
2012,6,9004.366886
2012,7,5635.631538
2012,9,5260.224773
2013,5,8351.462831
2013,8,19168.433266
2013,14,7976.753105
2013,11,7453.423898
2013,4,3964.183701
2013,13,1673.677308
2013,12,651.736402
2013,2,7578.927621
2013,3,5774.895854
2013,15,17139.834817
2013,1,3203.498392
2013,10,259.359612
2013,6,9008.366886
2013,7,5638.751538
2013,9,5258.584773
2014,5,8356.932831
2014,8,19171.403266
2014,14,7977.733105
2014,11,7454.313898
2014,4,3967.153701
2014,13,1675.287308
2014,12,652.766402
2014,2,7587.557621
2014,3,5776.735854
2014,15,16839.474817
2014,1,3226.968392
2014,10,260.079612
2014,6,9011.686886
2014,7,5640.711538
2014,9,5247.864773
2015,5,8362.332831
2015,8,19175.123266
2015,14,7978.713105
2015,11,7455.823898
2015,4,3969.033701
2015,13,1675.617308
2015,12,653.016402
2015,2,7595.347621
2015,3,5774.855854
2015,15,16534.504817
2015,1,3250.528392
2015,10,259.699612
2015,6,9015.596886
2015,7,5643.911538
2015,9,5236.654773
2016,5,8367.602831
2016,8,19177.273266
2016,14,7979.833105
2016,11,7456.323898
2016,4,3970.953701
2016,13,1675.977308
2016,12,653.396402
2016,2,7601.887621
2016,3,5764.895854
2016,15,16363.964817
2016,1,3273.738392
2016,10,259.699612
2016,6,9018.106886
2016,7,5646.791538
2016,9,5226.394773
2017,5,8370.932831
2017,8,19179.883266
2017,14,7980.103105
2017,11,7456.843898
2017,4,3972.723701
2017,13,1677.557308
2017,12,654.466402
2017,2,7611.487621
2017,3,5750.535854
2017,15,16063.374817
2017,1,3292.698392
2017,10,259.879612
2017,6,9021.416886
2017,7,5649.521538
2017,9,5214.284773
2018,5,8375.602831
2018,8,19181.753266
2018,14,7981.233105
2018,11,7456.693898
2018,4,3974.003701
2018,13,1677.757308
2018,12,655.246402
2018,2,7619.187621
2018,3,5736.385854
2018,15,15909.194817
2018,1,3316.108392
2018,10,259.099612
2018,6,9023.456886
2018,7,5651.741538
2018,9,5201.844773
2019,5,8379.432831
2019,8,19183.543266
2019,14,7982.823105
2019,11,7457.103898
2019,4,3975.863701
2019,13,1678.967308
2019,12,656.236402
2019,2,7629.107621
2019,3,5724.905854
2019,15,15746.734818
2019,1,3341.388392
2019,10,257.789612
2019,6,9026.316886
2019,7,5653.571538
2019,9,5187.664773
2020,5,8384.342831
2020,8,19185.023266
2020,14,7983.093105
2020,11,7458.243898
2020,4,3977.263701
2020,13,1679.127308
2020,12,657.086402
2020,2,7638.647621
2020,3,5714.385854
2020,15,15573.964818
2020,1,3361.228392
2020,10,258.449612
2020,6,9029.606886
2020,7,5656.131538
2020,9,5178.314773
2021,5,8386.032831
2021,8,19186.363266
2021,14,7984.123105
2021,11,7458.613898
2021,4,3978.963701
2021,13,1678.847308
2021,12,658.186402
2021,2,7648.317621
2021,3,5698.665854
2021,15,15465.744818
2021,1,3382.728392
2021,10,258.569612
2021,6,9031.706886
2021,7,5658.311538
2021,9,5169.334773
2022,5,8392.582831
2022,8,19190.093266
2022,14,7986.433105
2022,11,7459.293898
2022,4,3981.493701
2022,13,1679.407308
2022,12,658.856402
2022,2,7655.657621
2022,3,5685.895854
2022,15,15351.884818
2022,1,3404.908392
2022,10,258.319612
2022,6,9036.016886
2022,7,5660.571538
2022,9,5160.374773
2023,5,8398.012831
2023,8,19191.613266
2023,14,7988.363105
2023,11,7460.803898
2023,4,3983.253701
2023,13,1681.087308
2023,12,660.386402
2023,2,7663.517621
2023,3,5674.285854
2023,15,15242.514818
2023,1,3423.898392
2023,10,258.289612
2023,6,9040.086886
2023,7,5662.371538
2023,9,5153.734773
2024,5,8402.942831
2024,8,19194.093266
2024,14,7989.773105
2024,11,7461.303898
2024,4,3985.763701
2024,13,1681.517308
2024,12,660.446402
2024,2,7673.687621
2024,3,5666.115854
2024,15,14952.524819
2024,1,3443.678392
2024,10,257.969612
2024,6,9045.626886
2024,7,5664.351538
2024,9,5146.604773
2025,5,8408.092831
2025,8,19196.913266
2025,14,7991.173105
2025,11,7463.663898
2025,4,3988.053701
2025,13,1684.257308
2025,12,660.976402
2025,2,7681.047621
2025,3,5655.365854
2025,15,14640.284819
2025,1,3466.568392
2025,10,258.209612
2025,6,9049.376886
2025,7,5667.301538
2025,9,5141.194773
2026,5,8412.482831
2026,8,19202.053266
2026,14,7992.073105
2026,11,7465.633898
2026,4,3988.903701
2026,13,1686.067308
2026,12,662.396402
2026,2,7690.647621
2026,3,5646.795854
2026,15,14472.444819
2026,1,3488.678392
2026,10,258.639612
2026,6,9053.906886
2026,7,5670.061538
2026,9,5134.864773
2027,5,8417.462831
2027,8,19204.103266
2027,14,7992.893105
2027,11,7466.363898
2027,4,3991.633701
2027,13,1687.057308
2027,12,662.966402
2027,2,7699.547621
2027,3,5638.295854
2027,15,14288.104819
2027,1,3510.718392
2027,10,258.239612
2027,6,9057.966886
2027,7,5672.691538
2027,9,5130.594773
2028,5,8422.172831
2028,8,19208.423266
2028,14,7994.583105
2028,11,7467.673898
2028,4,3995.033701
2028,13,1687.747308
2028,12,663.996402
2028,2,7709.427621
2028,3,5630.165854
2028,15,14127.624820
2028,1,3529.068392
2028,10,259.199612
2028,6,9061.866886
2028,7,5675.721538
2028,9,5127.424773
2029,5,8425.812831
2029,8,19213.793266
2029,14,7995.413105
2029,11,7469.513898
2029,4,3997.643701
2029,13,1688.727308
2029,12,664.746402
2029,2,7716.907621
2029,3,5623.505854
2029,15,13968.064820
2029,1,3551.248392
2029,10,259.609612
2029,6,9066.346886
2029,7,5678.261538
2029,9,5125.044773
2030,5,8432.422831
2030,8,19218.443266
2030,14,7996.583105
2030,11,7470.993898
2030,4,4001.363701
2030,13,1690.427308
2030,12,665.026402
2030,2,7724.457621
2030,3,5617.965854
2030,15,13821.424820
2030,1,3575.338392
2030,10,260.709612
2030,6,9070.386886
2030,7,5679.611538
2030,9,5122.614773
2031,5,8437.962831
2031,8,19221.283266
2031,14,7997.483105
2031,11,7472.413898
2031,4,4002.963701
2031,13,1692.117308
2031,12,665.526402
2031,2,7733.687621
2031,3,5616.315854
2031,15,13672.454820
2031,1,3594.708392
2031,10,261.839612
2031,6,9075.536886
2031,7,5681.741538
2031,9,5120.384773
2032,5,8441.732831
2032,8,19226.503266
2032,14,7999.333105
2032,11,7474.793898
2032,4,4005.263701
2032,13,1692.427308
2032,12,666.846402
2032,2,7741.037621
2032,3,5613.215854
2032,15,13549.144820
2032,1,3620.808392
2032,10,262.829612
2032,6,9079.386886
2032,7,5685.531538
2032,9,5120.244773
2033,5,8445.212831
2033,8,19230.513266
2033,14,7999.333105
2033,11,7475.143898
2033,4,4007.563701
2033,13,1694.537308
2033,12,668.046402
2033,2,7749.097621
2033,3,5610.395854
2033,15,13441.924820
2033,1,3646.398392
2033,10,264.329612
2033,6,9081.756886
2033,7,5688.411538
2033,9,5118.814773
2034,5,8452.002831
2034,8,19234.403266
2034,14,8001.923105
2034,11,7477.563898
2034,4,4008.933701
2034,13,1696.437308
2034,12,668.796402
2034,2,7756.807621
2034,3,5609.975854
2034,15,13339.844820
2034,1,3673.328392
2034,10,265.409612
2034,6,9086.226886
2034,7,5691.461538
2034,9,5117.314773
2035,5,8455.192831
2035,8,19238.053266
2035,14,8003.203105
2035,11,7479.263898
2035,4,4010.353701
2035,13,1698.097308
2035,12,669.146402
2035,2,7764.817621
2035,3,5609.855854
2035,15,13242.954820
2035,1,3694.168392
2035,10,266.169612
2035,6,9089.976886
2035,7,5692.931538
2035,9,5115.254773
2036,5,8459.022831
2036,8,19241.913266
2036,14,8003.863105
2036,11,7480.903898
2036,4,4013.023701
2036,13,1700.467308
2036,12,669.746402
2036,2,7774.617621
2036,3,5608.665854
2036,15,13148.014820
2036,1,3713.298392
2036,10,266.949612
2036,6,9093.706886
2036,7,5695.741538
2036,9,5114.574773
2037,5,8463.042831
2037,8,19246.363266
2037,14,8005.213105
2037,11,7483.413898
2037,4,4015.263701
2037,13,1701.717308
2037,12,670.556402
2037,2,7781.877621
2037,3,5608.635854
2037,15,13066.814820
2037,1,3736.578392
2037,10,267.709612
2037,6,9096.286886
2037,7,5697.561538
2037,9,5114.004773
2038,5,8467.432831
2038,8,19251.133266
2038,14,8006.413105
2038,11,7486.403898
2038,4,4016.113701
2038,13,1703.507308
2038,12,670.806402
2038,2,7792.497621
2038,3,5610.755854
2038,15,12996.834820
2038,1,3755.528392
2038,10,269.159612
2038,6,9099.646886
2038,7,5701.771538
2038,9,5112.624773
2039,5,8470.472831
2039,8,19256.033266
2039,14,8008.003105
2039,11,7488.333898
2039,4,4019.673701
2039,13,1705.857308
2039,12,672.056402
2039,2,7799.467621
2039,3,5613.185854
2039,15,12939.724820
2039,1,3781.638392
2039,10,270.539612
2039,6,9104.976886
2039,7,5704.361538
2039,9,5112.484773
2040,5,8474.632831
2040,8,19262.313266
2040,14,8009.003105
2040,11,7490.503898
2040,4,4022.423701
2040,13,1707.147308
2040,12,672.776402
2040,2,7807.817621
2040,3,5617.625854
2040,15,12884.444821
2040,1,3805.158392
2040,10,271.719612
2040,6,9108.236886
2040,7,5708.061538
2040,9,5110.834773
2041,5,8480.092831
2041,8,19267.053266
2041,14,8010.453105
2041,11,7492.643898
2041,4,4023.993701
2041,13,1709.397308
2041,12,673.806402
2041,2,7816.867621
2041,3,5620.505854
2041,15,12828.964821
2041,1,3821.348392
2041,10,272.829612
2041,6,9112.766886
2041,7,5710.221538
2041,9,5111.854773
2042,5,8485.172831
2042,8,19272.253266
2042,14,8010.983105
2042,11,7495.173898
2042,4,4026.863701
2042,13,1710.917308
2042,12,674.906402
2042,2,7825.247621
2042,3,5624.905854
2042,15,12778.934821
2042,1,3841.018392
2042,10,273.779612
2042,6,9116.536886
2042,7,5712.011538
2042,9,5112.404773
2043,5,8488.992831
2043,8,19276.763266
2043,14,8012.963105
2043,11,7497.653898
2043,4,4029.603701
2043,13,1712.517308
2043,12,675.686402
2043,2,7833.417621
2043,3,5628.775854
2043,15,12732.784821
2043,1,3865.298392
2043,10,275.519612
2043,6,9118.636886
2043,7,5714.101538
2043,9,5113.154773
2044,5,8492.122831
2044,8,19280.583266
2044,14,8014.023105
2044,11,7499.233898
2044,4,4032.383701
2044,13,1715.137308
2044,12,676.436402
2044,2,7843.147621
2044,3,5633.005854
2044,15,12692.354821
2044,1,3890.018392
2044,10,277.589612
2044,6,9123.046886
2044,7,5714.921538
2044,9,5113.234773
2045,5,8496.002831
2045,8,19286.503266
2045,14,8015.933105
2045,11,7501.363898
2045,4,4036.473701
2045,13,1717.527308
2045,12,676.716402
2045,2,7853.977621
2045,3,5635.455854
2045,15,12657.464821
2045,1,3911.888392
2045,10,278.649612
2045,6,9126.276886
2045,7,5718.051538
2045,9,5116.024773
2046,5,8499.572831
2046,8,19291.423266
2046,14,8017.493105
2046,11,7503.283898
2046,4,4039.043701
2046,13,1719.627308
2046,12,677.786402
2046,2,7862.237621
2046,3,5640.645854
2046,15,12624.214821
2046,1,3931.408392
2046,10,280.959612
2046,6,9129.746886
2046,7,5719.781538
2046,9,5116.724773
2047,5,8503.362831
2047,8,19296.233266
2047,14,8018.553105
2047,11,7504.943898
2047,4,4041.523701
2047,13,1721.017308
2047,12,678.036402
2047,2,7873.107621
2047,3,5642.905854
2047,15,12599.184821
2047,1,3951.968392
2047,10,281.809612
2047,6,9132.186886
2047,7,5721.951538
2047,9,5117.404773
2048,5,8509.732831
2048,8,19299.293266
2048,14,8019.863105
2048,11,7506.613898
2048,4,4045.463701
2048,13,1723.407308
2048,12,678.706402
2048,2,7881.567621
2048,3,5648.555854
2048,15,12577.144821
2048,1,3975.898392
2048,10,283.369612
2048,6,9135.486886
2048,7,5724.141538
2048,9,5118.184773
2049,5,8514.252831
2049,8,19305.073266
2049,14,8019.863105
2049,11,7508.063898
2049,4,4047.173701
2049,13,1725.077308
2049,12,679.526402
2049,2,7889.827621
2049,3,5650.535854
2049,15,12561.284821
2049,1,3997.518392
2049,10,284.069612
2049,6,9139.436886
2049,7,5726.151538
2049,9,5119.434773
