Zone,ID_county,Area,msa,centroidX,centroidY,distanceToTransit,BBSR_Type,Region2,Region_v0,Region
1,305371,0.103004057,1,381424.6661,3765902.708,1987.562825,10,37205,5,5
2,305373,0.102999115,1,381430.4632,3766364.746,2100.732211,10,37205,5,5
3,305402,0.102994149,1,373935.3595,3766923.889,1234.755125,10,37205,5,5
4,305403,0.102989146,1,373364.5568,3767393.65,495.9220245,10,37205,5,5
5,305404,0.102989161,1,373941.5248,3767385.933,1021.73895,10,37205,5,5
6,305411,0.102994134,1,374512.3552,3766916.208,1728.751742,10,37205,5,5
7,305412,0.102994149,1,375089.3504,3766908.562,2262.399998,10,37205,5,5
8,305413,0.102989146,1,374518.4923,3767378.252,1583.616779,10,37205,5,5
9,305414,0.102989161,1,375095.4593,3767370.605,2153.511075,10,37205,5,5
10,305421,0.102994134,1,375666.345,3766900.952,2813.224159,10,37205,5,5
11,305422,0.102994149,1,376243.339,3766893.376,3062.817904,10,37205,5,5
12,305423,0.102989146,1,375672.4256,3767362.994,2504.946705,10,37205,5,5
13,305424,0.102989161,1,376249.3915,3767355.418,2619.399151,10,37205,5,5
14,305431,0.102994134,1,376820.3325,3766885.836,2904.303391,10,37205,5,5
15,305432,0.102994149,1,377397.3255,3766878.331,2390.048437,10,37205,5,5
16,305433,0.102989146,1,376826.3567,3767347.878,2800.720875,10,37205,5,5
17,305434,0.102989161,1,377403.3215,3767340.372,2285.837176,10,37205,5,5
18,305441,0.102994134,1,377974.3179,3766870.862,1911.995395,10,37205,5,5
19,305442,0.102994149,1,378551.3097,3766863.427,1505.044613,10,37205,5,5
20,305443,0.102989146,1,377980.2856,3767332.902,1808.833166,10,37205,5,5
21,305444,0.102989161,1,378557.2492,3767325.468,1408.726878,10,37205,5,5
22,305451,0.102994134,1,379128.3011,3766856.028,1241.219863,10,37205,5,5
23,305452,0.102994149,1,379705.2918,3766848.664,1217.425698,10,37205,5,5
24,305453,0.102989146,1,379134.2123,3767318.068,1167.454544,10,37205,5,5
25,305454,0.102989161,1,379711.1748,3767310.704,1186.250423,10,37205,5,5
26,305461,0.102994149,1,380282.2821,3766841.335,1445.562752,10,37205,5,5
27,305462,0.102994134,1,380859.2718,3766834.042,1833.903561,10,37205,5,5
28,305463,0.102989161,1,380288.1369,3767303.375,1455.069731,10,37205,5,5
29,305464,0.102989146,1,380865.0983,3767296.081,1868.973027,10,37205,5,5
30,305471,0.102994149,1,381436.2609,3766826.784,2302.77523,10,37205,5,5
31,305472,0.102994134,1,382013.2496,3766819.561,2812.181142,10,37205,5,5
32,304482,0.102994149,1,371627.3709,3766954.967,1370.223861,10,37205,5,5
33,304483,0.102989146,1,371056.6788,3767424.871,1788.053448,10,37205,5,5
34,304484,0.102989161,1,371633.6492,3767417.013,1216.346189,10,37205,5,5
35,304491,0.102994134,1,372204.3689,3766947.145,908.693828,10,37205,5,5
36,304492,0.102994149,1,372781.3663,3766939.358,663.2229978,10,37205,5,5
