Year 2000
Age,Men,Women
0,74515,71440
1,75677,74293
2,73820,72771
3,76074,73331
4,76411,74765
5,78865,76412
6,77914,75649
7,81636,79522
8,83555,79355
9,84717,81269
10,87748,80162
11,82164,79103
12,78804,75338
13,80763,75612
14,77337,74346
15,77650,74373
16,74036,72746
17,71525,71457
18,63766,57620
19,54712,53411
20,53137,54027
21,54949,56165
22,57112,62224
23,60904,66409
24,59717,65637
25,61420,68996
26,59549,66054
27,68076,73737
28,72893,80574
29,76689,82084
30,80357,83734
31,79110,83399
32,74774,83556
33,80188,85530
34,84233,91709
35,91401,97712
36,89960,96376
37,89125,97061
38,89683,99226
39,93949,98322
40,88418,97003
41,88768,93423
42,88350,95254
43,86248,91385
44,82582,89025
45,84281,89024
46,76120,86301
47,79511,86185
48,76326,83886
49,72075,81257
50,73618,81262
51,73552,77284
52,73325,79932
53,74453,79309
54,56942,60380
55,56929,62968
56,57046,61510
57,57936,62366
58,51437,54480
59,44468,50374
60,44316,47579
61,40890,45112
62,39220,43538
63,39444,39759
64,36429,41583
65,35152,37822
66,31837,35122
67,32885,35490
68,31222,35993
69,30222,37688
70,29089,39049
71,27703,37367
72,29419,36305
73,25125,33384
74,25058,34347
75,23899,33127
76,21683,31666
77,19500,30610
78,19843,29485
79,17457,26542
80,16447,25254
81,12877,21721
82,11563,20182
83,9609,17507
84,8610,16016
85,7000,14691
86,6627,12688
87,5317,10699
88,4388,8516
89,3312,7207
90,1926,5094
91,1852,4115
92,1245,4094
93,492,2638
94,693,2134
95,559,1664
96,355,1466
97,237,857
98,133,541
99,117,419
100,49,895
ppByRace,hh
white,7256369
black,2169584
hispanic,589516
other,667713
hhByType,hh
SIZE_1_INC_LOW,367941
SIZE_2_INC_LOW,153267
SIZE_3_INC_LOW,67547
SIZE_4_INC_LOW,70244
SIZE_1_INC_MEDIUM,323598
SIZE_2_INC_MEDIUM,283501
SIZE_3_INC_MEDIUM,122495
SIZE_4_INC_MEDIUM,148443
SIZE_1_INC_HIGH,189841
SIZE_2_INC_HIGH,277650
SIZE_3_INC_HIGH,142738
SIZE_4_INC_HIGH,196871
SIZE_1_INC_VERY_HIGH,188150
SIZE_2_INC_VERY_HIGH,628578
SIZE_3_INC_VERY_HIGH,382628
SIZE_4_INC_VERY_HIGH,610344
hhByRace,hh
white,2846941
black,786662
hispanic,118566
other,401667
hhBySize,1069530,1342996,715408,605566,271110,92584,31058,12501,6549,6534
AveHHSize,2.5718834
AveHHInc,48.0,MedianHHInc,52400.0
laborParticipationRateByAge,male,female
<18,0.028487,0.031798
18-29,0.694358,0.643676
30-49,0.783404,0.682826
50-64,0.677669,0.571469
>=65,0.177953,0.094513
aveCommuteDistByRegion,minutes
1,46.159157
4,55.232586
2,50.345833
6,69.66061
3,62.272423
5,50.128017
10,46.553574
9,45.766422
11,69.48367
8,84.56621
12,71.637535
7,70.97705
21,47.768368
13,39.508003
14,47.80213
15,51.788834
17,56.364716
16,71.41718
20,75.42542
19,71.34305
18,73.4676
22,68.098915
31,69.793465
30,72.07039
23,44.25722
24,64.57961
29,53.41575
28,78.641365
25,56.54095
26,71.96919
27,81.43367
carOwnershipLevel,households
0cars,434276
1car,1428778
2cars,1564042
3+cars,726740
QualityLevel,Dwellings
1,5804
2,817609
3,1586125
4,1958347
CountOfDD,SFD,2223605
CountOfDD,SFA,814835
CountOfDD,MF234,274593
CountOfDD,MF5plus,878384
CountOfDD,MH,176468
AveMonthlyPrice,SFD,951.1448373249746
AveMonthlyPrice,SFA,782.2498370835814
AveMonthlyPrice,MF234,533.5024272286621
AveMonthlyPrice,MF5plus,676.2281462321718
AveMonthlyPrice,MH,454.367998730648
AveVacancy,SFD,0.007973
AveVacancy,SFA,0.049975
AveVacancy,MF234,0.244919
AveVacancy,MF5plus,0.062001
AveVacancy,MH,0.192018
Available land for construction by region
1,43581.000000
4,31113.000000
2,33434.000000
6,22869.000000
3,78016.000000
5,24523.000000
10,72796.000000
9,100594.000000
11,72300.000000
8,92422.000000
12,124384.000000
7,200932.000000
21,1613.000000
13,1413.000000
14,7261.000000
15,55516.000000
17,59583.000000
16,50892.000000
20,0.000000
19,0.000000
18,0.000000
22,0.000000
31,0.000000
30,0.000000
23,0.000000
24,0.000000
29,0.000000
28,0.000000
25,0.000000
26,0.000000
27,0.000000
Housing costs by income group
Income,rent_250,rent_500,rent_750,rent_1000,rent_1250,rent_1500,rent_1750,rent_2000,rent_2250,rent_2500,averageRent
10000,66103,67167,117469,21080,8515,2954,2426,373,1786,776,480
20000,36762,95512,189387,30144,9391,3429,2415,844,1601,865,525
30000,21274,99925,228909,47901,16673,4726,3557,801,1986,1217,580
40000,15569,82046,235512,74909,25798,7683,4493,1204,2361,1493,638
50000,11987,58743,200428,86975,37923,11444,7153,1849,2716,1642,701
60000,9093,42857,162754,90225,48470,16342,9459,2105,3126,1809,761
70000,6119,30740,125492,82039,55383,21417,12931,2778,3548,1804,828
80000,4241,19405,86426,65158,49306,23616,15856,3804,3440,2291,899
90000,3016,13847,58273,47445,45149,23628,17661,4971,4825,2409,976
100000,11068,38235,211842,128168,156181,110168,126136,48198,61649,81037,1273
jobByRegion,RET,OFF,IND,OTH,total
1,42486,195965,37978,135895,412324
4,46251,103244,22538,76929,248962
2,72352,171220,34837,107478,385887
6,9314,18522,7081,16231,51148
3,21085,38937,14058,30495,104575
5,18462,70183,14524,36146,139315
10,89860,248481,46649,107575,492565
9,79314,79336,51928,127466,338044
11,24088,48254,26268,54899,153509
8,24710,41546,17624,13544,97424
12,7401,13390,6581,16797,44169
7,23527,42254,18888,53112,137781
21,3307,6556,4350,8916,23129
13,72393,406310,57982,167165,703850
14,56081,159174,30270,40470,285995
15,110781,430616,60266,33349,635012
17,13868,37817,19865,22464,94014
16,35842,47409,23057,11407,117715
20,2737,4867,4068,5284,16956
19,15150,22373,20766,20766,79055
18,4032,8180,4265,2338,18815
22,11057,15411,13564,14077,54109
31,8050,18103,7266,11907,45326
30,3611,8926,5166,8931,26634
23,48477,151792,28619,84214,313102
24,20637,46777,19217,41009,127640
29,13719,23056,12290,21876,70941
28,18902,34562,25394,31181,110039
25,37399,97257,40622,60649,235927
26,43861,70316,58976,62899,236052
27,31795,56546,47403,43496,179240
InmigrantsPP,393382
