year,hhs,autos,avs,events
2011,104984,108076,0,0
2012,105268,110011,0,0
2013,105516,111828,0,0
2014,105767,113712,0,0
2015,106127,115647,0,0
2016,106573,117641,0,0
2017,106976,119532,0,0
2018,107444,121318,0,0
2019,108005,123276,0,0
2020,108523,125081,0,0
2021,108971,126647,0,0
2022,109632,128502,0,0
2023,110328,130201,0,0
2024,110913,132016,0,0
2025,111543,133739,0,0
2026,112177,135539,0,0
2027,112908,137255,0,0
2028,113626,139146,0,0
2029,114376,140949,0,0
2030,114950,142374,0,0
2031,115608,143953,0,0
2032,116147,145436,0,0
2033,116950,147053,0,0
2034,117783,148611,0,0
2035,118396,150136,0,0
2036,119065,151451,0,0
2037,119809,152852,0,0
2038,120588,154373,0,0
2039,121325,155823,0,0
2040,121899,157003,0,0
2041,122664,158236,0,0
2042,123444,159610,0,0
2043,124125,160793,0,0
2044,124868,161951,0,0
2045,125540,163061,0,0
2046,126181,164235,0,0
2047,126881,165290,0,0
2048,127689,166420,0,0
2049,128400,167465,0,0
