year,size
2011,2.0889564124057
2012,2.0929722232777292
2013,2.097918799044695
2014,2.10161014305029
2015,2.1036776692076473
2016,2.1043322417497867
2017,2.106407044570745
2018,2.1066043706488964
2019,2.10559696310356
2020,2.1051482174285634
2021,2.103550485909095
2022,2.101722124927029
2023,2.0986966137335945
2024,2.0960753022639365
2025,2.0931479339806174
2026,2.0912129937509474
2027,2.08788571226131
2028,2.0847517293577176
2029,2.081354479960831
2030,2.0792692474989125
2031,2.0769323922219916
2032,2.0762051538137016
2033,2.072920051303976
2034,2.069161084367014
2035,2.0672573397749923
2036,2.0660227606769412
2037,2.0632590206078008
2038,2.0593674329120644
2039,2.0576468164022255
2040,2.0568749538552407
2041,2.0534386617100373
2042,2.0516914552347623
2043,2.04826586102719
2044,2.0456482045039563
2045,2.0444559502947266
2046,2.0424707364817207
2047,2.040218787682947
2048,2.0370509597537767
2049,2.0352803738317755
