year,carOwnershipLevel,households
2011,0,25287
2011,1,55826
2011,2,19363
2011,3,4508
2012,0,24561
2012,1,55771
2012,2,20568
2012,3,4368
2013,0,23904
2013,1,55724
2013,2,21560
2013,3,4328
2014,0,23190
2014,1,55790
2014,2,22439
2014,3,4348
2015,0,22531
2015,1,55887
2015,2,23367
2015,3,4342
2016,0,21927
2016,1,56060
2016,2,24177
2016,3,4409
2017,0,21373
2017,1,56146
2017,2,24985
2017,3,4472
2018,0,20901
2018,1,56317
2018,2,25677
2018,3,4549
2019,0,20431
2019,1,56506
2019,2,26434
2019,3,4634
2020,0,20026
2020,1,56640
2020,2,27130
2020,3,4727
2021,0,19658
2021,1,56758
2021,2,27776
2021,3,4779
2022,0,19270
2022,1,57083
2022,2,28418
2022,3,4861
2023,0,19046
2023,1,57358
2023,2,28929
2023,3,4995
2024,0,18747
2024,1,57442
2024,2,29598
2024,3,5126
2025,0,18429
2025,1,57663
2025,2,30277
2025,3,5174
2026,0,18141
2026,1,57826
2026,2,30917
2026,3,5293
2027,0,17947
2027,1,58064
2027,2,31500
2027,3,5397
2028,0,17721
2028,1,58182
2028,2,32205
2028,3,5518
2029,0,17529
2029,1,58376
2029,2,32840
2029,3,5631
2030,0,17336
2030,1,58603
2030,2,33262
2030,3,5749
2031,0,17162
2031,1,58775
2031,2,33835
2031,3,5836
2032,0,16971
2032,1,58899
2032,2,34294
2032,3,5983
2033,0,16879
2033,1,59186
2033,2,34788
2033,3,6097
2034,0,16842
2034,1,59471
2034,2,35270
2034,3,6200
2035,0,16625
2035,1,59690
2035,2,35797
2035,3,6284
2036,0,16531
2036,1,59987
2036,2,36177
2036,3,6370
2037,0,16464
2037,1,60251
2037,2,36681
2037,3,6413
2038,0,16371
2038,1,60553
2038,2,37172
2038,3,6492
2039,0,16254
2039,1,60888
2039,2,37614
2039,3,6569
2040,0,16110
2040,1,61205
2040,2,37954
2040,3,6630
2041,0,16070
2041,1,61610
2041,2,38326
2041,3,6658
2042,0,16034
2042,1,61955
2042,2,38710
2042,3,6745
2043,0,15986
2043,1,62304
2043,2,39016
2043,3,6819
2044,0,16049
2044,1,62571
2044,2,39364
2044,3,6884
2045,0,16011
2045,1,62926
2045,2,39674
2045,3,6929
2046,0,15894
2046,1,63333
2046,2,39960
2046,3,6994
2047,0,15885
2047,1,63669
2047,2,40360
2047,3,6967
2048,0,15929
2048,1,64110
2048,2,40640
2048,3,7010
2049,0,15963
2049,1,64477
2049,2,40892
2049,3,7068
