year,event,count
2011,DemolitionEvent,104
2011,EducationEvent,4431
2011,RenovationEvent,108841
2011,MarriageEvent,1595
2011,MoveEvent,13636
2011,BirthDayEvent,218639
2011,LicenseEvent,6765
2011,LeaveParentsEvent,600
2011,EmploymentEvent,4392
2011,DeathEvent,1932
2011,BirthEvent,1704
2011,DivorceEvent,499
2011,ConstructionEvent,1311
2012,DemolitionEvent,100
2012,EducationEvent,2533
2012,RenovationEvent,110055
2012,MarriageEvent,1582
2012,MoveEvent,12856
2012,BirthDayEvent,218356
2012,LicenseEvent,3422
2012,LeaveParentsEvent,642
2012,EmploymentEvent,5093
2012,DeathEvent,1990
2012,BirthEvent,1681
2012,DivorceEvent,522
2012,ConstructionEvent,726
2012,MigrationEvent,666
2013,DemolitionEvent,93
2013,EducationEvent,3030
2013,RenovationEvent,110675
2013,MarriageEvent,1513
2013,MoveEvent,12566
2013,BirthDayEvent,219356
2013,LicenseEvent,2773
2013,LeaveParentsEvent,597
2013,EmploymentEvent,5201
2013,DeathEvent,2108
2013,BirthEvent,1734
2013,DivorceEvent,503
2013,ConstructionEvent,599
2013,MigrationEvent,698
2014,DemolitionEvent,108
2014,EducationEvent,4141
2014,RenovationEvent,111180
2014,MarriageEvent,1554
2014,MoveEvent,12488
2014,BirthDayEvent,220287
2014,LicenseEvent,2676
2014,LeaveParentsEvent,623
2014,EmploymentEvent,5128
2014,DeathEvent,2239
2014,BirthEvent,1671
2014,DivorceEvent,527
2014,ConstructionEvent,461
2014,MigrationEvent,684
2015,DemolitionEvent,102
2015,EducationEvent,3787
2015,RenovationEvent,111537
2015,MarriageEvent,1563
2015,MoveEvent,12416
2015,BirthDayEvent,221174
2015,LicenseEvent,2432
2015,LeaveParentsEvent,638
2015,EmploymentEvent,5017
2015,DeathEvent,2285
2015,BirthEvent,1582
2015,DivorceEvent,522
2015,ConstructionEvent,403
2015,MigrationEvent,793
2016,DemolitionEvent,94
2016,EducationEvent,2928
2016,RenovationEvent,111829
2016,MarriageEvent,1588
2016,MoveEvent,12427
2016,BirthDayEvent,222078
2016,LicenseEvent,2349
2016,LeaveParentsEvent,671
2016,EmploymentEvent,5163
2016,DeathEvent,2453
2016,BirthEvent,1650
2016,DivorceEvent,516
2016,ConstructionEvent,388
2016,MigrationEvent,882
2017,DemolitionEvent,126
2017,EducationEvent,1955
2017,RenovationEvent,112111
2017,MarriageEvent,1480
2017,MoveEvent,12428
2017,BirthDayEvent,223066
2017,LicenseEvent,2269
2017,LeaveParentsEvent,636
2017,EmploymentEvent,5180
2017,DeathEvent,2521
2017,BirthEvent,1651
2017,DivorceEvent,504
2017,ConstructionEvent,351
2017,MigrationEvent,934
2018,DemolitionEvent,112
2018,EducationEvent,3547
2018,RenovationEvent,112344
2018,MarriageEvent,1489
2018,MoveEvent,12616
2018,BirthDayEvent,224131
2018,LicenseEvent,2484
2018,LeaveParentsEvent,690
2018,EmploymentEvent,5362
2018,DeathEvent,2515
2018,BirthEvent,1521
2018,DivorceEvent,466
2018,ConstructionEvent,376
2018,MigrationEvent,953
2019,DemolitionEvent,107
2019,EducationEvent,3690
2019,RenovationEvent,112614
2019,MarriageEvent,1528
2019,MoveEvent,12574
2019,BirthDayEvent,225079
2019,LicenseEvent,2339
2019,LeaveParentsEvent,641
2019,EmploymentEvent,5386
2019,DeathEvent,2609
2019,BirthEvent,1549
2019,DivorceEvent,498
2019,ConstructionEvent,432
2019,MigrationEvent,1040
2020,DemolitionEvent,113
2020,EducationEvent,4192
2020,RenovationEvent,112942
2020,MarriageEvent,1461
2020,MoveEvent,12822
2020,BirthDayEvent,226158
2020,LicenseEvent,2123
2020,LeaveParentsEvent,682
2020,EmploymentEvent,5213
2020,DeathEvent,2712
2020,BirthEvent,1555
2020,DivorceEvent,472
2020,ConstructionEvent,425
2020,MigrationEvent,1052
2021,DemolitionEvent,112
2021,EducationEvent,3823
2021,RenovationEvent,113249
2021,MarriageEvent,1497
2021,MoveEvent,12709
2021,BirthDayEvent,227046
2021,LicenseEvent,2004
2021,LeaveParentsEvent,693
2021,EmploymentEvent,5453
2021,DeathEvent,2957
2021,BirthEvent,1427
2021,DivorceEvent,445
2021,ConstructionEvent,520
2021,MigrationEvent,1115
2022,DemolitionEvent,107
2022,EducationEvent,3878
2022,RenovationEvent,113655
2022,MarriageEvent,1468
2022,MoveEvent,12762
2022,BirthDayEvent,227801
2022,LicenseEvent,2265
2022,LeaveParentsEvent,712
2022,EmploymentEvent,5438
2022,DeathEvent,2973
2022,BirthEvent,1468
2022,DivorceEvent,466
2022,ConstructionEvent,501
2022,MigrationEvent,1266
2023,DemolitionEvent,102
2023,EducationEvent,5468
2023,RenovationEvent,114050
2023,MarriageEvent,1480
2023,MoveEvent,12822
2023,BirthDayEvent,228957
2023,LicenseEvent,2242
2023,LeaveParentsEvent,707
2023,EmploymentEvent,5359
2023,DeathEvent,2961
2023,BirthEvent,1436
2023,DivorceEvent,494
2023,ConstructionEvent,549
2023,MigrationEvent,1252
2024,DemolitionEvent,95
2024,EducationEvent,5077
2024,RenovationEvent,114508
2024,MarriageEvent,1435
2024,MoveEvent,12954
2024,BirthDayEvent,230079
2024,LeaveParentsEvent,710
2024,LicenseEvent,2207
2024,EmploymentEvent,5739
2024,DeathEvent,3079
2024,BirthEvent,1313
2024,DivorceEvent,516
2024,ConstructionEvent,661
2024,MigrationEvent,1247
2025,DemolitionEvent,98
2025,EducationEvent,4502
2025,RenovationEvent,115063
2025,MarriageEvent,1357
2025,MoveEvent,12781
2025,BirthDayEvent,230941
2025,LicenseEvent,2205
2025,LeaveParentsEvent,683
2025,EmploymentEvent,5768
2025,DeathEvent,3234
2025,BirthEvent,1303
2025,DivorceEvent,454
2025,ConstructionEvent,606
2025,MigrationEvent,1407
2026,DemolitionEvent,109
2026,EducationEvent,4600
2026,RenovationEvent,115568
2026,MarriageEvent,1464
2026,MoveEvent,12898
2026,BirthDayEvent,231962
2026,LicenseEvent,2146
2026,LeaveParentsEvent,735
2026,EmploymentEvent,5763
2026,DeathEvent,3296
2026,BirthEvent,1290
2026,DivorceEvent,430
2026,ConstructionEvent,736
2026,MigrationEvent,1465
2027,DemolitionEvent,101
2027,EducationEvent,4258
2027,RenovationEvent,116208
2027,MarriageEvent,1413
2027,MoveEvent,13159
2027,BirthDayEvent,233021
2027,LeaveParentsEvent,688
2027,LicenseEvent,2414
2027,EmploymentEvent,5717
2027,DeathEvent,3307
2027,BirthEvent,1271
2027,DivorceEvent,497
2027,ConstructionEvent,702
2027,MigrationEvent,1497
2028,DemolitionEvent,96
2028,EducationEvent,4253
2028,RenovationEvent,116818
2028,MarriageEvent,1472
2028,MoveEvent,13301
2028,BirthDayEvent,234146
2028,LicenseEvent,2561
2028,LeaveParentsEvent,704
2028,EmploymentEvent,5473
2028,DeathEvent,3356
2028,BirthEvent,1274
2028,DivorceEvent,490
2028,ConstructionEvent,782
2028,MigrationEvent,1533
2029,DemolitionEvent,88
2029,EducationEvent,4309
2029,RenovationEvent,117505
2029,MarriageEvent,1428
2029,MoveEvent,13341
2029,BirthDayEvent,235236
2029,LicenseEvent,2163
2029,LeaveParentsEvent,719
2029,EmploymentEvent,5507
2029,DeathEvent,3426
2029,BirthEvent,1325
