year,Income,rent_250,rent_500,rent_750,rent_1000,rent_1250,rent_1500,rent_1750,rent_2000,rent_2250,rent_2500,averageRent
2011,10000,1776,5958,3710,1492,472,189,74,48,18,43,524
2011,20000,2571,10990,9021,4938,1597,548,223,111,53,79,589
2011,30000,1399,8186,6128,4552,2016,771,272,132,53,112,652
2011,40000,812,4906,3345,2710,1432,651,311,129,73,81,690
2011,50000,387,3243,1988,1531,1045,505,258,120,50,69,719
2011,60000,224,2016,1149,957,680,360,188,89,54,74,756
2011,70000,114,1047,575,497,319,195,122,64,27,28,762
2011,80000,60,601,301,244,179,121,69,49,20,32,796
2011,90000,41,394,185,148,112,82,48,36,11,23,801
2011,100000,81,684,445,352,253,171,108,80,40,57,850
2012,10000,1799,6201,4014,1890,578,223,91,48,30,38,538
2012,20000,2615,10472,8292,4956,1731,619,241,103,40,84,595
2012,30000,1469,8001,5817,4421,2108,827,309,166,70,120,659
2012,40000,901,4932,3425,2740,1520,653,326,133,58,118,694
2012,50000,447,3099,2035,1592,1019,511,262,122,67,71,726
2012,60000,267,1972,1198,952,696,384,159,102,46,79,752
2012,70000,123,1028,596,489,339,206,119,72,26,41,774
2012,80000,74,565,316,291,178,119,76,47,18,36,804
2012,90000,46,373,169,158,103,74,47,32,11,21,790
2012,100000,101,653,436,351,220,177,107,71,41,59,845
2013,10000,1905,6387,4281,2024,694,243,84,56,23,43,543
2013,20000,2598,10140,7772,4679,1814,629,248,116,53,88,598
2013,30000,1574,7780,5746,4173,2046,793,336,165,74,140,658
2013,40000,1020,4915,3475,2708,1547,705,334,148,76,115,693
2013,50000,503,3057,2125,1681,1087,512,264,120,53,78,726
2013,60000,296,1988,1295,975,675,376,191,92,48,84,751
2013,70000,152,1075,643,499,390,215,126,66,35,49,777
2013,80000,71,561,324,293,203,141,69,52,19,36,816
2013,90000,45,360,203,165,102,62,66,27,13,22,798
2013,100000,117,649,419,350,216,163,108,66,38,59,833
2014,10000,1913,6697,4389,2157,778,286,106,45,17,44,548
2014,20000,2647,9893,7380,4317,1765,657,252,132,72,98,597
2014,30000,1636,7570,5775,4014,1998,833,323,172,65,136,657
2014,40000,1094,4918,3547,2613,1585,708,337,165,76,138,696
2014,50000,636,3035,2175,1759,1098,540,272,137,68,83,726
2014,60000,335,1928,1350,989,722,370,210,96,43,84,755
2014,70000,187,1084,700,544,385,220,133,78,30,58,776
2014,80000,100,575,351,292,228,137,66,44,22,35,796
2014,90000,54,349,188,164,94,72,46,25,10,25,790
2014,100000,118,635,432,359,234,150,121,53,32,59,828
2015,10000,1954,6809,4513,2221,863,312,142,54,27,45,554
2015,20000,2708,9800,7196,4027,1716,696,249,110,77,118,594
2015,30000,1739,7335,5619,3872,1950,805,348,184,73,137,657
2015,40000,1158,4847,3680,2666,1573,736,335,136,86,130,694
2015,50000,685,3075,2294,1751,1118,537,290,145,76,106,730
2015,60000,368,1927,1402,1051,731,403,198,105,46,85,756
2015,70000,194,1025,766,611,398,227,113,83,28,57,776
2015,80000,102,609,383,285,238,137,95,43,19,37,802
2015,90000,62,341,199,178,99,57,61,23,16,18,787
2015,100000,132,616,436,372,236,144,105,53,35,55,825
2016,10000,2062,7104,4722,2245,910,332,118,50,38,46,551
2016,20000,2730,9833,7008,3774,1662,659,252,139,63,125,590
2016,30000,1767,7129,5574,3722,1881,804,373,171,85,135,658
2016,40000,1199,4666,3711,2708,1594,751,323,151,99,160,704
2016,50000,753,3067,2410,1770,1117,582,260,141,86,117,728
2016,60000,422,1879,1509,1085,746,419,228,109,47,91,760
2016,70000,207,1022,764,627,404,233,134,72,27,66,785
2016,80000,129,625,389,317,238,132,83,31,23,39,784
2016,90000,71,332,219,192,108,68,61,31,12,23,803
2016,100000,133,598,446,389,242,145,89,55,34,50,821
2017,10000,2195,7335,4819,2317,933,334,123,60,39,48,550
2017,20000,2708,9538,6957,3677,1670,685,264,121,68,117,593
2017,30000,1819,6925,5450,3620,1825,808,396,174,80,149,659
2017,40000,1261,4616,3775,2631,1593,764,329,159,107,151,702
2017,50000,805,2964,2455,1862,1160,633,296,152,75,130,740
2017,60000,485,1866,1572,1171,799,409,214,126,56,94,761
2017,70000,242,1018,808,625,417,252,134,62,33,62,779
2017,80000,140,603,429,335,245,138,85,35,25,37,786
2017,90000,76,305,232,192,122,76,52,23,9,24,802
2017,100000,144,582,443,380,259,135,91,60,30,52,818
2018,10000,2233,7463,5028,2344,949,378,157,61,31,63,555
2018,20000,2823,9233,6807,3604,1649,703,270,137,95,139,596
2018,30000,1911,6666,5314,3551,1840,827,407,189,96,169,666
2018,40000,1375,4492,3850,2640,1489,736,347,162,86,177,699
2018,50000,840,2994,2531,1798,1221,650,336,173,85,144,748
2018,60000,498,1849,1618,1206,827,433,246,113,54,112,771
2018,70000,290,1057,852,688,407,270,143,70,40,71,778
2018,80000,144,564,419,336,235,160,73,38,19,42,796
2018,90000,82,277,241,197,126,69,62,30,15,26,829
2018,100000,147,555,447,393,262,145,88,56,38,51,825
2019,10000,2331,7531,5232,2429,975,391,156,78,43,74,558
2019,20000,2876,9052,6828,3596,1574,667,286,154,80,111,592
2019,30000,2008,6453,5295,3542,1739,823,397,217,104,204,671
2019,40000,1362,4386,3847,2686,1548,786,370,156,100,171,708
2019,50000,862,2913,2562,1873,1254,675,349,192,72,162,758
2019,60000,505,1833,1654,1284,813,458,255,121,73,114,780
2019,70000,305,1029,884,689,439,273,138,75,39,74,780
2019,80000,163,556,420,354,237,156,82,44,18,49,809
2019,90000,76,274,252,206,135,84,52,25,13,23,821
2019,100000,147,548,427,383,272,143,94,62,35,48,834
2020,10000,2387,7568,5412,2501,1044,430,185,82,35,86,564
2020,20000,2872,8679,6713,3483,1590,684,302,154,102,134,600
2020,30000,2064,6296,5311,3462,1836,834,415,206,112,199,674
2020,40000,1413,4278,3773,2704,1531,800,430,195,119,198,720
2020,50000,866,2880,2626,1932,1247,690,345,197,96,182,767
2020,60000,534,1841,1715,1283,855,516,257,147,61,142,791
2020,70000,300,974,917,726,448,301,146,90,38,82,803
2020,80000,176,531,464,360,246,153,94,47,21,57,819
2020,90000,90,273,256,214,138,85,56,25,16,25,823
2020,100000,150,541,418,365,280,139,91,61,38,60,850
2021,10000,2465,7560,5551,2592,1089,455,202,90,44,78,566
2021,20000,2888,8458,6651,3454,1546,708,319,170,102,158,604
2021,30000,2076,6138,5350,3332,1840,893,432,227,109,231,681
2021,40000,1446,4169,3811,2724,1561,824,438,238,110,226,729
2021,50000,886,2683,2583,1972,1260,718,372,178,119,219,785
2021,60000,597,1815,1801,1329,850,528,273,157,65,159,794
2021,70000,329,897,949,725,481,290,154,104,45,99,825
2021,80000,165,560,494,380,283,167,113,55,18,59,831
2021,90000,98,250,260,223,121,88,57,25,14,26,825
2021,100000,155,501,415,369,280,143,91,65,39,65,865
2022,10000,2474,7690,5701,2719,1119,474,234,95,47,100,572
2022,20000,3057,8130,6603,3486,1587,750,318,205,96,176,608
2022,30000,2041,5960,5183,3417,1863,921,469,242,128,258,695
2022,40000,1485,3994,3864,2616,1598,843,468,249,130,272,744
2022,50000,882,2594,2586,1956,1300,743,429,209,120,257,807
2022,60000,608,1749,1746,1402,936,519,301,158,90,183,817
2022,70000,322,919,917,748,484,306,180,109,57,123,850
2022,80000,202,531,474,396,273,191,106,68,26,73,851
2022,90000,90,262,259,210,136,90,65,34,16,30,855
2022,100000,163,493,427,359,257,145,83,65,40,73,871
2023,10000,2596,7499,5802,2829,1214,534,229,123,61,105,582
2023,20000,3079,7785,6471,3509,1638,781,407,186,112,209,621
2023,30000,2106,5620,5137,3495,2020,984,487,245,138,278,707
2023,40000,1557,3889,3728,2642,1641,908,488,290,141,338,764
2023,50000,941,2510,2546,2002,1323,813,443,235,142,303,829
2023,60000,652,1713,1744,1361,921,576,328,159,123,224,840
2023,70000,320,881,924,775,521,337,200,130,62,154,884
2023,80000,183,507,459,382,296,200,112,73,35,82,894
2023,90000,92,259,258,209,151,110,64,33,22,46,900
2023,100000,150,476,413,356,258,154,102,63,36,83,896
2024,10000,2736,7389,5791,2985,1265,569,216,134,57,118,585
2024,20000,3107,7414,6444,3530,1658,813,446,222,145,273,638
2024,30000,2199,5501,5048,3537,1979,1000,503,265,144,335,716
2024,40000,1590,3742,3673,2694,1665,940,530,302,168,387,783
2024,50000,968,2459,2525,2069,1276,859,476,275,137,383,853
2024,60000,678,1584,1717,1369,952,588,343,188,132,270,867
2024,70000,371,857,896,767,537,375,195,138,72,182,906
2024,80000,197,459,446,406,300,205,113,74,47,100,919
2024,90000,97,277,264,236,155,125,55,42,18,57,913
2024,100000,158,465,396,345,259,153,114,63,43,92,921
2025,10000,2740,7261,5789,3115,1321,550,319,155,79,142,599
2025,20000,3215,7249,6294,3589,1777,866,439,288,127,333,649
2025,30000,2199,5223,4906,3519,2100,1067,548,316,191,397,742
2025,40000,1628,3569,3571,2710,1708,953,590,347,157,427,801
2025,50000,991,2412,2456,1997,1344,908,509,290,172,421,873
2025,60000,683,1540,1665,1396,961,625,346,258,142,363,913
2025,70000,366,851,899,774,588,380,222,154,79,203,931
2025,80000,175,436,440,425,293,209,107,82,56,124,970
2025,90000,105,256,254,249,170,120,65,49,24,60,943
2025,100000,165,431,372,365,250,163,109,74,39,107,955
2026,10000,2870,7164,5748,3206,1487,621,350,155,94,178,611
2026,20000,3279,6991,6050,3592,1860,955,469,262,152,380,662
2026,30000,2263,4989,4790,3431,2183,1177,588,318,201,448,757
2026,40000,1667,3406,3493,2768,1828,1026,629,389,173,468,825
2026,50000,1004,2302,2402,2009,1348,904,561,316,209,510,910
2026,60000,720,1454,1607,1431,1001,665,400,247,147,415,946
2026,70000,375,832,901,760,588,381,241,161,115,252,973
2026,80000,185,409,454,417,306,214,127,88,51,133,991
2026,90000,120,261,254,228,171,127,63,48,24,75,961
2026,100000,171,404,383,361,235,164,116,70,40,122,977
2027,10000,2936,6845,5753,3331,1570,664,353,184,105,184,621
2027,20000,3333,6750,5963,3733,1954,962,534,295,177,374,674
2027,30000,2333,4863,4674,3503,2207,1245,659,367,228,536,780
2027,40000,1715,3235,3388,2712,1881,1133,633,387,229,524,847
2027,50000,1086,2177,2337,2046,1388,908,551,374,227,610,943
2027,60000,734,1416,1601,1406,1040,646,434,260,162,477,974
2027,70000,402,778,862,779,595,404,257,192,119,324,1024
2027,80000,184,423,441,422,319,218,142,92,52,161,1027
2027,90000,125,240,277,218,173,134,78,44,37,84,995
2027,100000,166,360,371,321,254,158,141,62,40,127,1011
2028,10000,3079,6663,5778,3442,1654,760,381,228,93,219,633
2028,20000,3351,6427,5806,3812,1980,1030,559,332,188,480,697
2028,30000,2379,4542,4441,3658,2354,1312,695,436,257,561,802
2028,40000,1731,3090,3236,2771,1873,1249,667,395,268,585,873
2028,50000,1117,2018,2257,2014,1494,976,594,396,219,665,970
2028,60000,800,1365,1524,1446,1112,696,459,328,190,545,1018
2028,70000,394,762,836,756,608,446,275,195,130,357,1064
2028,80000,194,382,429,430,323,234,152,104,79,181,1071
2028,90000,125,214,234,232,171,136,89,51,41,96,1049
2028,100000,167,323,367,317,256,168,124,94,35,142,1062
2029,10000,3216,6442,5660,3538,1728,805,443,237,126,262,648
2029,20000,3422,6241,5614,3791,2132,1117,662,340,216,559,719
2029,30000,2398,4416,4291,3558,2369,1454,725,442,289,636,823
2029,40000,1843,2961,3152,2785,1919,1273,747,422,285,727,904
2029,50000,1206,1930,2164,2019,1503,1017,666,412,267,765,1003
2029,60000,766,1318,1494,1376,1144,742,449,326,233,661,1078
2029,70000,401,678,818,720,647,414,328,197,139,395,1111
2029,80000,206,361,445,434,353,244,165,122,68,216,1111
2029,90000,136,198,225,222,152,122,88,60,38,123,1101
2029,100000,165,293,343,303,267,168,133,82,45,161,1108
2030,10000,3415,6207,5516,3641,1754,901,470,244,137,306,659
2030,20000,3468,6080,5396,3827,2219,1130,654,392,209,589,729
2030,30000,2484,4211,4264,3485,2439,1479,814,461,269,738,843
2030,40000,1902,2825,3008,2785,2000,1343,770,452,300,861,941
2030,50000,1247,1843,2105,2042,1471,1076,705,429,277,830,1031
2030,60000,834,1251,1423,1392,1176,818,479,311,258,694,1095
2030,70000,397,658,800,728,638,453,316,230,145,497,1187
2030,80000,212,352,413,414,350,230,182,132,69,261,1182
2030,90000,108,183,232,214,181,139,96,63,35,143,1172
2030,100000,178,266,323,317,263,177,129,82,55,183,1171
2031,10000,3535,6003,5511,3624,1872,985,490,274,152,356,671
2031,20000,3622,5757,5373,3800,2195,1223,707,403,265,680,751
2031,30000,2534,3986,4090,3477,2514,1519,918,489,286,823,869
2031,40000,2016,2678,2985,2728,2013,1347,869,487,307,900,956
2031,50000,1270,1748,2042,1966,1548,1131,736,477,296,973,1082
2031,60000,837,1209,1351,1375,1152,870,554,315,247,793,1135
2031,70000,428,630,750,762,652,471,327,243,163,521,1224
2031,80000,219,336,422,388,337,252,182,138,74,287,1223
2031,90000,102,161,213,222,170,145,112,62,47,170,1269
2031,100000,184,234,308,315,249,187,114,92,60,196,1211
2032,10000,3679,5890,5489,3555,1932,1013,534,275,149,443,679
2032,20000,3702,5559,5240,3705,2258,1312,732,434,285,744,767
2032,30000,2588,3829,4017,3436,2509,1531,1007,539,349,893,896
2032,40000,2018,2647,2868,2630,2058,1375,918,518,341,1031,994
2032,50000,1316,1695,1976,1942,1575,1138,762,512,336,1081,1116
2032,60000,876,1129,1326,1370,1162,852,583,350,255,916,1189
2032,70000,430,628,728,751,657,491,348,222,175,567,1269
2032,80000,224,290,374,395,338,262,177,151,75,333,1295
2032,90000,113,158,206,212,168,145,101,59,52,180,1301
2032,100000,188,233,283,314,242,194,133,77,66,223,1255
2033,10000,3826,5779,5453,3586,2001,1004,573,283,187,468,692
2033,20000,3831,5248,5151,3755,2257,1322,783,483,296,832,787
2033,30000,2635,3571,3888,3369,2516,1643,1073,597,375,1007,932
2033,40000,2109,2561,2798,2609,2102,1451,899,616,325,1138,1020
2033,50000,1332,1637,1966,1840,1619,1154,853,533,375,1202,1170
2033,60000,897,1094,1296,1366,1179,900,633,370,272,929,1213
2033,70000,434,609,725,750,665,480,362,246,193,643,1317
2033,80000,228,272,379,392,337,272,191,138,89,351,1321
2033,90000,123,163,197,207,183,144,101,65,43,198,1334
2033,100000,179,212,270,305,227,209,120,99,62,240,1318
2034,10000,3974,5520,5281,3635,2067,1070,638,331,217,507,710
2034,20000,3937,4987,5038,3765,2366,1464,835,526,334,996,822
2034,30000,2764,3435,3803,3296,2517,1676,1087,623,394,1153,954
2034,40000,2173,2404,2719,2585,2135,1468,960,671,384,1349,1073
2034,50000,1354,1513,1855,1804,1615,1170,832,581,401,1343,1226
2034,60000,926,1021,1250,1318,1176,927,643,447,276,1122,1289
2034,70000,450,560,711,734,627,508,386,253,185,707,1362
2034,80000,237,267,336,375,356,276,180,152,84,379,1385
2034,90000,123,140,207,210,196,129,113,64,54,211,1404
2034,100000,188,198,247,265,240,201,163,73,81,259,1378
2035,10000,4203,5301,5232,3562,2120,1209,651,366,229,570,722
2035,20000,4087,4732,4974,3647,2397,1436,901,543,365,1028,832
2035,30000,2899,3338,3719,3288,2442,1726,1110,689,427,1308,978
2035,40000,2210,2242,2692,2499,2190,1504,1037,706,426,1415,1108
2035,50000,1398,1394,1805,1832,1643,1159,885,643,406,1412,1252
2035,60000,984,970,1217,1271,1151,932,681,470,323,1209,1329
2035,70000,458,549,674,710,683,506,401,283,181,793,1433
2035,80000,249,239,334,361,355,268,170,140,101,406,1426
2035,90000,125,135,189,211,182,143,107,79,62,237,1467
2035,100000,189,174,241,260,223,192,159,85,84,253,1419
2036,10000,4330,5003,5206,3610,2158,1239,694,432,257,656,745
2036,20000,4237,4481,4881,3612,2524,1446,910,607,368,1128,855
2036,30000,3044,3141,3629,3226,2475,1797,1184,715,451,1403,1004
2036,40000,2245,2054,2647,2540,2173,1566,1056,730,451,1526,1143
2036,50000,1450,1323,1746,1825,1631,1228,879,639,428,1528,1283
2036,60000,1021,903,1203,1265,1119,937,729,531,338,1286,1375
2036,70000,492,508,637,675,694,510,422,288,200,847,1494
2036,80000,236,240,306,344,318,265,203,145,101,471,1530
2036,90000,136,139,177,196,189,143,107,85,64,253,1555
2036,100000,175,151,218,253,251,198,148,93,78,268,1454
2037,10000,4515,4838,5097,3612,2213,1272,713,442,264,735,753
2037,20000,4361,4328,4837,3571,2514,1528,931,597,412,1162,865
2037,30000,3130,2945,3483,3161,2523,1793,1203,784,519,1523,1043
2037,40000,2401,2055,2493,2589,2105,1622,1137,794,508,1639,1160
2037,50000,1445,1294,1677,1738,1625,1287,905,667,474,1693,1341
2037,60000,1023,828,1138,1228,1107,982,738,535,366,1444,1469
