year,size,count
2011,1,41912
2011,2,32785
2011,3,14486
2011,4,11119
2011,5,4299
2011,6,320
2011,7,45
2011,8,10
2011,9,2
2011,10,6
2012,1,41835
2012,2,32791
2012,3,14816
2012,4,11158
2012,5,4279
2012,6,326
2012,7,46
2012,8,9
2012,9,2
2012,10,6
2013,1,41725
2013,2,32853
2013,3,15016
2013,4,11249
2013,5,4243
2013,6,369
2013,7,44
2013,8,10
2013,9,1
2013,10,6
2014,1,41691
2014,2,32907
2014,3,15128
2014,4,11359
2014,5,4232
2014,6,386
2014,7,48
2014,8,9
2014,9,1
2014,10,6
2015,1,41734
2015,2,33054
2015,3,15187
2015,4,11486
2015,5,4183
2015,6,416
2015,7,51
2015,8,9
2015,9,2
2015,10,5
2016,1,42020
2016,2,33009
2016,3,15258
2016,4,11572
2016,5,4211
2016,6,435
2016,7,53
2016,8,9
2016,9,4
2016,10,2
2017,1,42142
2017,2,33103
2017,3,15351
2017,4,11601
2017,5,4237
2017,6,469
2017,7,61
2017,8,7
2017,9,3
2017,10,2
2018,1,42351
2018,2,33175
2018,3,15482
2018,4,11659
2018,5,4199
2018,6,501
2018,7,65
2018,8,8
2018,9,2
2018,10,2
2019,1,42665
2019,2,33268
2019,3,15558
2019,4,11744
2019,5,4151
2019,6,542
2019,7,64
2019,8,10
2019,9,2
2019,10,1
2020,1,42936
2020,2,33332
2020,3,15726
2020,4,11721
2020,5,4149
2020,6,579
2020,7,68
2020,8,9
2020,9,2
2020,10,1
2021,1,43196
2021,2,33451
2021,3,15745
2021,4,11778
2021,5,4118
2021,6,603
2021,7,70
2021,8,8
2021,9,1
2021,10,1
2022,1,43617
2022,2,33496
2022,3,15954
2022,4,11697
2022,5,4145
2022,6,640
2022,7,75
2022,8,6
2022,9,1
2022,10,1
2023,1,44002
2023,2,33734
2023,3,16029
2023,4,11688
2023,5,4110
2023,6,680
2023,7,77
2023,8,6
2023,9,1
2023,10,1
2024,1,44354
2024,2,33841
2024,3,16192
2024,4,11657
2024,5,4075
2024,6,702
2024,7,84
2024,8,6
2024,9,1
2024,10,1
2025,1,44777
2025,2,33879
2025,3,16394
2025,4,11628
2025,5,4044
2025,6,730
2025,7,83
2025,8,6
2025,9,2
2025,10,0
2026,1,45048
2026,2,34054
2026,3,16631
2026,4,11640
2026,5,3948
2026,6,764
2026,7,85
2026,8,5
2026,9,2
2026,10,0
2027,1,45398
2027,2,34381
2027,3,16703
2027,4,11641
2027,5,3918
2027,6,761
2027,7,99
2027,8,6
2027,9,1
2027,10,0
2028,1,45757
2028,2,34605
2028,3,16856
2028,4,11690
