year,ppByRace,hh
2011,white,3801032
2011,black,623728
2011,hispanic,0
2011,other,0
2012,white,3796065
2012,black,626793
2012,hispanic,0
2012,other,9149
2013,white,3783795
2013,black,628772
2013,hispanic,0
2013,other,17699
2014,white,3770928
2014,black,631044
2014,hispanic,0
2014,other,25485
2015,white,3758717
2015,black,633442
2015,hispanic,0
2015,other,32680
2016,white,3747407
2016,black,636121
2016,hispanic,0
2016,other,39279
2017,white,3735679
2017,black,638820
2017,hispanic,0
2017,other,45176
2018,white,3725244
2018,black,641698
2018,hispanic,0
2018,other,50525
2019,white,3714161
2019,black,644252
2019,hispanic,0
2019,other,55277
2020,white,3705401
2020,black,646850
2020,hispanic,0
2020,other,59376
2021,white,3695817
2021,black,649300
2021,hispanic,0
2021,other,63108
2022,white,3687439
2022,black,651988
2022,hispanic,0
2022,other,66364
2023,white,3679170
2023,black,654426
2023,hispanic,0
2023,other,69254
2024,white,3672555
2024,black,656613
2024,hispanic,0
2024,other,71942
2025,white,3665526
2025,black,658709
2025,hispanic,0
2025,other,74356
2026,white,3659460
2026,black,660934
2026,hispanic,0
2026,other,76596
2027,white,3653087
2027,black,662689
2027,hispanic,0
2027,other,78644
2028,white,3647661
2028,black,664356
2028,hispanic,0
2028,other,80660
2029,white,3642858
2029,black,665761
2029,hispanic,0
2029,other,82785
2030,white,3638386
2030,black,666908
2030,hispanic,0
2030,other,84740
2031,white,3633911
2031,black,667616
2031,hispanic,0
2031,other,86784
2032,white,3630573
2032,black,668390
2032,hispanic,0
2032,other,88755
2033,white,3627033
2033,black,668919
2033,hispanic,0
2033,other,90813
2034,white,3624357
2034,black,669591
2034,hispanic,0
2034,other,92970
2035,white,3620702
2035,black,669358
2035,hispanic,0
2035,other,95246
2036,white,3618042
2036,black,669250
2036,hispanic,0
2036,other,97579
2037,white,3615827
2037,black,669056
2037,hispanic,0
2037,other,99986
2038,white,3613330
2038,black,667940
2038,hispanic,0
2038,other,102679
2039,white,3610496
2039,black,667156
2039,hispanic,0
2039,other,105434
2040,white,3608170
2040,black,666309
2040,hispanic,0
2040,other,108517
2041,white,3604646
2041,black,664906
2041,hispanic,0
2041,other,111723
2042,white,3601388
2042,black,663803
2042,hispanic,0
2042,other,115414
2043,white,3598655
2043,black,662446
2043,hispanic,0
2043,other,119428
2044,white,3594570
2044,black,661599
2044,hispanic,0
2044,other,123886
2045,white,3590334
2045,black,660571
2045,hispanic,0
2045,other,128689
2046,white,3585872
2046,black,659337
2046,hispanic,0
2046,other,133908
2047,white,3581287
2047,black,657914
2047,hispanic,0
2047,other,139485
2048,white,3576385
2048,black,656229
2048,hispanic,0
2048,other,145194
2049,white,3570873
2049,black,654763
2049,hispanic,0
2049,other,151287
2050,white,3565121
2050,black,653183
2050,hispanic,0
2050,other,157530
