year,age,men,women
2011,0,874,830
2011,1,825,807
2011,2,1627,1167
2011,3,712,868
2011,4,1025,980
2011,5,973,931
2011,6,1080,869
2011,7,957,1230
2011,8,1037,788
2011,9,821,1078
2011,10,1043,685
2011,11,1061,1390
2011,12,1106,855
2011,13,811,1254
2011,14,1190,689
2011,15,1155,964
2011,16,1228,878
2011,17,985,978
2011,18,1222,917
2011,19,900,837
2011,20,1153,1305
2011,21,1320,1371
2011,22,1172,1220
2011,23,1870,1496
2011,24,1322,1075
2011,25,1039,1218
2011,26,1702,1399
2011,27,1456,1476
2011,28,1505,1757
2011,29,1231,1534
2011,30,1223,1441
2011,31,1536,1630
2011,32,1568,1371
2011,33,1279,1435
2011,34,1405,1369
2011,35,1619,1676
2011,36,1275,1847
2011,37,1474,1447
2011,38,1851,1428
2011,39,1481,1342
2011,40,1394,1464
2011,41,1785,1581
2011,42,1973,1599
2011,43,1717,1991
2011,44,1800,1720
2011,45,2192,2227
2011,46,2018,1882
2011,47,1927,1766
2011,48,2330,1751
2011,49,1957,2083
2011,50,1491,1756
2011,51,1518,1727
2011,52,1697,1720
2011,53,1570,1725
2011,54,1689,1413
2011,55,1505,1411
2011,56,1425,1200
2011,57,1135,1517
2011,58,1048,1267
2011,59,1139,1448
2011,60,1572,1432
2011,61,1223,1427
2011,62,1084,1322
2011,63,1326,1351
2011,64,1262,1386
2011,65,1044,1120
2011,66,1052,1042
2011,67,1068,1288
2011,68,1133,1092
2011,69,1140,1200
2011,70,1276,1503
2011,71,1395,1468
2011,72,1224,1408
2011,73,1228,1370
2011,74,942,1229
2011,75,989,1194
2011,76,935,990
2011,77,618,904
2011,78,641,744
2011,79,636,834
2011,80,449,762
2011,81,535,795
2011,82,473,613
2011,83,357,666
2011,84,350,556
2011,85,271,595
2011,86,252,440
2011,87,200,382
2011,88,192,368
2011,89,132,323
2011,90,107,208
2011,91,91,177
2011,92,36,57
2011,93,27,51
2011,94,25,44
2011,95,26,26
2011,96,38,88
2011,97,0,0
2011,98,0,0
2011,99,0,0
2011,100,0,0
2012,0,874,817
2012,1,873,834
2012,2,832,813
2012,3,1633,1172
2012,4,716,876
2012,5,1026,986
2012,6,975,936
2012,7,1088,872
2012,8,958,1234
2012,9,1042,794
2012,10,824,1083
2012,11,1050,697
2012,12,1070,1390
2012,13,1117,864
2012,14,824,1259
2012,15,1199,694
2012,16,1164,973
2012,17,1238,889
2012,18,990,984
2012,19,1231,920
2012,20,907,843
2012,21,1156,1314
2012,22,1326,1375
2012,23,1182,1224
2012,24,1874,1499
2012,25,1326,1081
2012,26,1049,1228
2012,27,1713,1407
2012,28,1462,1482
2012,29,1511,1766
2012,30,1240,1543
2012,31,1231,1454
2012,32,1539,1637
2012,33,1574,1379
2012,34,1289,1444
2012,35,1412,1376
2012,36,1632,1684
2012,37,1283,1858
2012,38,1486,1452
2012,39,1855,1438
2012,40,1485,1354
2012,41,1397,1472
2012,42,1793,1590
2012,43,1982,1614
2012,44,1730,2002
2012,45,1815,1740
2012,46,2203,2239
2012,47,2024,1890
2012,48,1941,1767
2012,49,2336,1759
2012,50,1960,2083
2012,51,1489,1758
2012,52,1522,1738
2012,53,1706,1732
2012,54,1568,1728
2012,55,1692,1417
2012,56,1504,1408
2012,57,1424,1199
2012,58,1126,1524
2012,59,1045,1271
2012,60,1137,1445
2012,61,1567,1438
2012,62,1221,1421
2012,63,1071,1320
2012,64,1310,1346
2012,65,1248,1383
2012,66,1035,1117
2012,67,1034,1039
2012,68,1055,1285
2012,69,1119,1097
2012,70,1126,1198
2012,71,1242,1508
2012,72,1368,1457
2012,73,1208,1385
2012,74,1191,1354
2012,75,919,1211
2012,76,954,1179
2012,77,895,969
2012,78,595,888
2012,79,615,723
2012,80,599,816
2012,81,431,732
2012,82,497,764
2012,83,451,591
2012,84,318,630
2012,85,318,526
2012,86,250,546
2012,87,229,407
2012,88,175,331
2012,89,155,330
2012,90,111,280
2012,91,91,175
2012,92,71,146
2012,93,28,46
2012,94,20,37
2012,95,18,32
2012,96,23,22
2012,97,28,57
2012,98,0,0
2012,99,0,0
2012,100,0,0
2013,0,886,859
2013,1,879,817
2013,2,876,839
2013,3,835,819
2013,4,1638,1175
2013,5,719,880
2013,6,1027,988
2013,7,985,945
2013,8,1092,880
2013,9,966,1237
2013,10,1048,798
2013,11,836,1089
2013,12,1056,706
2013,13,1073,1397
2013,14,1119,871
2013,15,829,1264
2013,16,1203,697
2013,17,1178,980
2013,18,1243,894
2013,19,996,990
2013,20,1237,930
2013,21,913,852
2013,22,1156,1323
2013,23,1334,1380
2013,24,1197,1235
2013,25,1880,1503
2013,26,1335,1087
2013,27,1058,1236
2013,28,1718,1417
2013,29,1476,1492
2013,30,1514,1770
2013,31,1245,1548
2013,32,1239,1457
2013,33,1547,1640
2013,34,1579,1390
2013,35,1298,1450
2013,36,1417,1381
2013,37,1635,1695
2013,38,1289,1868
2013,39,1495,1462
2013,40,1864,1443
2013,41,1487,1361
2013,42,1400,1478
2013,43,1802,1598
2013,44,1988,1622
2013,45,1741,2010
2013,46,1832,1753
2013,47,2211,2249
2013,48,2027,1897
2013,49,1955,1772
2013,50,2344,1771
2013,51,1966,2094
2013,52,1499,1770
2013,53,1520,1740
2013,54,1713,1737
2013,55,1572,1729
2013,56,1700,1421
2013,57,1506,1404
2013,58,1421,1209
2013,59,1122,1520
2013,60,1037,1278
2013,61,1137,1441
2013,62,1558,1445
2013,63,1213,1417
2013,64,1062,1323
2013,65,1302,1348
2013,66,1234,1379
2013,67,1023,1117
2013,68,1020,1039
2013,69,1052,1279
2013,70,1105,1093
2013,71,1114,1188
2013,72,1221,1495
2013,73,1353,1453
2013,74,1178,1377
2013,75,1169,1345
2013,76,898,1188
2013,77,927,1158
2013,78,867,951
2013,79,563,872
2013,80,586,704
2013,81,563,783
2013,82,405,689
2013,83,451,729
2013,84,416,550
2013,85,292,594
2013,86,282,490
2013,87,216,502
2013,88,194,371
2013,89,152,285
2013,90,131,275
2013,91,93,238
2013,92,74,155
2013,93,51,121
2013,94,18,33
2013,95,12,34
2013,96,12,17
2013,97,13,16
2013,98,19,44
2013,99,0,0
2013,100,0,0
2014,0,834,843
2014,1,894,862
2014,2,883,826
2014,3,880,845
2014,4,855,823
2014,5,1645,1182
2014,6,724,888
2014,7,1034,994
2014,8,995,947
2014,9,1099,893
2014,10,972,1239
2014,11,1058,806
2014,12,844,1096
2014,13,1065,711
2014,14,1084,1407
2014,15,1122,879
2014,16,837,1269
2014,17,1206,705
2014,18,1184,990
2014,19,1249,896
2014,20,999,995
2014,21,1241,935
2014,22,915,862
2014,23,1161,1339
2014,24,1339,1393
2014,25,1208,1244
2014,26,1889,1509
2014,27,1340,1094
2014,28,1071,1245
2014,29,1726,1436
2014,30,1484,1502
2014,31,1523,1783
2014,32,1253,1557
2014,33,1252,1467
2014,34,1552,1646
2014,35,1582,1404
2014,36,1301,1452
2014,37,1434,1393
2014,38,1643,1708
2014,39,1300,1879
2014,40,1505,1472
2014,41,1867,1452
2014,42,1492,1372
2014,43,1411,1486
2014,44,1809,1601
2014,45,1994,1633
2014,46,1750,2015
2014,47,1842,1762
2014,48,2221,2256
2014,49,2037,1903
2014,50,1961,1784
2014,51,2339,1773
2014,52,1969,2100
2014,53,1505,1776
2014,54,1519,1749
2014,55,1715,1747
2014,56,1577,1732
2014,57,1695,1421
2014,58,1495,1412
2014,59,1419,1215
2014,60,1122,1525
2014,61,1037,1277
2014,62,1131,1440
2014,63,1544,1440
2014,64,1216,1421
2014,65,1055,1316
2014,66,1296,1340
2014,67,1223,1379
2014,68,1008,1107
2014,69,1003,1035
2014,70,1030,1265
2014,71,1089,1082
2014,72,1093,1173
2014,73,1199,1493
2014,74,1331,1437
2014,75,1148,1362
2014,76,1135,1329
2014,77,866,1159
2014,78,893,1128
2014,79,835,933
2014,80,535,852
2014,81,555,680
2014,82,523,760
2014,83,373,667
2014,84,416,685
2014,85,373,505
2014,86,264,555
2014,87,238,450
2014,88,180,440
2014,89,167,322
2014,90,126,248
2014,91,103,240
2014,92,75,196
2014,93,54,116
2014,94,38,95
2014,95,15,24
2014,96,10,22
2014,97,8,11
2014,98,7,14
2014,99,12,28
2014,100,0,0
2015,0,818,774
2015,1,837,848
2015,2,904,867
2015,3,895,831
2015,4,883,849
2015,5,869,832
2015,6,1655,1186
2015,7,734,898
2015,8,1040,999
2015,9,1003,956
2015,10,1105,902
2015,11,982,1245
2015,12,1059,814
2015,13,851,1101
2015,14,1068,724
2015,15,1086,1414
2015,16,1126,896
2015,17,839,1276
2015,18,1212,711
2015,19,1193,998
2015,20,1257,903
2015,21,1014,1004
2015,22,1251,941
2015,23,929,872
2015,24,1173,1351
2015,25,1347,1394
2015,26,1214,1259
2015,27,1900,1515
2015,28,1347,1097
2015,29,1079,1253
2015,30,1728,1452
2015,31,1493,1509
2015,32,1529,1793
2015,33,1262,1570
2015,34,1262,1481
2015,35,1564,1656
2015,36,1591,1412
2015,37,1312,1458
2015,38,1439,1399
2015,39,1648,1717
2015,40,1316,1893
2015,41,1518,1481
2015,42,1875,1460
2015,43,1498,1387
2015,44,1419,1499
2015,45,1819,1618
2015,46,1999,1641
2015,47,1750,2027
2015,48,1862,1776
2015,49,2227,2269
2015,50,2040,1909
2015,51,1968,1791
2015,52,2350,1790
2015,53,1962,2107
2015,54,1514,1779
2015,55,1524,1750
2015,56,1713,1755
2015,57,1583,1738
2015,58,1694,1431
2015,59,1484,1416
2015,60,1410,1214
2015,61,1121,1525
2015,62,1029,1283
2015,63,1127,1446
2015,64,1538,1445
2015,65,1212,1423
2015,66,1051,1311
2015,67,1287,1336
2015,68,1216,1373
2015,69,1003,1098
2015,70,999,1038
2015,71,1015,1257
2015,72,1072,1073
2015,73,1072,1165
2015,74,1183,1482
2015,75,1296,1421
2015,76,1124,1345
2015,77,1099,1304
2015,78,835,1135
2015,79,849,1090
2015,80,789,916
2015,81,510,824
2015,82,522,658
2015,83,477,708
2015,84,333,634
2015,85,375,637
2015,86,338,467
2015,87,233,520
2015,88,202,404
2015,89,155,385
2015,90,145,292
2015,91,100,207
2015,92,84,197
2015,93,61,157
2015,94,42,95
2015,95,25,75
2015,96,6,15
2015,97,9,18
2015,98,4,6
2015,99,5,12
2015,100,9,17
2016,0,885,781
2016,1,821,779
2016,2,841,853
2016,3,909,872
2016,4,906,841
2016,5,889,853
2016,6,876,839
2016,7,1663,1190
2016,8,741,903
2016,9,1051,1002
2016,10,1009,968
2016,11,1105,920
2016,12,991,1258
2016,13,1066,825
2016,14,856,1108
2016,15,1082,737
2016,16,1098,1422
2016,17,1133,902
2016,18,847,1284
2016,19,1231,715
2016,20,1202,1003
2016,21,1265,910
2016,22,1021,1012
2016,23,1262,950
2016,24,938,883
2016,25,1176,1360
2016,26,1360,1400
2016,27,1235,1270
2016,28,1909,1521
2016,29,1353,1102
2016,30,1094,1264
2016,31,1743,1462
2016,32,1507,1524
2016,33,1539,1807
2016,34,1273,1581
2016,35,1268,1497
2016,36,1567,1664
2016,37,1596,1424
2016,38,1323,1464
2016,39,1453,1414
2016,40,1653,1731
2016,41,1326,1898
2016,42,1533,1494
2016,43,1886,1474
2016,44,1506,1401
2016,45,1433,1503
2016,46,1825,1632
2016,47,2005,1658
