person,household,autos,avs,homeZone,jobZone,timeCar
74,26,0,0,205,231,3.537749281402588
89,35,1,0,98,293,19.156175352172852
90,35,1,0,98,227,13.150838776489259
92,35,1,0,98,176,8.473469636901855
124,53,1,0,324,244,7.3629158100585945
173,77,1,0,182,327,13.788544808349611
279,125,1,0,216,140,6.090045911437989
394,180,1,0,149,286,19.11722397094727
449,206,0,0,273,39,11.632725732543946
470,219,1,0,101,347,13.629722051879885
471,219,1,0,101,7,38.77995852636719
532,243,2,0,1089,291,13.691022919799806
666,308,1,0,164,248,9.511196893310547
697,325,1,0,297,365,12.868507893981935
749,356,1,0,182,346,6.92340710144043
802,381,1,0,229,92,15.605433969299318
804,382,2,0,204,199,3.597392503051758
812,386,1,0,314,144,9.236145616027832
813,386,1,0,314,253,7.860772751861573
882,421,1,0,146,166,4.180443511169434
938,447,1,0,309,321,5.450032195892335
939,447,1,0,309,212,1.742826603881836
965,459,1,0,319,322,3.8150823019104005
1030,489,1,0,254,72,17.919403384155274
1031,489,1,0,254,401,18.870266720703125
1084,517,1,0,2073,1178,13.989397213989259
1128,538,1,0,204,144,3.72670874899292
1303,627,1,0,316,164,9.76026193310547
1361,659,2,0,225,226,1.335764960411072
1363,659,2,0,225,139,5.429147073608399
1479,714,1,0,226,197,2.1479291068115236
1487,717,1,0,302,327,8.523494542816163
1488,717,1,0,302,254,12.216528505371095
1836,885,1,0,177,237,8.198575528289796
1837,885,1,0,177,220,8.356841836456299
1878,903,1,0,241,173,6.732455813415528
1879,904,2,0,154,181,3.9942749319152835
1880,904,2,0,154,350,11.398182264099121
1881,904,2,0,154,355,11.975704393737795
2049,992,1,0,138,176,13.089902092285158
2170,1044,1,0,212,1161,16.892815266540527
2259,1089,2,0,177,201,3.880512789367676
2260,1089,2,0,177,93,10.251968951293946
2277,1094,1,0,178,61,19.379474902709962
2301,1102,2,0,222,253,8.618425945800782
2353,1124,2,0,212,122,11.216180943481445
2354,1124,2,0,212,92,14.915821585205078
2387,1140,2,0,1370,355,38.68277640698243
2422,1154,1,0,256,157,16.059888452087403
2576,1227,2,0,98,403,27.26346233190918
2577,1227,2,0,98,133,6.354342579101563
2831,1345,1,0,335,326,5.142159624176026
2904,1381,1,0,325,318,5.798520916015625
2905,1381,1,0,325,322,2.3095348677520753
3072,1465,1,0,134,113,13.105879381225586
3220,1527,1,0,314,256,14.29778757763672
3221,1527,1,0,314,346,7.467997562530518
3247,1542,1,0,179,57,18.10122261291504
3303,1564,1,0,198,354,9.344517737854005
3439,1628,1,0,224,184,3.4242991873321538
3587,1696,1,0,297,1110,17.72370244873047
3588,1696,1,0,297,103,11.811724063415529
3607,1705,1,0,242,92,18.958397145385742
3639,1720,2,0,340,223,6.502068413604737
3640,1720,2,0,340,403,15.645919398132325
3641,1720,2,0,340,355,6.684469013854981
