year,type,count,price,vacancy
2011,SFD,57370,677.787883447053,0.021682414328021437
2011,SFA,12808,691.4522447882035,0.02223101265822785
2011,MF234,20605,630.850828858872,0.04310471795375325
2011,MF5plus,19312,495.6759667999581,0.05591813292956717
2011,MH,0,NaN,0.0
2012,SFD,57610,681.1678368201195,0.03989890186508628
2012,SFA,12874,697.492903059989,0.0556683322923173
2012,MF234,20686,637.0729734443937,0.04819218636253336
2012,MF5plus,19439,507.9541700726452,0.05623446561723281
2012,MH,0,NaN,0.0
2013,SFD,57770,679.3816198827305,0.04141642076028467
2013,SFA,12925,698.380724291822,0.05592667391642069
2013,MF234,20760,638.1081425288651,0.05153243739727352
2013,MF5plus,19557,518.0668433339081,0.06018828129018983
2013,MH,0,NaN,0.0
2014,SFD,57869,680.2897067296333,0.04448675783278518
2014,SFA,12960,701.7288516581639,0.05678916827852998
2014,MF234,20793,645.9611393995581,0.053371868978805394
2014,MF5plus,19650,532.1704056015811,0.06079664570230608
2014,MH,0,NaN,0.0
2015,SFD,57981,680.8669189094551,0.04406504346022914
2015,SFA,12981,708.0281205807331,0.05887345679012346
2015,MF234,20843,648.9858652837657,0.051171067186072235
2015,MF5plus,19767,544.5496770703704,0.05933842239185751
2015,MH,0,NaN,0.0
2016,SFD,58104,683.1526156604046,0.043341784377640954
2016,SFA,13025,709.1591176905893,0.05523457360758031
2016,MF234,20879,659.9175133183327,0.05234371251739193
2016,MF5plus,19859,559.0731531541483,0.05807659230029848
2016,MH,0,NaN,0.0
2017,SFD,58209,686.8275842620158,0.0429574555968608
2017,SFA,13062,715.6379122695747,0.054587332053742804
2017,MF234,20936,672.9660149633224,0.04688921883231956
2017,MF5plus,19949,577.0774774674289,0.057152928143411046
2017,MH,0,NaN,0.0
2018,SFD,58330,686.7808292301594,0.040354584342627425
2018,SFA,13105,717.8714907831925,0.050834481702648905
2018,MF234,21007,683.0909389164442,0.046666029805120364
2018,MF5plus,20069,593.355950532544,0.052934984209734824
2018,MH,0,NaN,0.0
2019,SFD,58426,691.6142931361633,0.0402365849477113
2019,SFA,13136,724.4405146550348,0.050286150324303704
2019,MF234,21056,693.9141299056682,0.04479459227876422
