year,variable,value
2011,average,29016.82968937475
2011,median,23053.5
2012,average,28873.70406680156
2012,median,23139.0
2013,average,28993.37249433171
2013,median,23389.0
2014,average,29087.188718327045
2014,median,23632.0
2015,average,29147.299586251094
2015,median,23840.0
2016,average,29193.079458637585
2016,median,23932.5
2017,average,29256.524432826067
2017,median,24058.5
2018,average,29298.9771355218
2018,median,24129.0
2019,average,29398.851062450212
2019,median,24282.0
2020,average,29420.33708372496
2020,median,24375.0
2021,average,29442.865087737
2021,median,24446.0
2022,average,29468.803016616024
2022,median,24450.0
2023,average,29517.82949580824
2023,median,24556.0
2024,average,29538.365351288903
2024,median,24617.0
2025,average,29504.495456012046
2025,median,24578.0
2026,average,29521.098093541204
2026,median,24624.0
2027,average,29567.870753722553
2027,median,24703.0
2028,average,29610.008182514055
2028,median,24844.0
2029,average,29583.038997676733
2029,median,24844.5
2030,average,29590.248120431454
2030,median,24906.0
2031,average,29632.459041183483
2031,median,24968.5
2032,average,29684.204389221144
2032,median,25089.5
2033,average,29681.044822494045
2033,median,25108.0
2034,average,29653.613932374526
2034,median,25173.0
2035,average,29659.576069603412
2035,median,25186.0
2036,average,29665.17228055439
2036,median,25294.0
2037,average,29632.653800593947
2037,median,25275.0
2038,average,29589.128804572945
2038,median,25293.5
2039,average,29581.25546856348
2039,median,25358.0
2040,average,29544.35940519472
2040,median,25394.0
2041,average,29519.517829104192
2041,median,25383.0
2042,average,29461.676431123396
2042,median,25399.5
2043,average,29474.529412237807
2043,median,25476.5
2044,average,29480.885915538
2044,median,25579.0
2045,average,29470.59959609773
2045,median,25629.0
2046,average,29481.895056456968
2046,median,25681.0
2047,average,29465.58838659944
2047,median,25740.0
2048,average,29436.481743613782
2048,median,25770.0
2049,average,29424.673394894417
2049,median,25770.0
