year,type,count
2011,SIZE_1_INC_LOW,30079
2011,SIZE_2_INC_LOW,9665
2011,SIZE_3_INC_LOW,2363
2011,SIZE_4_INC_LOW,1875
2011,SIZE_1_INC_MEDIUM,10136
2011,SIZE_2_INC_MEDIUM,15388
2011,SIZE_3_INC_MEDIUM,6505
2011,SIZE_4_INC_MEDIUM,6029
2011,SIZE_1_INC_HIGH,1325
2011,SIZE_2_INC_HIGH,5221
2011,SIZE_3_INC_HIGH,3868
2011,SIZE_4_INC_HIGH,4554
2011,SIZE_1_INC_VERY_HIGH,472
2011,SIZE_2_INC_VERY_HIGH,2460
2011,SIZE_3_INC_VERY_HIGH,1736
2011,SIZE_4_INC_VERY_HIGH,3338
2012,SIZE_1_INC_LOW,30152
2012,SIZE_2_INC_LOW,9852
2012,SIZE_3_INC_LOW,2368
2012,SIZE_4_INC_LOW,1732
2012,SIZE_1_INC_MEDIUM,9936
2012,SIZE_2_INC_MEDIUM,15439
2012,SIZE_3_INC_MEDIUM,6637
2012,SIZE_4_INC_MEDIUM,6085
2012,SIZE_1_INC_HIGH,1279
2012,SIZE_2_INC_HIGH,5188
2012,SIZE_3_INC_HIGH,3934
2012,SIZE_4_INC_HIGH,4695
2012,SIZE_1_INC_VERY_HIGH,478
2012,SIZE_2_INC_VERY_HIGH,2355
2012,SIZE_3_INC_VERY_HIGH,1765
2012,SIZE_4_INC_VERY_HIGH,3372
2013,SIZE_1_INC_LOW,30002
2013,SIZE_2_INC_LOW,9841
2013,SIZE_3_INC_LOW,2337
2013,SIZE_4_INC_LOW,1655
2013,SIZE_1_INC_MEDIUM,9863
2013,SIZE_2_INC_MEDIUM,15459
2013,SIZE_3_INC_MEDIUM,6524
2013,SIZE_4_INC_MEDIUM,6007
2013,SIZE_1_INC_HIGH,1281
2013,SIZE_2_INC_HIGH,5210
2013,SIZE_3_INC_HIGH,4172
2013,SIZE_4_INC_HIGH,4809
2013,SIZE_1_INC_VERY_HIGH,483
2013,SIZE_2_INC_VERY_HIGH,2351
2013,SIZE_3_INC_VERY_HIGH,1902
2013,SIZE_4_INC_VERY_HIGH,3515
2014,SIZE_1_INC_LOW,29883
2014,SIZE_2_INC_LOW,9803
2014,SIZE_3_INC_LOW,2342
2014,SIZE_4_INC_LOW,1599
2014,SIZE_1_INC_MEDIUM,9997
2014,SIZE_2_INC_MEDIUM,15453
2014,SIZE_3_INC_MEDIUM,6438
2014,SIZE_4_INC_MEDIUM,5809
2014,SIZE_1_INC_HIGH,1305
2014,SIZE_2_INC_HIGH,5270
2014,SIZE_3_INC_HIGH,4399
2014,SIZE_4_INC_HIGH,5013
2014,SIZE_1_INC_VERY_HIGH,482
2014,SIZE_2_INC_VERY_HIGH,2349
2014,SIZE_3_INC_VERY_HIGH,1988
2014,SIZE_4_INC_VERY_HIGH,3599
2015,SIZE_1_INC_LOW,29966
2015,SIZE_2_INC_LOW,9798
2015,SIZE_3_INC_LOW,2334
2015,SIZE_4_INC_LOW,1578
2015,SIZE_1_INC_MEDIUM,10081
2015,SIZE_2_INC_MEDIUM,15362
2015,SIZE_3_INC_MEDIUM,6263
2015,SIZE_4_INC_MEDIUM,5680
2015,SIZE_1_INC_HIGH,1297
2015,SIZE_2_INC_HIGH,5421
2015,SIZE_3_INC_HIGH,4587
2015,SIZE_4_INC_HIGH,5123
2015,SIZE_1_INC_VERY_HIGH,469
2015,SIZE_2_INC_VERY_HIGH,2333
2015,SIZE_3_INC_VERY_HIGH,2076
2015,SIZE_4_INC_VERY_HIGH,3735
2016,SIZE_1_INC_LOW,30146
2016,SIZE_2_INC_LOW,9724
2016,SIZE_3_INC_LOW,2318
2016,SIZE_4_INC_LOW,1620
2016,SIZE_1_INC_MEDIUM,10113
2016,SIZE_2_INC_MEDIUM,15369
2016,SIZE_3_INC_MEDIUM,6126
2016,SIZE_4_INC_MEDIUM,5494
2016,SIZE_1_INC_HIGH,1302
2016,SIZE_2_INC_HIGH,5533
2016,SIZE_3_INC_HIGH,4766
2016,SIZE_4_INC_HIGH,5301
2016,SIZE_1_INC_VERY_HIGH,458
2016,SIZE_2_INC_VERY_HIGH,2316
2016,SIZE_3_INC_VERY_HIGH,2178
2016,SIZE_4_INC_VERY_HIGH,3782
2017,SIZE_1_INC_LOW,30364
2017,SIZE_2_INC_LOW,9754
2017,SIZE_3_INC_LOW,2281
2017,SIZE_4_INC_LOW,1644
2017,SIZE_1_INC_MEDIUM,10174
2017,SIZE_2_INC_MEDIUM,15309
2017,SIZE_3_INC_MEDIUM,5923
2017,SIZE_4_INC_MEDIUM,5431
2017,SIZE_1_INC_HIGH,1315
2017,SIZE_2_INC_HIGH,5688
2017,SIZE_3_INC_HIGH,4894
2017,SIZE_4_INC_HIGH,5372
2017,SIZE_1_INC_VERY_HIGH,468
2017,SIZE_2_INC_VERY_HIGH,2315
2017,SIZE_3_INC_VERY_HIGH,2274
2017,SIZE_4_INC_VERY_HIGH,3904
2018,SIZE_1_INC_LOW,30468
2018,SIZE_2_INC_LOW,9742
2018,SIZE_3_INC_LOW,2270
2018,SIZE_4_INC_LOW,1607
2018,SIZE_1_INC_MEDIUM,10215
2018,SIZE_2_INC_MEDIUM,15247
2018,SIZE_3_INC_MEDIUM,5861
2018,SIZE_4_INC_MEDIUM,5341
2018,SIZE_1_INC_HIGH,1318
2018,SIZE_2_INC_HIGH,5836
2018,SIZE_3_INC_HIGH,4908
2018,SIZE_4_INC_HIGH,5583
2018,SIZE_1_INC_VERY_HIGH,466
2018,SIZE_2_INC_VERY_HIGH,2336
2018,SIZE_3_INC_VERY_HIGH,2366
2018,SIZE_4_INC_VERY_HIGH,3939
2019,SIZE_1_INC_LOW,30597
2019,SIZE_2_INC_LOW,9716
2019,SIZE_3_INC_LOW,2229
2019,SIZE_4_INC_LOW,1587
2019,SIZE_1_INC_MEDIUM,10259
2019,SIZE_2_INC_MEDIUM,15155
2019,SIZE_3_INC_MEDIUM,5801
2019,SIZE_4_INC_MEDIUM,5224
2019,SIZE_1_INC_HIGH,1331
2019,SIZE_2_INC_HIGH,6067
2019,SIZE_3_INC_HIGH,5022
2019,SIZE_4_INC_HIGH,5708
2019,SIZE_1_INC_VERY_HIGH,457
2019,SIZE_2_INC_VERY_HIGH,2333
2019,SIZE_3_INC_VERY_HIGH,2407
2019,SIZE_4_INC_VERY_HIGH,4065
2020,SIZE_1_INC_LOW,30818
2020,SIZE_2_INC_LOW,9693
2020,SIZE_3_INC_LOW,2276
2020,SIZE_4_INC_LOW,1531
2020,SIZE_1_INC_MEDIUM,10356
2020,SIZE_2_INC_MEDIUM,15209
2020,SIZE_3_INC_MEDIUM,5682
2020,SIZE_4_INC_MEDIUM,5112
2020,SIZE_1_INC_HIGH,1341
2020,SIZE_2_INC_HIGH,6143
2020,SIZE_3_INC_HIGH,5197
2020,SIZE_4_INC_HIGH,5783
2020,SIZE_1_INC_VERY_HIGH,463
2020,SIZE_2_INC_VERY_HIGH,2350
2020,SIZE_3_INC_VERY_HIGH,2409
2020,SIZE_4_INC_VERY_HIGH,4159
2021,SIZE_1_INC_LOW,31069
2021,SIZE_2_INC_LOW,9715
2021,SIZE_3_INC_LOW,2242
2021,SIZE_4_INC_LOW,1492
2021,SIZE_1_INC_MEDIUM,10402
2021,SIZE_2_INC_MEDIUM,15162
2021,SIZE_3_INC_MEDIUM,5671
2021,SIZE_4_INC_MEDIUM,5032
2021,SIZE_1_INC_HIGH,1354
2021,SIZE_2_INC_HIGH,6218
2021,SIZE_3_INC_HIGH,5254
2021,SIZE_4_INC_HIGH,5803
2021,SIZE_1_INC_VERY_HIGH,458
2021,SIZE_2_INC_VERY_HIGH,2344
2021,SIZE_3_INC_VERY_HIGH,2486
2021,SIZE_4_INC_VERY_HIGH,4317
2022,SIZE_1_INC_LOW,31239
2022,SIZE_2_INC_LOW,9808
2022,SIZE_3_INC_LOW,2295
2022,SIZE_4_INC_LOW,1465
2022,SIZE_1_INC_MEDIUM,10501
2022,SIZE_2_INC_MEDIUM,15113
2022,SIZE_3_INC_MEDIUM,5640
2022,SIZE_4_INC_MEDIUM,4888
2022,SIZE_1_INC_HIGH,1384
2022,SIZE_2_INC_HIGH,6296
2022,SIZE_3_INC_HIGH,5379
2022,SIZE_4_INC_HIGH,5844
2022,SIZE_1_INC_VERY_HIGH,451
2022,SIZE_2_INC_VERY_HIGH,2323
2022,SIZE_3_INC_VERY_HIGH,2518
2022,SIZE_4_INC_VERY_HIGH,4449
2023,SIZE_1_INC_LOW,31343
2023,SIZE_2_INC_LOW,9804
2023,SIZE_3_INC_LOW,2214
2023,SIZE_4_INC_LOW,1444
2023,SIZE_1_INC_MEDIUM,10660
2023,SIZE_2_INC_MEDIUM,15217
2023,SIZE_3_INC_MEDIUM,5649
2023,SIZE_4_INC_MEDIUM,4769
2023,SIZE_1_INC_HIGH,1352
2023,SIZE_2_INC_HIGH,6393
2023,SIZE_3_INC_HIGH,5353
2023,SIZE_4_INC_HIGH,5946
2023,SIZE_1_INC_VERY_HIGH,443
2023,SIZE_2_INC_VERY_HIGH,2343
2023,SIZE_3_INC_VERY_HIGH,2593
2023,SIZE_4_INC_VERY_HIGH,4574
2024,SIZE_1_INC_LOW,31776
2024,SIZE_2_INC_LOW,9784
2024,SIZE_3_INC_LOW,2251
2024,SIZE_4_INC_LOW,1422
2024,SIZE_1_INC_MEDIUM,10762
2024,SIZE_2_INC_MEDIUM,15169
2024,SIZE_3_INC_MEDIUM,5508
2024,SIZE_4_INC_MEDIUM,4740
2024,SIZE_1_INC_HIGH,1314
2024,SIZE_2_INC_HIGH,6496
2024,SIZE_3_INC_HIGH,5546
2024,SIZE_4_INC_HIGH,5910
2024,SIZE_1_INC_VERY_HIGH,441
2024,SIZE_2_INC_VERY_HIGH,2374
2024,SIZE_3_INC_VERY_HIGH,2635
2024,SIZE_4_INC_VERY_HIGH,4664
2025,SIZE_1_INC_LOW,32119
2025,SIZE_2_INC_LOW,9820
2025,SIZE_3_INC_LOW,2229
2025,SIZE_4_INC_LOW,1406
2025,SIZE_1_INC_MEDIUM,10948
2025,SIZE_2_INC_MEDIUM,15139
2025,SIZE_3_INC_MEDIUM,5557
2025,SIZE_4_INC_MEDIUM,4610
2025,SIZE_1_INC_HIGH,1323
2025,SIZE_2_INC_HIGH,6599
2025,SIZE_3_INC_HIGH,5563
2025,SIZE_4_INC_HIGH,5984
2025,SIZE_1_INC_VERY_HIGH,443
2025,SIZE_2_INC_VERY_HIGH,2385
2025,SIZE_3_INC_VERY_HIGH,2740
2025,SIZE_4_INC_VERY_HIGH,4711
2026,SIZE_1_INC_LOW,32452
2026,SIZE_2_INC_LOW,9806
2026,SIZE_3_INC_LOW,2234
2026,SIZE_4_INC_LOW,1370
2026,SIZE_1_INC_MEDIUM,11014
2026,SIZE_2_INC_MEDIUM,15185
2026,SIZE_3_INC_MEDIUM,5565
2026,SIZE_4_INC_MEDIUM,4481
2026,SIZE_1_INC_HIGH,1316
2026,SIZE_2_INC_HIGH,6688
2026,SIZE_3_INC_HIGH,5703
2026,SIZE_4_INC_HIGH,6009
2026,SIZE_1_INC_VERY_HIGH,433
2026,SIZE_2_INC_VERY_HIGH,2428
2026,SIZE_3_INC_VERY_HIGH,2808
2026,SIZE_4_INC_VERY_HIGH,4758
2027,SIZE_1_INC_LOW,32564
2027,SIZE_2_INC_LOW,9851
2027,SIZE_3_INC_LOW,2243
2027,SIZE_4_INC_LOW,1348
2027,SIZE_1_INC_MEDIUM,11103
2027,SIZE_2_INC_MEDIUM,15267
2027,SIZE_3_INC_MEDIUM,5562
2027,SIZE_4_INC_MEDIUM,4438
2027,SIZE_1_INC_HIGH,1332
2027,SIZE_2_INC_HIGH,6854
2027,SIZE_3_INC_HIGH,5739
2027,SIZE_4_INC_HIGH,6000
2027,SIZE_1_INC_VERY_HIGH,431
2027,SIZE_2_INC_VERY_HIGH,2431
2027,SIZE_3_INC_VERY_HIGH,2923
2027,SIZE_4_INC_VERY_HIGH,4807
2028,SIZE_1_INC_LOW,32792
2028,SIZE_2_INC_LOW,9808
2028,SIZE_3_INC_LOW,2244
2028,SIZE_4_INC_LOW,1296
2028,SIZE_1_INC_MEDIUM,11235
2028,SIZE_2_INC_MEDIUM,15430
2028,SIZE_3_INC_MEDIUM,5640
2028,SIZE_4_INC_MEDIUM,4281
2028,SIZE_1_INC_HIGH,1354
2028,SIZE_2_INC_HIGH,7002
2028,SIZE_3_INC_HIGH,5789
2028,SIZE_4_INC_HIGH,6056
2028,SIZE_1_INC_VERY_HIGH,431
2028,SIZE_2_INC_VERY_HIGH,2407
2028,SIZE_3_INC_VERY_HIGH,2997
2028,SIZE_4_INC_VERY_HIGH,4895
2029,SIZE_1_INC_LOW,33133
2029,SIZE_2_INC_LOW,9829
2029,SIZE_3_INC_LOW,2240
2029,SIZE_4_INC_LOW,1253
2029,SIZE_1_INC_MEDIUM,11377
2029,SIZE_2_INC_MEDIUM,15566
2029,SIZE_3_INC_MEDIUM,5737
2029,SIZE_4_INC_MEDIUM,4203
2029,SIZE_1_INC_HIGH,1357
2029,SIZE_2_INC_HIGH,7093
2029,SIZE_3_INC_HIGH,5865
2029,SIZE_4_INC_HIGH,6039
2029,SIZE_1_INC_VERY_HIGH,409
2029,SIZE_2_INC_VERY_HIGH,2428
2029,SIZE_3_INC_VERY_HIGH,3039
2029,SIZE_4_INC_VERY_HIGH,4926
2030,SIZE_1_INC_LOW,33382
2030,SIZE_2_INC_LOW,9914
2030,SIZE_3_INC_LOW,2231
2030,SIZE_4_INC_LOW,1238
2030,SIZE_1_INC_MEDIUM,11392
2030,SIZE_2_INC_MEDIUM,15594
2030,SIZE_3_INC_MEDIUM,5766
2030,SIZE_4_INC_MEDIUM,4124
2030,SIZE_1_INC_HIGH,1344
2030,SIZE_2_INC_HIGH,7201
2030,SIZE_3_INC_HIGH,5958
2030,SIZE_4_INC_HIGH,5958
2030,SIZE_1_INC_VERY_HIGH,399
2030,SIZE_2_INC_VERY_HIGH,2450
2030,SIZE_3_INC_VERY_HIGH,3078
2030,SIZE_4_INC_VERY_HIGH,5024
2031,SIZE_1_INC_LOW,33560
2031,SIZE_2_INC_LOW,9999
2031,SIZE_3_INC_LOW,2210
2031,SIZE_4_INC_LOW,1155
2031,SIZE_1_INC_MEDIUM,11477
2031,SIZE_2_INC_MEDIUM,15552
2031,SIZE_3_INC_MEDIUM,5768
2031,SIZE_4_INC_MEDIUM,4115
2031,SIZE_1_INC_HIGH,1380
2031,SIZE_2_INC_HIGH,7398
2031,SIZE_3_INC_HIGH,6120
2031,SIZE_4_INC_HIGH,5979
2031,SIZE_1_INC_VERY_HIGH,387
2031,SIZE_2_INC_VERY_HIGH,2423
2031,SIZE_3_INC_VERY_HIGH,3121
2031,SIZE_4_INC_VERY_HIGH,5082
2032,SIZE_1_INC_LOW,33702
2032,SIZE_2_INC_LOW,9886
2032,SIZE_3_INC_LOW,2210
2032,SIZE_4_INC_LOW,1136
2032,SIZE_1_INC_MEDIUM,11606
2032,SIZE_2_INC_MEDIUM,15753
2032,SIZE_3_INC_MEDIUM,5830
2032,SIZE_4_INC_MEDIUM,4082
2032,SIZE_1_INC_HIGH,1371
2032,SIZE_2_INC_HIGH,7567
2032,SIZE_3_INC_HIGH,6115
2032,SIZE_4_INC_HIGH,5960
2032,SIZE_1_INC_VERY_HIGH,388
2032,SIZE_2_INC_VERY_HIGH,2432
2032,SIZE_3_INC_VERY_HIGH,3210
2032,SIZE_4_INC_VERY_HIGH,5128
2033,SIZE_1_INC_LOW,33945
2033,SIZE_2_INC_LOW,9926
2033,SIZE_3_INC_LOW,2181
2033,SIZE_4_INC_LOW,1130
2033,SIZE_1_INC_MEDIUM,11697
2033,SIZE_2_INC_MEDIUM,15927
2033,SIZE_3_INC_MEDIUM,5861
2033,SIZE_4_INC_MEDIUM,4013
2033,SIZE_1_INC_HIGH,1364
2033,SIZE_2_INC_HIGH,7692
2033,SIZE_3_INC_HIGH,6280
2033,SIZE_4_INC_HIGH,5926
2033,SIZE_1_INC_VERY_HIGH,376
2033,SIZE_2_INC_VERY_HIGH,2414
2033,SIZE_3_INC_VERY_HIGH,3279
2033,SIZE_4_INC_VERY_HIGH,5140
2034,SIZE_1_INC_LOW,34142
2034,SIZE_2_INC_LOW,9930
2034,SIZE_3_INC_LOW,2231
2034,SIZE_4_INC_LOW,1085
2034,SIZE_1_INC_MEDIUM,11806
2034,SIZE_2_INC_MEDIUM,16063
2034,SIZE_3_INC_MEDIUM,5931
2034,SIZE_4_INC_MEDIUM,3982
2034,SIZE_1_INC_HIGH,1341
2034,SIZE_2_INC_HIGH,7865
2034,SIZE_3_INC_HIGH,6346
2034,SIZE_4_INC_HIGH,5951
2034,SIZE_1_INC_VERY_HIGH,366
2034,SIZE_2_INC_VERY_HIGH,2380
2034,SIZE_3_INC_VERY_HIGH,3310
2034,SIZE_4_INC_VERY_HIGH,5126
2035,SIZE_1_INC_LOW,34149
2035,SIZE_2_INC_LOW,10015
2035,SIZE_3_INC_LOW,2188
2035,SIZE_4_INC_LOW,1081
2035,SIZE_1_INC_MEDIUM,11859
2035,SIZE_2_INC_MEDIUM,16178
2035,SIZE_3_INC_MEDIUM,6003
2035,SIZE_4_INC_MEDIUM,3982
2035,SIZE_1_INC_HIGH,1320
2035,SIZE_2_INC_HIGH,8081
2035,SIZE_3_INC_HIGH,6468
2035,SIZE_4_INC_HIGH,5925
2035,SIZE_1_INC_VERY_HIGH,366
2035,SIZE_2_INC_VERY_HIGH,2365
2035,SIZE_3_INC_VERY_HIGH,3269
2035,SIZE_4_INC_VERY_HIGH,5136
2036,SIZE_1_INC_LOW,34247
2036,SIZE_2_INC_LOW,10083
2036,SIZE_3_INC_LOW,2159
2036,SIZE_4_INC_LOW,1067
2036,SIZE_1_INC_MEDIUM,12009
2036,SIZE_2_INC_MEDIUM,16423
2036,SIZE_3_INC_MEDIUM,5977
2036,SIZE_4_INC_MEDIUM,3934
2036,SIZE_1_INC_HIGH,1254
2036,SIZE_2_INC_HIGH,8223
2036,SIZE_3_INC_HIGH,6593
2036,SIZE_4_INC_HIGH,6006
2036,SIZE_1_INC_VERY_HIGH,352
2036,SIZE_2_INC_VERY_HIGH,2352
2036,SIZE_3_INC_VERY_HIGH,3273
2036,SIZE_4_INC_VERY_HIGH,5098
2037,SIZE_1_INC_LOW,34522
2037,SIZE_2_INC_LOW,10173
2037,SIZE_3_INC_LOW,2107
2037,SIZE_4_INC_LOW,1033
2037,SIZE_1_INC_MEDIUM,12180
2037,SIZE_2_INC_MEDIUM,16512
2037,SIZE_3_INC_MEDIUM,6024
2037,SIZE_4_INC_MEDIUM,3847
2037,SIZE_1_INC_HIGH,1247
2037,SIZE_2_INC_HIGH,8355
2037,SIZE_3_INC_HIGH,6679
2037,SIZE_4_INC_HIGH,6057
2037,SIZE_1_INC_VERY_HIGH,350
2037,SIZE_2_INC_VERY_HIGH,2388
2037,SIZE_3_INC_VERY_HIGH,3319
2037,SIZE_4_INC_VERY_HIGH,5083
2038,SIZE_1_INC_LOW,34841
2038,SIZE_2_INC_LOW,10257
2038,SIZE_3_INC_LOW,2155
2038,SIZE_4_INC_LOW,989
2038,SIZE_1_INC_MEDIUM,12318
2038,SIZE_2_INC_MEDIUM,16656
2038,SIZE_3_INC_MEDIUM,6021
2038,SIZE_4_INC_MEDIUM,3790
2038,SIZE_1_INC_HIGH,1279
2038,SIZE_2_INC_HIGH,8442
2038,SIZE_3_INC_HIGH,6714
2038,SIZE_4_INC_HIGH,6095
2038,SIZE_1_INC_VERY_HIGH,352
2038,SIZE_2_INC_VERY_HIGH,2373
2038,SIZE_3_INC_VERY_HIGH,3304
2038,SIZE_4_INC_VERY_HIGH,5124
2039,SIZE_1_INC_LOW,35134
2039,SIZE_2_INC_LOW,10265
2039,SIZE_3_INC_LOW,2102
2039,SIZE_4_INC_LOW,971
2039,SIZE_1_INC_MEDIUM,12444
2039,SIZE_2_INC_MEDIUM,16748
2039,SIZE_3_INC_MEDIUM,6058
2039,SIZE_4_INC_MEDIUM,3737
2039,SIZE_1_INC_HIGH,1291
2039,SIZE_2_INC_HIGH,8602
2039,SIZE_3_INC_HIGH,6783
2039,SIZE_4_INC_HIGH,6132
2039,SIZE_1_INC_VERY_HIGH,340
