year,zone,autoAccessibility,transitAccessibility,population,households,hhInc_<20000,hhInc_>20000,hhInc_>40000,hhInc_>60000,dd_SF,dd_MF,availLand,avePrice,jobs,shWhite,shBlack,shHispanic,shOther
0,1,13.653064179325566,1.1306551186992158,477.0,250,250,0,0,0,130,132,30.0,748.0916,192,0,0,0,0
0,2,33.7250876054172,3.282951121546904E-11,0.0,0,0,0,0,0,0,0,30.0,-1.0,94,0,0,0,0
0,3,43.90904307615438,6.1970680250646744E-12,0.0,0,0,0,0,0,0,0,30.0,-1.0,96,0,0,0,0
0,4,43.07872885067819,1.0870928802383308E-10,0.0,0,0,0,0,0,0,0,30.0,-1.0,96,0,0,0,0
0,5,44.291138928858004,2.439767548455544,477.0,250,250,0,0,0,130,132,30.0,748.0916,484,0,0,0,0
0,6,34.84915729253759,3.282922648823816E-11,0.0,0,0,0,0,0,0,0,30.0,-1.0,94,0,0,0,0
0,7,56.647102289949316,17.666155213683314,0.0,0,0,0,0,0,0,0,30.0,-1.0,100,0,0,0,0
0,8,48.45788845656512,1.3701432977714201E-9,926.0,500,500,0,0,0,263,262,30.0,750.4762,383,0,0,0,0
0,9,78.30419599913738,19.00966064462155,0.0,0,0,0,0,0,0,0,30.0,-1.0,101,0,0,0,0
0,10,60.591438948178336,1.0813877566506926E-10,0.0,0,0,0,0,0,0,0,30.0,-1.0,99,0,0,0,0
0,11,43.206262031399135,6.320786464975737E-12,0.0,0,0,0,0,0,0,0,30.0,-1.0,98,0,0,0,0
0,12,45.4981993906715,1.3847058509779345E-9,926.0,500,500,0,0,0,263,262,30.0,750.4762,382,0,0,0,0
0,13,54.245605716287955,100.0,5672.0,3000,3000,0,0,0,1567,1583,30.0,748.73016,1930,0,0,0,0
0,14,94.58313977501464,1.4882664023623873E-9,926.0,500,500,0,0,0,263,262,30.0,750.4762,387,0,0,0,0
0,15,51.24441770503627,6.331508475506668E-12,0.0,0,0,0,0,0,0,0,30.0,-1.0,99,0,0,0,0
0,16,36.8805104697128,1.1032133833075408E-10,0.0,0,0,0,0,0,0,0,30.0,-1.0,97,0,0,0,0
0,17,65.93237671045507,17.84027668612743,0.0,0,0,0,0,0,0,0,30.0,-1.0,98,0,0,0,0
0,18,100.0,1.7896260654278498E-9,0.0,0,0,0,0,0,0,0,30.0,-1.0,381,0,0,0,0
0,19,56.59089546250219,19.62810626142899,0.0,0,0,0,0,0,0,0,30.0,-1.0,0,0,0,0,0
0,20,27.6882979807518,2.9972814321048965E-15,0.0,0,0,0,0,0,0,0,30.0,-1.0,0,0,0,0,0
0,21,21.75272457209588,1.5591851355687212,926.0,500,500,0,0,0,263,262,30.0,750.4762,194,0,0,0,0
0,22,33.09929545918455,1.0609334577354453E-10,0.0,0,0,0,0,0,0,0,30.0,-1.0,95,0,0,0,0
0,23,47.209412852635374,1.0456270848009246E-11,926.0,500,500,0,0,0,263,262,30.0,750.4762,96,0,0,0,0
0,24,26.5089030029102,2.913754592504409E-15,0.0,0,0,0,0,0,0,0,30.0,-1.0,0,0,0,0,0
0,25,13.941382432801314,19.720753978463385,0.0,0,0,0,0,0,0,0,30.0,-1.0,195,0,0,0,0
