year,region,time
0,2,22.98637
0,3,21.663124
0,1,19.332153
0,4,14.5807495
0,5,23.32127
1,2,21.081923
1,3,18.429583
1,1,16.704872
1,4,14.173135
1,5,21.405905
2,2,17.089945
2,3,19.238806
2,1,17.560057
2,4,12.86043
2,5,18.463352
3,2,16.912727
3,3,17.430185
3,1,14.370735
3,4,12.970195
3,5,19.015839
4,2,16.625664
4,3,16.747404
4,1,14.468675
4,4,12.973813
4,5,18.204987
5,2,16.09204
5,3,16.981354
5,1,15.488011
5,4,13.364685
5,5,18.546951
6,2,14.347888
6,3,17.359253
6,1,15.305246
6,4,12.938963
6,5,16.832075
7,2,14.54739
7,3,17.672306
7,1,16.785192
7,4,12.458974
7,5,16.60079
8,2,14.890346
8,3,16.216827
8,1,14.613334
8,4,12.292871
8,5,16.459606
9,2,14.133041
9,3,16.64111
9,1,13.549825
9,4,11.6441145
9,5,15.809155
