year,size,count
0,1,2596
0,2,1379
0,3,1890
0,4,86
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
1,1,2481
1,2,1396
1,3,1834
1,4,131
1,5,4
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
2,1,2427
2,2,1398
2,3,1725
2,4,220
2,5,12
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
3,1,2393
3,2,1422
3,3,1613
3,4,276
3,5,20
3,6,1
3,7,0
3,8,0
3,9,0
3,10,0
4,1,2355
4,2,1476
4,3,1508
4,4,313
4,5,33
4,6,2
4,7,0
4,8,0
4,9,0
4,10,0
5,1,2323
5,2,1499
5,3,1426
5,4,346
5,5,48
5,6,2
5,7,0
5,8,0
5,9,0
5,10,0
6,1,2301
6,2,1516
6,3,1371
6,4,366
6,5,63
6,6,4
6,7,0
6,8,0
6,9,0
6,10,0
7,1,2268
7,2,1561
7,3,1280
7,4,402
7,5,76
7,6,5
7,7,0
7,8,0
7,9,0
7,10,0
8,1,2252
8,2,1568
8,3,1221
8,4,422
8,5,95
8,6,7
8,7,0
8,8,0
8,9,0
8,10,0
9,1,2231
9,2,1583
9,3,1149
9,4,435
9,5,109
9,6,11
9,7,0
9,8,0
9,9,0
9,10,0
