year,type,count
0,SIZE_1_INC_LOW,2596
0,SIZE_2_INC_LOW,1379
0,SIZE_3_INC_LOW,1890
0,SIZE_4_INC_LOW,86
0,SIZE_1_INC_MEDIUM,0
0,SIZE_2_INC_MEDIUM,0
0,SIZE_3_INC_MEDIUM,0
0,SIZE_4_INC_MEDIUM,0
0,SIZE_1_INC_HIGH,0
0,SIZE_2_INC_HIGH,0
0,SIZE_3_INC_HIGH,0
0,SIZE_4_INC_HIGH,0
0,SIZE_1_INC_VERY_HIGH,0
0,SIZE_2_INC_VERY_HIGH,0
0,SIZE_3_INC_VERY_HIGH,0
0,SIZE_4_INC_VERY_HIGH,0
1,SIZE_1_INC_LOW,2481
1,SIZE_2_INC_LOW,1396
1,SIZE_3_INC_LOW,1834
1,SIZE_4_INC_LOW,135
1,SIZE_1_INC_MEDIUM,0
1,SIZE_2_INC_MEDIUM,0
1,SIZE_3_INC_MEDIUM,0
1,SIZE_4_INC_MEDIUM,0
1,SIZE_1_INC_HIGH,0
1,SIZE_2_INC_HIGH,0
1,SIZE_3_INC_HIGH,0
1,SIZE_4_INC_HIGH,0
1,SIZE_1_INC_VERY_HIGH,0
1,SIZE_2_INC_VERY_HIGH,0
1,SIZE_3_INC_VERY_HIGH,0
1,SIZE_4_INC_VERY_HIGH,0
2,SIZE_1_INC_LOW,2427
2,SIZE_2_INC_LOW,1398
2,SIZE_3_INC_LOW,1725
2,SIZE_4_INC_LOW,232
2,SIZE_1_INC_MEDIUM,0
2,SIZE_2_INC_MEDIUM,0
2,SIZE_3_INC_MEDIUM,0
2,SIZE_4_INC_MEDIUM,0
2,SIZE_1_INC_HIGH,0
2,SIZE_2_INC_HIGH,0
2,SIZE_3_INC_HIGH,0
2,SIZE_4_INC_HIGH,0
2,SIZE_1_INC_VERY_HIGH,0
2,SIZE_2_INC_VERY_HIGH,0
2,SIZE_3_INC_VERY_HIGH,0
2,SIZE_4_INC_VERY_HIGH,0
3,SIZE_1_INC_LOW,2393
3,SIZE_2_INC_LOW,1422
3,SIZE_3_INC_LOW,1613
3,SIZE_4_INC_LOW,297
3,SIZE_1_INC_MEDIUM,0
3,SIZE_2_INC_MEDIUM,0
3,SIZE_3_INC_MEDIUM,0
3,SIZE_4_INC_MEDIUM,0
3,SIZE_1_INC_HIGH,0
3,SIZE_2_INC_HIGH,0
3,SIZE_3_INC_HIGH,0
3,SIZE_4_INC_HIGH,0
3,SIZE_1_INC_VERY_HIGH,0
3,SIZE_2_INC_VERY_HIGH,0
3,SIZE_3_INC_VERY_HIGH,0
3,SIZE_4_INC_VERY_HIGH,0
4,SIZE_1_INC_LOW,2355
4,SIZE_2_INC_LOW,1476
4,SIZE_3_INC_LOW,1508
4,SIZE_4_INC_LOW,348
4,SIZE_1_INC_MEDIUM,0
4,SIZE_2_INC_MEDIUM,0
4,SIZE_3_INC_MEDIUM,0
4,SIZE_4_INC_MEDIUM,0
4,SIZE_1_INC_HIGH,0
4,SIZE_2_INC_HIGH,0
4,SIZE_3_INC_HIGH,0
4,SIZE_4_INC_HIGH,0
4,SIZE_1_INC_VERY_HIGH,0
4,SIZE_2_INC_VERY_HIGH,0
4,SIZE_3_INC_VERY_HIGH,0
4,SIZE_4_INC_VERY_HIGH,0
5,SIZE_1_INC_LOW,2323
5,SIZE_2_INC_LOW,1499
5,SIZE_3_INC_LOW,1426
5,SIZE_4_INC_LOW,396
5,SIZE_1_INC_MEDIUM,0
5,SIZE_2_INC_MEDIUM,0
5,SIZE_3_INC_MEDIUM,0
5,SIZE_4_INC_MEDIUM,0
5,SIZE_1_INC_HIGH,0
5,SIZE_2_INC_HIGH,0
5,SIZE_3_INC_HIGH,0
5,SIZE_4_INC_HIGH,0
5,SIZE_1_INC_VERY_HIGH,0
5,SIZE_2_INC_VERY_HIGH,0
5,SIZE_3_INC_VERY_HIGH,0
5,SIZE_4_INC_VERY_HIGH,0
6,SIZE_1_INC_LOW,2301
6,SIZE_2_INC_LOW,1516
6,SIZE_3_INC_LOW,1371
6,SIZE_4_INC_LOW,433
6,SIZE_1_INC_MEDIUM,0
