year,group,male,female
0,<18,0.000000,0.008163
0,18-29,0.366870,0.391133
0,30-49,0.683384,0.555970
0,50-64,0.643933,0.555099
0,>=65,0.616852,0.499053
1,<18,0.000000,0.006527
1,18-29,0.382193,0.426178
1,30-49,0.690244,0.551896
1,50-64,0.650547,0.554701
1,>=65,0.592126,0.515125
2,<18,0.000000,0.004860
2,18-29,0.498845,0.475862
2,30-49,0.683883,0.556032
2,50-64,0.644128,0.563307
2,>=65,0.575517,0.489601
3,<18,0.000000,0.010227
3,18-29,0.512635,0.531325
3,30-49,0.684845,0.554517
3,50-64,0.651204,0.545855
3,>=65,0.528846,0.483278
4,<18,0.000000,0.008801
4,18-29,0.536465,0.501276
4,30-49,0.688514,0.562224
4,50-64,0.649733,0.558979
4,>=65,0.522494,0.474878
5,<18,0.000000,0.006466
5,18-29,0.501279,0.516689
5,30-49,0.671622,0.551341
5,50-64,0.653404,0.557278
5,>=65,0.512644,0.470634
6,<18,0.000000,0.007315
6,18-29,0.491459,0.528914
6,30-49,0.677285,0.549240
6,50-64,0.648148,0.570671
6,>=65,0.491667,0.449555
7,<18,0.000000,0.005302
7,18-29,0.468571,0.486787
7,30-49,0.676094,0.555631
7,50-64,0.657349,0.562445
7,>=65,0.476657,0.439711
8,<18,0.000000,0.004098
8,18-29,0.490476,0.479885
8,30-49,0.678643,0.556309
8,50-64,0.645796,0.546174
8,>=65,0.471514,0.415835
9,<18,0.000000,0.010081
9,18-29,0.481132,0.461897
9,30-49,0.678308,0.565043
9,50-64,0.639419,0.560976
9,>=65,0.455371,0.414669
