year,region,land
0,2,176.600000
0,3,176.500000
0,1,16.199999
0,4,177.900000
0,5,175.400000
1,2,176.100000
1,3,174.800000
1,1,12.099999
1,4,177.700000
1,5,174.900000
2,2,176.000000
2,3,174.400000
2,1,10.899999
2,4,177.300000
2,5,174.900000
3,2,175.900000
3,3,174.000000
3,1,10.199999
3,4,177.500000
3,5,175.000000
4,2,175.800000
4,3,174.000000
4,1,10.299999
4,4,177.800000
4,5,175.000000
5,2,175.700000
5,3,174.000000
5,1,9.899999
5,4,178.100000
5,5,175.000000
6,2,175.400000
6,3,174.500000
6,1,9.699999
6,4,178.300000
6,5,175.300000
7,2,175.700000
7,3,174.500000
7,1,9.399999
7,4,178.300000
7,5,175.700000
8,2,175.500000
8,3,174.500000
8,1,10.499999
8,4,178.300000
8,5,176.200000
9,2,175.900000
9,3,174.500000
9,1,11.299999
9,4,178.400000
9,5,176.500000
