year,age,men,women
0,0,94,92
0,1,94,99
0,2,62,58
0,3,26,43
0,4,53,29
0,5,25,36
0,6,27,57
0,7,21,44
0,8,35,38
0,9,54,20
0,10,23,24
0,11,36,63
0,12,28,18
0,13,37,27
0,14,47,25
0,15,26,15
0,16,17,15
0,17,7,32
0,18,11,56
0,19,370,335
0,20,0,28
0,21,45,73
0,22,94,47
0,23,98,58
0,24,51,58
0,25,64,63
0,26,66,69
0,27,55,49
0,28,68,96
0,29,62,83
0,30,57,113
0,31,101,77
0,32,55,94
0,33,93,93
0,34,130,77
0,35,44,80
0,36,48,97
0,37,86,88
0,38,102,50
0,39,121,83
0,40,95,85
0,41,57,47
0,42,76,57
0,43,53,88
0,44,90,73
0,45,127,119
0,46,95,85
0,47,74,67
0,48,94,67
0,49,57,68
0,50,61,69
0,51,96,91
0,52,86,92
0,53,60,80
0,54,73,77
0,55,97,82
0,56,62,75
0,57,64,66
0,58,72,75
0,59,85,104
0,60,117,87
0,61,81,76
0,62,54,84
0,63,48,63
0,64,73,95
0,65,62,126
0,66,81,78
0,67,69,96
0,68,118,70
0,69,60,70
0,70,90,74
0,71,65,58
0,72,65,50
0,73,70,85
0,74,88,91
0,75,129,63
0,76,72,40
0,77,61,62
0,78,78,30
0,79,80,41
0,80,70,22
0,81,0,0
0,82,0,0
0,83,0,0
0,84,0,0
0,85,0,0
0,86,0,0
0,87,0,0
0,88,0,0
0,89,0,0
0,90,0,0
0,91,0,0
0,92,0,0
0,93,0,0
0,94,0,0
0,95,0,0
0,96,0,0
0,97,0,0
0,98,0,0
0,99,0,0
0,100,0,0
1,0,73,68
1,1,92,92
1,2,92,99
1,3,59,57
1,4,26,43
1,5,53,29
1,6,25,35
1,7,27,56
1,8,21,44
1,9,35,38
1,10,53,20
1,11,22,24
1,12,36,63
1,13,28,16
1,14,37,27
1,15,47,25
1,16,25,15
1,17,17,15
1,18,7,32
1,19,11,56
1,20,368,334
1,21,0,27
1,22,45,73
1,23,94,47
1,24,98,55
1,25,50,57
1,26,61,63
1,27,65,67
1,28,55,48
1,29,67,96
1,30,61,82
1,31,56,113
1,32,98,75
1,33,55,93
1,34,92,93
1,35,129,77
1,36,44,80
1,37,48,97
1,38,85,88
1,39,101,49
1,40,121,83
1,41,95,84
1,42,55,44
1,43,75,57
1,44,53,88
1,45,88,73
1,46,125,118
1,47,95,85
1,48,74,66
1,49,90,64
1,50,57,68
1,51,61,66
1,52,95,90
1,53,86,90
1,54,59,80
1,55,70,75
1,56,96,81
1,57,60,72
1,58,64,65
1,59,72,74
1,60,84,103
1,61,112,86
1,62,80,75
1,63,53,83
1,64,47,62
1,65,69,95
1,66,61,123
1,67,76,76
1,68,67,96
1,69,116,67
1,70,59,70
1,71,85,73
1,72,63,56
1,73,65,49
1,74,68,85
1,75,84,87
1,76,119,61
1,77,66,37
1,78,54,61
1,79,75,29
1,80,76,38
1,81,67,21
1,82,0,0
1,83,0,0
1,84,0,0
1,85,0,0
1,86,0,0
1,87,0,0
1,88,0,0
1,89,0,0
1,90,0,0
1,91,0,0
1,92,0,0
1,93,0,0
1,94,0,0
1,95,0,0
1,96,0,0
1,97,0,0
1,98,0,0
1,99,0,0
1,100,0,0
2,0,96,75
2,1,73,68
2,2,91,92
2,3,92,98
2,4,57,57
2,5,26,43
2,6,53,29
2,7,25,35
2,8,27,56
2,9,21,44
2,10,34,38
2,11,53,19
2,12,22,24
2,13,36,63
2,14,28,16
2,15,36,27
2,16,47,24
2,17,25,15
2,18,16,15
2,19,7,32
2,20,11,55
2,21,366,332
2,22,0,27
2,23,45,73
2,24,94,46
2,25,96,55
2,26,50,57
2,27,61,63
2,28,65,67
2,29,55,48
2,30,66,96
2,31,61,82
2,32,56,113
2,33,98,74
2,34,55,93
2,35,92,93
2,36,128,76
2,37,44,79
2,38,48,97
2,39,84,87
2,40,101,49
2,41,120,82
2,42,94,83
2,43,55,44
2,44,73,57
2,45,53,88
2,46,88,73
2,47,125,116
2,48,93,85
2,49,73,66
2,50,90,63
2,51,57,67
2,52,60,65
2,53,95,89
2,54,84,90
2,55,59,79
2,56,68,74
